Time,Seed,Model,Value
0,1,control,219595
3,1,control,219587
6,1,control,220567
9,1,control,219206
12,1,control,219680
15,1,control,219873
18,1,control,218633
21,1,control,219649
24,1,control,220511
27,1,control,219772
30,1,control,219745
33,1,control,220381
36,1,control,219237
39,1,control,218660
42,1,control,220332
45,1,control,219590
48,1,control,219694
0,10,control,250958
3,10,control,251290
6,10,control,250608
9,10,control,251038
12,10,control,250221
15,10,control,249937
18,10,control,250914
21,10,control,250710
24,10,control,251503
27,10,control,251332
30,10,control,251274
33,10,control,250769
36,10,control,250795
39,10,control,250553
42,10,control,251395
45,10,control,251832
48,10,control,250822
0,100,control,241204
3,100,control,241300
6,100,control,242124
9,100,control,242355
12,100,control,241979
15,100,control,242300
18,100,control,242002
21,100,control,242356
24,100,control,242001
27,100,control,242943
30,100,control,241215
33,100,control,241760
36,100,control,242045
39,100,control,242221
42,100,control,241837
45,100,control,242310
48,100,control,242140
0,101,control,287611
3,101,control,287821
6,101,control,287951
9,101,control,288399
12,101,control,288205
15,101,control,287360
18,101,control,287642
21,101,control,288401
24,101,control,288730
27,101,control,288269
30,101,control,287957
33,101,control,289422
36,101,control,288883
39,101,control,287490
42,101,control,288783
45,101,control,288657
48,101,control,288868
0,102,control,238525
3,102,control,236837
6,102,control,237260
9,102,control,238462
12,102,control,238646
15,102,control,238084
18,102,control,238124
21,102,control,237758
24,102,control,238120
27,102,control,238241
30,102,control,238355
33,102,control,238301
36,102,control,238258
39,102,control,238206
42,102,control,238268
45,102,control,238173
48,102,control,237216
0,103,control,225094
3,103,control,225662
6,103,control,224296
9,103,control,224124
12,103,control,224032
15,103,control,224396
18,103,control,224064
21,103,control,225208
24,103,control,225561
27,103,control,223593
30,103,control,225527
33,103,control,225134
36,103,control,224545
39,103,control,225051
42,103,control,224762
45,103,control,224867
48,103,control,224604
0,104,control,279889
3,104,control,277748
6,104,control,278941
9,104,control,279444
12,104,control,279793
15,104,control,279355
18,104,control,278307
21,104,control,279188
24,104,control,279114
27,104,control,278170
30,104,control,278906
33,104,control,279183
36,104,control,279435
39,104,control,279371
42,104,control,279649
45,104,control,279160
48,104,control,278719
0,105,control,296107
3,105,control,296813
6,105,control,294863
9,105,control,297006
12,105,control,296743
15,105,control,298374
18,105,control,297566
21,105,control,296421
24,105,control,296306
27,105,control,296340
30,105,control,296036
33,105,control,296970
36,105,control,297524
39,105,control,296763
42,105,control,295345
45,105,control,297122
48,105,control,295953
0,106,control,244484
3,106,control,244748
6,106,control,244860
9,106,control,244964
12,106,control,244525
15,106,control,244327
18,106,control,244435
21,106,control,244585
24,106,control,245106
27,106,control,243316
30,106,control,243953
33,106,control,244623
36,106,control,244126
39,106,control,245319
42,106,control,244929
45,106,control,245050
48,106,control,246507
0,107,control,254667
3,107,control,253873
6,107,control,253132
9,107,control,254846
12,107,control,253717
15,107,control,253114
18,107,control,253328
21,107,control,254037
24,107,control,253112
27,107,control,252648
30,107,control,254290
33,107,control,253564
36,107,control,253588
39,107,control,253642
42,107,control,253764
45,107,control,254047
48,107,control,254140
0,108,control,215198
3,108,control,214039
6,108,control,215199
9,108,control,214214
12,108,control,215007
15,108,control,214677
18,108,control,216018
21,108,control,215945
24,108,control,214920
27,108,control,214345
30,108,control,215248
33,108,control,215036
36,108,control,213909
39,108,control,214740
42,108,control,215352
45,108,control,214558
48,108,control,214486
0,109,control,330832
3,109,control,332046
6,109,control,330900
9,109,control,332133
12,109,control,330299
15,109,control,331527
18,109,control,331312
21,109,control,330658
24,109,control,331036
27,109,control,330199
30,109,control,331309
33,109,control,330943
36,109,control,330066
39,109,control,331585
42,109,control,331042
45,109,control,331037
48,109,control,331763
0,11,control,250793
3,11,control,250092
6,11,control,249336
9,11,control,250523
12,11,control,250247
15,11,control,249954
18,11,control,250340
21,11,control,249894
24,11,control,250143
27,11,control,249896
30,11,control,251482
33,11,control,250494
36,11,control,251553
39,11,control,250412
42,11,control,251272
45,11,control,250445
48,11,control,250165
0,110,control,255263
3,110,control,255295
6,110,control,254973
9,110,control,254309
12,110,control,254792
15,110,control,255125
18,110,control,254804
21,110,control,255369
24,110,control,253978
27,110,control,255386
30,110,control,254879
33,110,control,255003
36,110,control,254603
39,110,control,254560
42,110,control,255461
45,110,control,253690
48,110,control,255493
0,111,control,236559
3,111,control,236407
6,111,control,235199
9,111,control,236482
12,111,control,235960
15,111,control,235816
18,111,control,235305
21,111,control,237062
24,111,control,235245
27,111,control,236308
30,111,control,236057
33,111,control,235663
36,111,control,235774
39,111,control,235161
42,111,control,235517
45,111,control,235821
48,111,control,235628
0,112,control,260119
3,112,control,259681
6,112,control,259988
9,112,control,258515
12,112,control,260414
15,112,control,259792
18,112,control,259850
21,112,control,261254
24,112,control,258981
27,112,control,258976
30,112,control,258298
33,112,control,259681
36,112,control,260115
39,112,control,259808
42,112,control,259238
45,112,control,259543
48,112,control,259002
0,113,control,270545
3,113,control,271287
6,113,control,271109
9,113,control,271838
12,113,control,270425
15,113,control,271270
18,113,control,271989
21,113,control,270231
24,113,control,271642
27,113,control,271757
30,113,control,270843
33,113,control,270097
36,113,control,270834
39,113,control,270786
42,113,control,270942
45,113,control,271187
48,113,control,270432
0,114,control,254621
3,114,control,255661
6,114,control,255206
9,114,control,254484
12,114,control,255301
15,114,control,254862
18,114,control,254138
21,114,control,255282
24,114,control,254035
27,114,control,255845
30,114,control,254837
33,114,control,255081
36,114,control,255078
39,114,control,253974
42,114,control,253811
45,114,control,254775
48,114,control,255113
0,115,control,266823
3,115,control,267080
6,115,control,265529
9,115,control,267103
12,115,control,266036
15,115,control,266105
18,115,control,266467
21,115,control,265768
24,115,control,266293
27,115,control,266810
30,115,control,266634
33,115,control,267576
36,115,control,266731
39,115,control,266986
42,115,control,265262
45,115,control,267189
48,115,control,267288
0,116,control,258524
3,116,control,258164
6,116,control,259779
9,116,control,259310
12,116,control,260169
15,116,control,259312
18,116,control,258655
21,116,control,259748
24,116,control,259653
27,116,control,259086
30,116,control,259507
33,116,control,259031
36,116,control,259556
39,116,control,259061
42,116,control,258363
45,116,control,258924
48,116,control,259528
0,117,control,258662
3,117,control,257430
6,117,control,258136
9,117,control,258663
12,117,control,257502
15,117,control,256476
18,117,control,257285
21,117,control,257647
24,117,control,257393
27,117,control,258168
30,117,control,257127
33,117,control,255242
36,117,control,257801
39,117,control,257682
42,117,control,257115
45,117,control,258329
48,117,control,258016
0,118,control,254525
3,118,control,255720
6,118,control,254723
9,118,control,253887
12,118,control,254722
15,118,control,254065
18,118,control,255370
21,118,control,254302
24,118,control,254442
27,118,control,254144
30,118,control,254214
33,118,control,254398
36,118,control,253311
39,118,control,253245
42,118,control,254613
45,118,control,255623
48,118,control,253357
0,119,control,262923
3,119,control,263071
6,119,control,262760
9,119,control,263477
12,119,control,261905
15,119,control,262146
18,119,control,262328
21,119,control,263129
24,119,control,262945
27,119,control,262728
30,119,control,263712
33,119,control,264154
36,119,control,263414
39,119,control,263211
42,119,control,264305
45,119,control,263772
48,119,control,264028
0,12,control,273453
3,12,control,273982
6,12,control,274099
9,12,control,272649
12,12,control,272936
15,12,control,272218
18,12,control,273213
21,12,control,273173
24,12,control,273224
27,12,control,274583
30,12,control,274042
33,12,control,272421
36,12,control,274262
39,12,control,273471
42,12,control,274321
45,12,control,272777
48,12,control,273703
0,120,control,260309
3,120,control,261027
6,120,control,260555
9,120,control,260429
12,120,control,261601
15,120,control,261382
18,120,control,260751
21,120,control,260865
24,120,control,260167
27,120,control,261019
30,120,control,260410
33,120,control,261996
36,120,control,260930
39,120,control,260845
42,120,control,260615
45,120,control,260453
48,120,control,261703
0,121,control,254762
3,121,control,253660
6,121,control,254335
9,121,control,255439
12,121,control,253153
15,121,control,253784
18,121,control,253354
21,121,control,254685
24,121,control,254487
27,121,control,253752
30,121,control,254623
33,121,control,253899
36,121,control,254506
39,121,control,254012
42,121,control,254042
45,121,control,255477
48,121,control,254962
0,122,control,260807
3,122,control,260488
6,122,control,260090
9,122,control,260880
12,122,control,260333
15,122,control,261368
18,122,control,261058
21,122,control,260090
24,122,control,259963
27,122,control,260910
30,122,control,260885
33,122,control,260828
36,122,control,259875
39,122,control,260140
42,122,control,260345
45,122,control,260660
48,122,control,260169
0,123,control,300361
3,123,control,300833
6,123,control,301536
9,123,control,301225
12,123,control,301613
15,123,control,301402
18,123,control,300830
21,123,control,301804
24,123,control,301131
27,123,control,300962
30,123,control,299646
33,123,control,301425
36,123,control,300153
39,123,control,300751
42,123,control,301462
45,123,control,300757
48,123,control,301288
0,124,control,226736
3,124,control,227177
6,124,control,227335
9,124,control,227449
12,124,control,226963
15,124,control,226926
18,124,control,227469
21,124,control,226559
24,124,control,227635
27,124,control,228109
30,124,control,227655
33,124,control,227062
36,124,control,227129
39,124,control,226772
42,124,control,227095
45,124,control,227255
48,124,control,226108
0,125,control,260071
3,125,control,260797
6,125,control,259930
9,125,control,259615
12,125,control,261004
15,125,control,261486
18,125,control,260693
21,125,control,260483
24,125,control,260353
27,125,control,259512
30,125,control,259873
33,125,control,261438
36,125,control,261017
39,125,control,259230
42,125,control,259911
45,125,control,260617
48,125,control,259650
0,126,control,303411
3,126,control,303262
6,126,control,303325
9,126,control,302867
12,126,control,305352
15,126,control,304625
18,126,control,303845
21,126,control,303481
24,126,control,303803
27,126,control,303788
30,126,control,303343
33,126,control,303499
36,126,control,303119
39,126,control,303948
42,126,control,304354
45,126,control,306007
48,126,control,303701
0,127,control,234594
3,127,control,235100
6,127,control,235523
9,127,control,234849
12,127,control,235453
15,127,control,235484
18,127,control,234540
21,127,control,235933
24,127,control,234716
27,127,control,234283
30,127,control,235788
33,127,control,234696
36,127,control,235222
39,127,control,235762
42,127,control,235509
45,127,control,235280
48,127,control,235032
0,128,control,229744
3,128,control,228629
6,128,control,230971
9,128,control,230394
12,128,control,230133
15,128,control,230507
18,128,control,229792
21,128,control,230136
24,128,control,228786
27,128,control,230257
30,128,control,230128
33,128,control,229537
36,128,control,230352
39,128,control,230076
42,128,control,230743
45,128,control,230956
48,128,control,230682
0,129,control,234289
3,129,control,234129
6,129,control,233454
9,129,control,233358
12,129,control,234001
15,129,control,234490
18,129,control,233510
21,129,control,233833
24,129,control,233518
27,129,control,233507
30,129,control,233611
33,129,control,233236
36,129,control,234418
