Time,Seed,Model,Value
0,1,control,0.013345
3,1,control,0.01333
6,1,control,0.01341
9,1,control,0.013243
12,1,control,0.0134105
15,1,control,0.0133565
18,1,control,0.013262
21,1,control,0.0133285
24,1,control,0.013378
27,1,control,0.0134075
30,1,control,0.0133305
33,1,control,0.0133985
36,1,control,0.0133245
39,1,control,0.013273
42,1,control,0.0134045
45,1,control,0.013365
48,1,control,0.01339
0,10,control,0.015291
3,10,control,0.015283
6,10,control,0.0151965
9,10,control,0.015327
12,10,control,0.0151995
15,10,control,0.015189
18,10,control,0.0152455
21,10,control,0.015218
24,10,control,0.0153455
27,10,control,0.0153205
30,10,control,0.0152805
33,10,control,0.0153065
36,10,control,0.015312
39,10,control,0.015311
42,10,control,0.0153205
45,10,control,0.01535
48,10,control,0.0153315
0,100,control,0.014679
3,100,control,0.0146615
6,100,control,0.0147435
9,100,control,0.014723
12,100,control,0.0147165
15,100,control,0.014731
18,100,control,0.014721
21,100,control,0.014697
24,100,control,0.0147075
27,100,control,0.0147175
30,100,control,0.0146545
33,100,control,0.0146455
36,100,control,0.0146645
39,100,control,0.0146985
42,100,control,0.0146795
45,100,control,0.014651
48,100,control,0.0147065
0,101,control,0.0177755
3,101,control,0.0178195
6,101,control,0.017791
9,101,control,0.0178405
12,101,control,0.0178135
15,101,control,0.0178035
18,101,control,0.0178275
21,101,control,0.017812
24,101,control,0.0178705
27,101,control,0.017812
30,101,control,0.01779
33,101,control,0.017881
36,101,control,0.0178445
39,101,control,0.0178175
42,101,control,0.0178925
45,101,control,0.01787
48,101,control,0.017934
0,102,control,0.0145115
3,102,control,0.014461
6,102,control,0.014485
9,102,control,0.0144845
12,102,control,0.0145035
15,102,control,0.0145585
18,102,control,0.0145225
21,102,control,0.014488
24,102,control,0.014536
27,102,control,0.014524
30,102,control,0.0145345
33,102,control,0.014523
36,102,control,0.014495
39,102,control,0.014504
42,102,control,0.0144855
45,102,control,0.014487
48,102,control,0.0144405
0,103,control,0.0135475
3,103,control,0.013558
6,103,control,0.0135215
9,103,control,0.0135095
12,103,control,0.0134785
15,103,control,0.0135155
18,103,control,0.013498
21,103,control,0.0135865
24,103,control,0.0135925
27,103,control,0.0134615
30,103,control,0.013573
33,103,control,0.0135825
36,103,control,0.013557
39,103,control,0.0135255
42,103,control,0.013481
45,103,control,0.0135515
48,103,control,0.0135155
0,104,control,0.01725
3,104,control,0.017051
6,104,control,0.0171445
9,104,control,0.017186
12,104,control,0.0172355
15,104,control,0.017212
18,104,control,0.0171945
21,104,control,0.0171945
24,104,control,0.017188
27,104,control,0.0171295
30,104,control,0.017188
33,104,control,0.0172815
36,104,control,0.017148
39,104,control,0.017104
42,104,control,0.017255
45,104,control,0.017153
48,104,control,0.0171485
0,105,control,0.0184955
3,105,control,0.0185085
6,105,control,0.018422
9,105,control,0.0185425
12,105,control,0.0185165
15,105,control,0.0185965
18,105,control,0.0185135
21,105,control,0.018541
24,105,control,0.0185225
27,105,control,0.0185365
30,105,control,0.018521
33,105,control,0.018558
36,105,control,0.0185325
39,105,control,0.018491
42,105,control,0.018434
45,105,control,0.0185335
48,105,control,0.0184015
0,106,control,0.014935
3,106,control,0.0149805
6,106,control,0.0149005
9,106,control,0.0149695
12,106,control,0.014918
15,106,control,0.014959
18,106,control,0.015005
21,106,control,0.014966
24,106,control,0.014961
27,106,control,0.0148955
30,106,control,0.014891
33,106,control,0.0149515
36,106,control,0.014905
39,106,control,0.015001
42,106,control,0.014918
45,106,control,0.0149895
48,106,control,0.015094
0,107,control,0.0156285
3,107,control,0.0155145
6,107,control,0.0155175
9,107,control,0.015685
12,107,control,0.0156095
15,107,control,0.0155455
18,107,control,0.015504
21,107,control,0.0156445
24,107,control,0.01554
27,107,control,0.0154835
30,107,control,0.0156485
33,107,control,0.015554
36,107,control,0.0155795
39,107,control,0.0155405
42,107,control,0.0156205
45,107,control,0.015598
48,107,control,0.015618
0,108,control,0.012993
3,108,control,0.01298
6,108,control,0.0130255
9,108,control,0.012974
12,108,control,0.0129985
15,108,control,0.012951
18,108,control,0.0130805
21,108,control,0.0130375
24,108,control,0.012925
27,108,control,0.012937
30,108,control,0.0130185
33,108,control,0.0130185
36,108,control,0.0129235
39,108,control,0.012999
42,108,control,0.012981
45,108,control,0.012947
48,108,control,0.012972
0,109,control,0.0207515
3,109,control,0.020759
6,109,control,0.0206935
9,109,control,0.0208
12,109,control,0.020711
15,109,control,0.020803
18,109,control,0.0206985
21,109,control,0.0206515
24,109,control,0.020663
27,109,control,0.0206155
30,109,control,0.0207445
