Time,n_pairs,Value,median_r2,sd_r2,min_r2,max_r2,Seed,Model
0,59613720,0.0215202872489814,0.01021051127463579,0.03173664936389162,0,5.354361534118652,1,control
3,59828376,0.02140569128146327,0.01020811032503843,0.02979611434081754,0,2.2847113609313965,1,control
6,59907239,0.02148068584618904,0.01020474452525377,0.03100904339465505,0,5.4236741065979,1,control
9,59479576,0.02143183900757795,0.01019109971821308,0.03111078266194234,0,4.955096244812012,1,control
12,59403300,0.02156450227352839,0.01021356787532568,0.03606571619047204,0,19.958681106567383,1,control
15,60325448,0.02145096418713613,0.01021746080368757,0.03106181765998291,0,21.52459716796875,1,control
18,60046425,0.02211332469859336,0.0102225998416543,0.1012248975497218,0,136.45999145507812,1,control
21,59465750,0.0214567525046113,0.01019003521651029,0.03407975941916775,0,10.625468254089355,1,control
24,59920872,0.02157839400948062,0.01020899228751659,0.03646146758009303,0,13.642247200012209,1,control
27,59089969,0.02309310773020744,0.01019067037850618,0.2520194802604964,0,184.4965362548828,1,control
30,59822460,0.02151666409982849,0.01019158028066158,0.03396721543700978,0,8.329862594604492,1,control
33,59243808,0.0222485701386177,0.01019817870110273,0.119144747679283,0,72.64115905761719,1,control
36,59927742,0.02136575461857804,0.0101961325854063,0.02997202385078917,0,3.67620301246643,1,control
39,58936325,0.02302388415303602,0.01018039416521787,0.24627450337817905,0,182.99996948242188,1,control
42,59366989,0.02157888619371947,0.01022043451666832,0.03528588952243345,0,18.432514190673828,1,control
45,59822028,0.02143050215207447,0.01018995884805917,0.03196792795852487,0,8.228656768798828,1,control
48,59466632,0.0214833256652402,0.01017777062952518,0.03298912111325115,0,8.972371101379395,1,control
0,79250846,0.02179700739407872,0.01022313255816698,0.04940995155207316,0,50.152713775634766,10,control
3,79439453,0.02166273244680403,0.01030180137604475,0.03092805353349947,0,7.996275901794434,10,control
6,79132416,0.02200414367569924,0.01022590510547161,0.09336645252988082,0,69.76654052734375,10,control
9,79592656,0.02196587270155905,0.01021746080368757,0.08248155482372715,0,52.37153244018555,10,control
12,79589622,0.02148303814676113,0.01021051127463579,0.03132672261064698,0,11.295421600341797,10,control
15,79430494,0.02207703197433939,0.0101961325854063,0.06921407250735818,0,43.977333068847656,10,control
18,79862913,0.021680345802551598,0.0101961325854063,0.04289324041753215,0,64.9640121459961,10,control
21,79776268,0.02149542948346861,0.01019985880702734,0.03159211722383298,0,6.3923444747924805,10,control
24,79540280,0.02146898180035456,0.01018881052732467,0.03134896267234936,0,9.256242752075195,10,control
27,79414130,0.02240386024121868,0.01022313255816698,0.1565526229155726,0,260.4227600097656,10,control
30,80092068,0.02162160568874691,0.01020075660198927,0.044416853918395,0,45.39638137817383,10,control
33,80109098,0.0215528907709404,0.01020075660198927,0.03377830462381328,0,8.016273498535156,10,control
36,79383339,0.02146128456717729,0.01021586917340755,0.03035703990127733,0,5.664441108703613,10,control
39,79473504,0.02174329618884196,0.01019388809800148,0.05586331721702532,0,46.85547637939453,10,control
42,79662828,0.02155836665349541,0.01022313255816698,0.03264483287957889,0,16.403684616088867,10,control
45,79979872,0.02146184948855872,0.01020899228751659,0.0310459947477109,0,10.131668090820312,10,control
48,79263940,0.02328816779236511,0.01019003521651029,0.29287684286522153,0,299.87506103515625,10,control
0,60815752,0.02140104794818128,0.01020811032503843,0.02985774805674172,0,3.7510299682617183,100,control
3,60206784,0.02282748244625303,0.01020899228751659,0.2123691878792979,0,1224.48974609375,100,control
6,59666789,0.02199208368984533,0.01020508166402578,0.07018453323491751,0,67.87846374511719,100,control
9,59391514,0.0214969854758008,0.01022190041840076,0.0305712287526981,0,4.032912254333496,100,control
12,59993500,0.02153908179745435,0.01024587079882621,0.03186817401715727,0,15.80378532409668,100,control
15,59418480,0.02172551122955666,0.0102186519652605,0.03823141014039302,0,14.733439445495604,100,control
18,59733579,0.02160884384917658,0.01019003521651029,0.04718362740602715,0,27.084964752197266,100,control
21,59933523,0.0243085295544381,0.01023417804390192,0.3651184055793276,0,273.2611389160156,100,control
24,59726205,0.02187538795962703,0.01020899228751659,0.06017697324054182,0,124.5628662109375,100,control
27,59721340,0.02200552772033662,0.01020899228751659,0.09676449657122228,0,150.55709838867188,100,control
30,60519924,0.02183415164145796,0.01019817870110273,0.05376109072295994,0,29.054197311401367,100,control
33,59399575,0.02158506698652053,0.0101961325854063,0.03832677234030101,0,35.43104934692383,100,control
