Time,n_pairs,Value,median_r2,sd_r2,min_r2,max_r2,Seed,Model
24,70339833,0.02192990736004984,0.01036724541336298,0.03488957730591945,0,9.129650115966797,178,control
27,70389699,0.02143777465471908,0.01020899228751659,0.03001955753782935,0,3.3439202308654785,178,control
30,70142358,0.02149166972499048,0.01021142024546861,0.03104340613760167,0,4.882378101348877,178,control
33,70338853,0.02144662826776416,0.01019816659390926,0.03040869801191939,0,8.936323165893555,178,control
36,70425135,0.02238891963178312,0.01019616983830928,0.12354276951711898,0,470.718017578125,178,control
39,70031036,0.02400084514233271,0.01019003521651029,0.8385431727127233,0,6014.16064453125,178,control
42,70697322,0.02147098619242317,0.01021051127463579,0.03134904820399049,0,5.51549768447876,178,control
45,70450336,0.0214424472678124,0.01019817870110273,0.03003607139333044,0,3.9805757999420166,178,control
48,71340282,0.02145212806310884,0.01022378448396921,0.03029005468481239,0,4.557859420776367,178,control
0,74458764,0.02307280817775158,0.0101961325854063,0.259732956876815,0,224.24002075195312,179,control
3,74372688,0.02143342620788834,0.01020199060440063,0.02998170622902565,0,2.8119351863861084,179,control
6,74685666,0.02220873604022236,0.01018881052732467,0.10254282270682212,0,315.6400146484375,179,control
9,74860720,0.02148074197178429,0.01019003521651029,0.03127102323228543,0,8.734225273132324,179,control
12,74310405,0.0218655305264075,0.01020899228751659,0.07837337035725192,0,50.45674133300781,179,control
15,74881915,0.02150255901691566,0.01019817870110273,0.03303256828045358,0,15.833919525146484,179,control
18,74821050,0.02137215111555211,0.01019003521651029,0.02982273686650123,0,2.220576047897339,179,control
21,73935232,0.02138428276269536,0.01018039416521787,0.02990238197138474,0,2.185227632522583,179,control
24,74732889,0.02152136016669054,0.01019616983830928,0.03469838848465005,0,15.526124954223633,179,control
27,74765703,0.02163350756056286,0.01024872809648513,0.03799107857760054,0,16.01883316040039,179,control
30,74279936,0.02151396663754041,0.01021142024546861,0.03173827203551721,0,7.11375617980957,179,control
33,75079675,0.02161850873892237,0.01019003521651029,0.04763993401339753,0,42.69054412841797,179,control
36,74826728,0.02146764576689209,0.01018881052732467,0.03129992800822707,0,16.98023796081543,179,control
39,74445610,0.02140326314375445,0.01018537115305662,0.0303032464123145,0,4.653239727020264,179,control
42,74428928,0.02176787014963006,0.01021051127463579,0.05617761955014406,0,36.524803161621094,179,control
45,74605440,0.02155967534532363,0.01029132585972547,0.02993479875198338,0,2.0636403560638428,179,control
48,74462720,0.02166562933464217,0.01022786926478147,0.0428630150530662,0,53.26503372192383,179,control
0,73444884,0.02145804481558722,0.01020075660198927,0.03024001902703614,0,2.7129721641540527,18,control
3,74149296,0.02281965544255879,0.01019003521651029,0.2297165869992696,0,170.63597106933594,18,control
6,73530096,0.02142108910607042,0.01018881052732467,0.03022376936637704,0,3.216949224472046,18,control
9,73342015,0.02148479459371432,0.01019445154815912,0.03083858117844774,0,5.329983711242676,18,control
12,73358325,0.02186914173057668,0.01029415894299745,0.04517701419942274,0,27.38194465637207,18,control
15,73118817,0.0235218799776689,0.0101961325854063,0.3348795917907697,0,252.12591552734375,18,control
18,74071822,0.02143825919258674,0.01019003521651029,0.03087941050829082,0,6.373907089233398,18,control
21,72725628,0.02203597180942526,0.01019616983830928,0.09967181745358134,0,67.46961212158203,18,control
24,73838749,0.02145408170628316,0.01019817870110273,0.03127688457975669,0,8.019644737243652,18,control
27,73486764,0.02156875658374981,0.0101961325854063,0.04026305176448937,0,18.554548263549805,18,control
30,74122938,0.02154179229924286,0.01021586917340755,0.0315178741390184,0,15.7374906539917,18,control
33,73779004,0.0217030802887509,0.01019003521651029,0.06074559434462385,0,36.4508056640625,18,control
36,73100384,0.02150128104195228,0.01021197158843278,0.03071171941355687,0,12.767545700073242,18,control
39,73555296,0.02139897175380308,0.01019817870110273,0.02986879767355851,0,2.8097140789031982,18,control
42,73727052,0.02152679159376602,0.01023045368492603,0.03067544364749538,0,6.578139781951904,18,control
45,73390785,0.02154623661869879,0.01024163421243429,0.03144854558668816,0,6.772280693054199,18,control
48,73307675,0.0214943413341445,0.01019003521651029,0.03236031132300295,0,15.768759727478027,18,control
0,70358423,0.02284868154436292,0.0101961325854063,0.15946502346074956,0,146.44570922851562,180,control
3,70425639,0.02159343558098694,0.01022590510547161,0.03239657832718179,0,5.507723331451416,180,control
6,70240965,0.02153352180844248,0.01022786926478147,0.03171393632996115,0,6.14580774307251,180,control
9,69463878,0.02299315045585373,0.01022313255816698,0.22393256697496505,0,323.5391845703125,180,control
12,70677624,0.02146807343965387,0.01019388809800148,0.03187496888899705,0,6.839006423950195,180,control
15,70694464,0.02380160491905002,0.0101961325854063,0.3599024095368106,0,265.40765380859375,180,control
18,70425520,0.02274472758141088,0.01019109971821308,0.175906252966775,0,389.189697265625,180,control
21,70777893,0.02161216016885449,0.01024166215211153,0.03335847148466998,0,9.582645416259766,180,control
24,70632758,0.02164885184568221,0.01021746080368757,0.03610543792383948,0,13.63068389892578,180,control
27,70140589,0.02393690612315702,0.01022590510547161,0.3727111356563776,0,831.81732177734375,180,control
30,70333076,0.02163511698791609,0.0101892789825797,0.03745486916114705,0,41.6783332824707,180,control
33,70657236,0.0214570379384195,0.01022084895521402,0.03052256442009007,0,3.753583669662475,180,control
36,69989515,0.0215576203400141,0.01021142024546861,0.03239630956430042,0,12.26761531829834,180,control
39,70617480,0.02148643062847243,0.01021020766347646,0.03070651942494979,0,4.0433030128479,180,control
