Seed,Model,Ne
1,control,28395
10,control,46571
100,control,12793
101,control,15968
102,control,53253
103,control,30872
104,control,32396
105,control,19839
106,control,11190
107,control,27671
108,control,30816
109,control,11404
11,control,51171
110,control,27844
111,control,36991
112,control,24494
113,control,29079
114,control,14497
115,control,40718
116,control,29956
117,control,8768
118,control,17620
119,control,24257
12,control,13382
120,control,27925
121,control,23790
122,control,16739
123,control,14438
124,control,26951
125,control,18102
126,control,26318
127,control,49379
128,control,13231
129,control,34461
13,control,31700
130,control,14338
131,control,26794
132,control,40561
133,control,22736
134,control,22432
135,control,46094
136,control,56738
137,control,25834
138,control,12711
139,control,31510
14,control,23232
140,control,52403
141,control,57130
142,control,17561
143,control,21190
144,control,7657
145,control,45308
146,control,18190
147,control,26702
148,control,50785
149,control,34327
15,control,28514
150,control,26514
151,control,15023
152,control,55764
153,control,57836
154,control,31045
155,control,29272
156,control,17928
157,control,20122
158,control,16472
159,control,17287
16,control,22384
160,control,26518
161,control,35578
162,control,41509
163,control,26040
164,control,32738
165,control,22429
166,control,46012
167,control,18690
168,control,32217
169,control,11863
17,control,25503
170,control,12128
171,control,27714
172,control,23995
173,control,29502
174,control,24830
175,control,18972
176,control,21554
177,control,19471
178,control,58330
179,control,38809
18,control,34355
180,control,13528
181,control,17070
182,control,22000
183,control,16285
184,control,8397
185,control,26357
186,control,46186
187,control,57781
188,control,17286
189,control,39396
19,control,17240
190,control,37230
191,control,29369
192,control,27141
193,control,31277
194,control,20733
195,control,32493
196,control,25935
197,control,52698
198,control,29233
199,control,33276
2,control,11079
20,control,24787
200,control,30973
21,control,26020
22,control,21123
23,control,37457
24,control,62604
25,control,41963
26,control,10593
27,control,15052
28,control,52863
29,control,13237
3,control,16786
30,control,29349
31,control,24028
32,control,34582
33,control,9197
34,control,42574
35,control,22557
36,control,34554
37,control,53291
38,control,38515
39,control,43319
4,control,12317
40,control,16527
41,control,26097
42,control,25593
43,control,12870
44,control,33942
45,control,24306
46,control,41514
47,control,13838
48,control,14323
49,control,11378
5,control,17182
50,control,22063
51,control,49417
52,control,21750
53,control,11155
54,control,14390
55,control,13891
56,control,14725
57,control,21274
58,control,17267
59,control,17856
6,control,27616
60,control,27419
61,control,18236
62,control,47753
63,control,75630
64,control,15361
65,control,32253
66,control,22828
67,control,78699
68,control,9503
69,control,20706
7,control,14681
70,control,19679
71,control,8094
72,control,11314
73,control,35874
74,control,25697
75,control,29010
76,control,29135
77,control,30926
78,control,25553
79,control,36880
8,control,12831
80,control,30315
81,control,18722
82,control,37796
83,control,22122
84,control,23921
85,control,74588
86,control,18660
87,control,28762
88,control,63038
89,control,24477
9,control,52132
90,control,37965
91,control,10963
92,control,14137
93,control,13249
94,control,43812
95,control,51105
96,control,63602
97,control,40597
98,control,23652
99,control,39349
1,intervention,12183
10,intervention,32702
100,intervention,32204
101,intervention,25222
102,intervention,42486
103,intervention,23947
104,intervention,21014
105,intervention,45283
106,intervention,25262
107,intervention,23692
108,intervention,8030
109,intervention,59940
11,intervention,26491
110,intervention,28312
111,intervention,23648
112,intervention,47146
113,intervention,33393
114,intervention,7905
115,intervention,23674
116,intervention,27622
117,intervention,49387
118,intervention,48647
119,intervention,76665
12,intervention,30643
120,intervention,49187
121,intervention,23237
122,intervention,12440
123,intervention,39504
124,intervention,42117
125,intervention,18207
126,intervention,37164
127,intervention,19269
128,intervention,51257
129,intervention,39756
13,intervention,24591
130,intervention,88950
131,intervention,7680
132,intervention,118013
133,intervention,19868
134,intervention,31299
135,intervention,72783
136,intervention,47613
137,intervention,25078
138,intervention,9470
139,intervention,25395
14,intervention,15174
140,intervention,35817
141,intervention,23722
142,intervention,26506
143,intervention,34110
144,intervention,40943
145,intervention,17662
146,intervention,26696
147,intervention,36578
148,intervention,13004
149,intervention,53761
15,intervention,36247
150,intervention,16533
151,intervention,9962
152,intervention,27043
153,intervention,26108
154,intervention,31664
155,intervention,16956
156,intervention,12853
157,intervention,19406
158,intervention,19698
159,intervention,47924
16,intervention,11831
160,intervention,74016
161,intervention,23899
162,intervention,6731
163,intervention,15443
164,intervention,30521
165,intervention,19794
166,intervention,19500
167,intervention,34923
168,intervention,27594
169,intervention,18851
17,intervention,23949
170,intervention,20079
171,intervention,71505
172,intervention,25943
173,intervention,28306
174,intervention,55076
175,intervention,34797
176,intervention,19581
177,intervention,22546
178,intervention,25550
179,intervention,65153
18,intervention,38950
180,intervention,12335
181,intervention,21497
182,intervention,36428
183,intervention,16370
184,intervention,33627
185,intervention,20859
186,intervention,25781
187,intervention,14531
188,intervention,29192
189,intervention,15650
19,intervention,30567
190,intervention,22726
191,intervention,23177
192,intervention,34335
193,intervention,23008
194,intervention,25698
195,intervention,50017
196,intervention,21100
197,intervention,26475
198,intervention,36649
199,intervention,22167
2,intervention,76311
20,intervention,12983
200,intervention,38062
21,intervention,26398
22,intervention,29208
23,intervention,14871
24,intervention,20845
25,intervention,29395
26,intervention,41472
27,intervention,18304
28,intervention,27333
29,intervention,41458
3,intervention,35663
30,intervention,27977
31,intervention,17691
32,intervention,11434
33,intervention,37190
34,intervention,27729
35,intervention,17646
36,intervention,28513
37,intervention,23754
38,intervention,42406
39,intervention,21380
4,intervention,20769
40,intervention,14980
41,intervention,17948
42,intervention,19044
43,intervention,14659
44,intervention,41146
45,intervention,39287
46,intervention,18613
47,intervention,38186
48,intervention,21265
49,intervention,37612
5,intervention,26474
50,intervention,10655
51,intervention,16429
52,intervention,62643
53,intervention,32222
54,intervention,16200
55,intervention,16237
56,intervention,32712
57,intervention,32007
58,intervention,17605
59,intervention,27347
6,intervention,48211
60,intervention,13443
61,intervention,22960
62,intervention,56889
63,intervention,22278
64,intervention,17435
65,intervention,20951
66,intervention,29677
67,intervention,31001
68,intervention,27982
69,intervention,35431
7,intervention,14659
70,intervention,40977
71,intervention,23948
72,intervention,19297
73,intervention,53334
74,intervention,14478
75,intervention,42613
76,intervention,10679
77,intervention,33520
78,intervention,27387
79,intervention,25227
8,intervention,25694
80,intervention,21310
81,intervention,28454
82,intervention,22846
