Time,Seed,Model,Value
0,1,control,5357
3,1,control,5418
6,1,control,5404
9,1,control,5479
12,1,control,5453
15,1,control,5380
18,1,control,5362
21,1,control,5405
24,1,control,5466
27,1,control,5401
30,1,control,5371
33,1,control,5386
36,1,control,5442
39,1,control,5449
42,1,control,5396
45,1,control,5456
48,1,control,5468
0,10,control,8809
3,10,control,8801
6,10,control,8699
9,10,control,8801
12,10,control,8749
15,10,control,8792
18,10,control,8724
21,10,control,8665
24,10,control,8814
27,10,control,8741
30,10,control,8765
33,10,control,8763
36,10,control,8763
39,10,control,8679
42,10,control,8749
45,10,control,8791
48,10,control,8697
0,100,control,2379
3,100,control,2375
6,100,control,2395
9,100,control,2389
12,100,control,2416
15,100,control,2336
18,100,control,2365
21,100,control,2367
24,100,control,2327
27,100,control,2347
30,100,control,2364
33,100,control,2339
36,100,control,2340
39,100,control,2369
42,100,control,2359
45,100,control,2401
48,100,control,2392
0,101,control,2924
3,101,control,2897
6,101,control,2885
9,101,control,2905
12,101,control,2884
15,101,control,2865
18,101,control,2892
21,101,control,2874
24,101,control,2912
27,101,control,2905
30,101,control,2858
33,101,control,2928
36,101,control,2929
39,101,control,2834
42,101,control,2934
45,101,control,2888
48,101,control,2869
0,102,control,10271
3,102,control,10241
6,102,control,10132
9,102,control,10220
12,102,control,10296
15,102,control,10203
18,102,control,10213
21,102,control,10213
24,102,control,10286
27,102,control,10321
30,102,control,10326
33,102,control,10234
36,102,control,10202
39,102,control,10235
42,102,control,10270
45,102,control,10243
48,102,control,10198
0,103,control,5813
3,103,control,5783
6,103,control,5733
9,103,control,5831
12,103,control,5738
15,103,control,5748
18,103,control,5757
21,103,control,5789
24,103,control,5833
27,103,control,5768
30,103,control,5746
33,103,control,5804
36,103,control,5799
39,103,control,5753
42,103,control,5735
45,103,control,5769
48,103,control,5840
0,104,control,6110
3,104,control,6116
6,104,control,6078
9,104,control,6149
12,104,control,6028
15,104,control,6093
18,104,control,6146
21,104,control,6047
24,104,control,6105
27,104,control,6095
30,104,control,6146
33,104,control,6144
36,104,control,6081
39,104,control,6109
42,104,control,6071
45,104,control,6049
48,104,control,6130
0,105,control,3779
3,105,control,3785
6,105,control,3776
9,105,control,3751
12,105,control,3774
15,105,control,3779
18,105,control,3797
21,105,control,3796
24,105,control,3771
27,105,control,3750
30,105,control,3718
33,105,control,3819
36,105,control,3757
39,105,control,3800
42,105,control,3784
45,105,control,3775
48,105,control,3773
0,106,control,2151
3,106,control,2158
6,106,control,2153
9,106,control,2150
12,106,control,2153
15,106,control,2170
18,106,control,2151
21,106,control,2184
24,106,control,2155
27,106,control,2145
30,106,control,2125
33,106,control,2155
36,106,control,2123
39,106,control,2135
42,106,control,2109
45,106,control,2162
48,106,control,2137
0,107,control,5269
3,107,control,5257
6,107,control,5333
9,107,control,5265
12,107,control,5257
15,107,control,5282
18,107,control,5175
21,107,control,5269
24,107,control,5283
27,107,control,5216
30,107,control,5298
33,107,control,5327
36,107,control,5310
39,107,control,5221
42,107,control,5248
45,107,control,5288
48,107,control,5290
0,108,control,5833
3,108,control,5758
6,108,control,5754
9,108,control,5807
12,108,control,5826
15,108,control,5771
18,108,control,5770
21,108,control,5799
24,108,control,5765
27,108,control,5812
30,108,control,5755
33,108,control,5740
36,108,control,5810
39,108,control,5803
42,108,control,5773
45,108,control,5749
48,108,control,5784
0,109,control,2217
3,109,control,2206
6,109,control,2224
9,109,control,2172
12,109,control,2202
15,109,control,2213
18,109,control,2212
21,109,control,2193
24,109,control,2206
27,109,control,2158
30,109,control,2152
33,109,control,2158
36,109,control,2173
39,109,control,2195
42,109,control,2172
45,109,control,2163
48,109,control,2187
0,11,control,9583
3,11,control,9529
6,11,control,9524
9,11,control,9588
12,11,control,9533
15,11,control,9448
18,11,control,9487
21,11,control,9502
24,11,control,9523
27,11,control,9481
30,11,control,9551
33,11,control,9531
36,11,control,9498
39,11,control,9434
42,11,control,9477
