Time,Seed,Model,Value
0,1,control,0.0024695
3,1,control,0.0024615
6,1,control,0.002427
9,1,control,0.0024405
12,1,control,0.002444
15,1,control,0.0024365
18,1,control,0.0024485
21,1,control,0.002443
24,1,control,0.002455
27,1,control,0.002442
30,1,control,0.0024085
33,1,control,0.0024765
36,1,control,0.0024455
39,1,control,0.0024555
42,1,control,0.0024925
45,1,control,0.0024405
48,1,control,0.0024635
0,10,control,0.0030835
3,10,control,0.0031305
6,10,control,0.0031415
9,10,control,0.0031325
12,10,control,0.003117
15,10,control,0.003104
18,10,control,0.003113
21,10,control,0.0031075
24,10,control,0.0031275
27,10,control,0.003096
30,10,control,0.003102
33,10,control,0.0031245
36,10,control,0.0031405
39,10,control,0.0031165
42,10,control,0.0031025
45,10,control,0.0031415
48,10,control,0.0031165
0,100,control,0.0031225
3,100,control,0.00308
6,100,control,0.0030835
9,100,control,0.0031
12,100,control,0.003099
15,100,control,0.003086
18,100,control,0.0031075
21,100,control,0.003126
24,100,control,0.0030965
27,100,control,0.003119
30,100,control,0.0030765
33,100,control,0.003096
36,100,control,0.003079
39,100,control,0.0031115
42,100,control,0.003099
45,100,control,0.0031045
48,100,control,0.00308
0,101,control,0.0025695
3,101,control,0.0025545
6,101,control,0.0025565
9,101,control,0.0025625
12,101,control,0.002582
15,101,control,0.0025695
18,101,control,0.0025365
21,101,control,0.0025405
24,101,control,0.0025415
27,101,control,0.002563
30,101,control,0.0025145
33,101,control,0.0025715
36,101,control,0.0025455
39,101,control,0.0025545
42,101,control,0.002525
45,101,control,0.002536
48,101,control,0.0025495
0,102,control,0.002799
3,102,control,0.002775
6,102,control,0.0027545
9,102,control,0.002789
12,102,control,0.0027785
15,102,control,0.0027885
18,102,control,0.00276
21,102,control,0.0027935
24,102,control,0.002818
27,102,control,0.0027955
30,102,control,0.0027995
33,102,control,0.002784
36,102,control,0.002787
39,102,control,0.002804
42,102,control,0.0027835
45,102,control,0.0027775
48,102,control,0.002782
0,103,control,0.002144
3,103,control,0.0021575
6,103,control,0.0021525
9,103,control,0.0021545
12,103,control,0.002159
15,103,control,0.0021425
18,103,control,0.0021895
21,103,control,0.002142
24,103,control,0.0021735
27,103,control,0.002186
30,103,control,0.002152
33,103,control,0.00215
36,103,control,0.002182
39,103,control,0.0021585
42,103,control,0.002144
45,103,control,0.0021805
48,103,control,0.0021705
0,104,control,0.0028085
3,104,control,0.0028255
6,104,control,0.00281
9,104,control,0.002813
12,104,control,0.002828
15,104,control,0.0028235
18,104,control,0.002804
21,104,control,0.0028245
24,104,control,0.002816
27,104,control,0.002796
30,104,control,0.0027855
33,104,control,0.0028085
36,104,control,0.002845
39,104,control,0.002833
42,104,control,0.0028325
45,104,control,0.002786
48,104,control,0.0028125
0,105,control,0.0032955
3,105,control,0.0033395
6,105,control,0.0033315
9,105,control,0.0033345
12,105,control,0.003332
15,105,control,0.003349
18,105,control,0.0032745
21,105,control,0.0032985000000000002
24,105,control,0.003325
27,105,control,0.003359
30,105,control,0.003319
33,105,control,0.00332
36,105,control,0.003363
39,105,control,0.0033135
42,105,control,0.003345
45,105,control,0.003323
48,105,control,0.0033015
0,106,control,0.002679
3,106,control,0.002703
6,106,control,0.002714
9,106,control,0.0026875
12,106,control,0.002738
15,106,control,0.002718
18,106,control,0.0027005
21,106,control,0.0026855
24,106,control,0.0027355
27,106,control,0.0027225
30,106,control,0.002702
33,106,control,0.0027075
36,106,control,0.002718
39,106,control,0.0026975
42,106,control,0.002684
45,106,control,0.0027125
48,106,control,0.0026905
0,107,control,0.0027535
3,107,control,0.0027495
6,107,control,0.002754
9,107,control,0.002765
12,107,control,0.0027155
15,107,control,0.0027405
18,107,control,0.00275
21,107,control,0.0027125
24,107,control,0.0027515
27,107,control,0.002741
30,107,control,0.0027855
33,107,control,0.0026945
36,107,control,0.0027705
39,107,control,0.0027465
42,107,control,0.0027705
45,107,control,0.002735
48,107,control,0.002737
0,108,control,0.0030225
3,108,control,0.0029445
6,108,control,0.0029915
9,108,control,0.0029965
12,108,control,0.002979
15,108,control,0.00298
18,108,control,0.0029865
21,108,control,0.0030135
24,108,control,0.0030055
27,108,control,0.0030105
30,108,control,0.002985
33,108,control,0.002973
36,108,control,0.0030235
39,108,control,0.0029685
42,108,control,0.0029705
45,108,control,0.0029645
48,108,control,0.0030325
0,109,control,0.002738
3,109,control,0.002708
6,109,control,0.0026875
9,109,control,0.0027045
12,109,control,0.002674
15,109,control,0.002736
18,109,control,0.00267
21,109,control,0.0027335
24,109,control,0.002748
27,109,control,0.0027005
30,109,control,0.0026895
33,109,control,0.002719
36,109,control,0.0026785
39,109,control,0.002729
42,109,control,0.002719
45,109,control,0.002726
48,109,control,0.002711
0,11,control,0.002943
3,11,control,0.0029385
6,11,control,0.0029035
9,11,control,0.0029195
12,11,control,0.0029355
15,11,control,0.0029005
18,11,control,0.002917
21,11,control,0.002941
24,11,control,0.0029565
27,11,control,0.002947
30,11,control,0.0029405
33,11,control,0.0029595
36,11,control,0.0029395
39,11,control,0.002899
42,11,control,0.0029375
45,11,control,0.0029525
48,11,control,0.0029365
0,110,control,0.00288
3,110,control,0.002899
6,110,control,0.0028769999999999998
9,110,control,0.0028785
12,110,control,0.0029245
15,110,control,0.002879
18,110,control,0.00288
21,110,control,0.002904
24,110,control,0.002857
27,110,control,0.002918
30,110,control,0.002911
33,110,control,0.0028635
36,110,control,0.0028955
39,110,control,0.002876
42,110,control,0.002901
45,110,control,0.002895
48,110,control,0.0029045
0,111,control,0.0031235
3,111,control,0.003143
6,111,control,0.003104
9,111,control,0.003149
12,111,control,0.003099
15,111,control,0.00314
18,111,control,0.0031305
21,111,control,0.003149
24,111,control,0.0031375
27,111,control,0.0031125
30,111,control,0.003173
