Seed,Model,Ne
1,control,27686
10,control,28271
100,control,34271
101,control,31699
102,control,33724
103,control,28699
104,control,29396
105,control,33828
106,control,29069
107,control,29659
108,control,31994
109,control,29116
11,control,31465
110,control,31931
111,control,30809
112,control,27183
113,control,31528
114,control,27738
115,control,29443
116,control,30118
117,control,32804
118,control,28909
119,control,26346
12,control,25043
120,control,26031
121,control,29645
122,control,28633
123,control,31521
124,control,24416
125,control,25666
126,control,32763
127,control,30013
128,control,28122
129,control,29652
13,control,28803
130,control,31220
131,control,32996
132,control,25569
133,control,29315
134,control,30311
135,control,32727
136,control,25358
137,control,25782
138,control,33319
139,control,32802
14,control,25305
140,control,27344
141,control,27016
142,control,29816
143,control,36108
144,control,26643
145,control,30297
146,control,29229
147,control,27563
148,control,28066
149,control,28161
15,control,28875
150,control,35616
151,control,30524
152,control,29526
153,control,27991
154,control,30553
155,control,30387
156,control,26461
157,control,35187
158,control,27134
159,control,32492
16,control,29445
160,control,31048
161,control,29591
162,control,26767
163,control,29365
164,control,30441
165,control,29625
166,control,30536
167,control,34203
168,control,31478
169,control,29205
17,control,28456
170,control,31452
171,control,32042
172,control,35865
173,control,25514
174,control,26614
175,control,33279
176,control,28134
177,control,27864
178,control,30606
179,control,31951
18,control,26683
180,control,30573
181,control,34874
182,control,33778
183,control,30643
184,control,28815
185,control,23225
186,control,32657
187,control,33685
188,control,32639
189,control,28846
19,control,30745
190,control,31288
191,control,26465
192,control,32209
193,control,30249
194,control,29205
195,control,30172
196,control,32128
197,control,27339
198,control,28381
199,control,28213
2,control,30153
20,control,29137
200,control,26849
21,control,31844
22,control,29611
23,control,35719
24,control,25574
25,control,30931
26,control,30412
27,control,32927
28,control,29201
29,control,28194
3,control,30972
30,control,32702
31,control,31355
32,control,26263
33,control,34572
34,control,29643
35,control,27208
36,control,33241
37,control,34347
38,control,32566
39,control,31022
4,control,28920
40,control,30965
41,control,28584
42,control,33792
43,control,29358
44,control,27490
45,control,25744
46,control,30646
47,control,26847
48,control,29161
49,control,29899
5,control,33478
50,control,29566
51,control,29252
52,control,29265
53,control,27444
54,control,28261
55,control,25003
56,control,29754
57,control,27093
58,control,33572
59,control,30817
6,control,35712
60,control,35598
61,control,29899
62,control,25563
63,control,33139
64,control,30828
65,control,31873
66,control,29349
67,control,27757
68,control,30749
69,control,29653
7,control,31397
70,control,33353
71,control,30143
72,control,24740
73,control,28247
74,control,30501
75,control,33539
76,control,32457
77,control,29424
78,control,29872
79,control,25874
8,control,26707
80,control,36036
81,control,28630
82,control,32763
83,control,30375
84,control,36206
85,control,28013
86,control,25367
87,control,29659
88,control,32999
89,control,25249
9,control,29251
90,control,31207
91,control,29852
92,control,29023
93,control,28583
94,control,29195
95,control,27080
96,control,32045
97,control,27809
98,control,32321
99,control,32316
1,intervention,29407
10,intervention,27737
100,intervention,33035
101,intervention,29987
102,intervention,32650
103,intervention,24944
104,intervention,35631
105,intervention,25119
106,intervention,25385
107,intervention,29166
108,intervention,25163
109,intervention,27963
11,intervention,27269
110,intervention,29751
111,intervention,28638
112,intervention,29311
113,intervention,25825
114,intervention,29742
115,intervention,29316
116,intervention,30525
117,intervention,28468
118,intervention,31697
119,intervention,27664
12,intervention,36900
120,intervention,39574
121,intervention,30385
122,intervention,30357
123,intervention,34132
124,intervention,30600
125,intervention,25438
126,intervention,28127
127,intervention,28448
