Seed,Model,Ne
1,control,41611
10,control,30327
100,control,34595
101,control,27237
102,control,29092
103,control,17795
104,control,29248
105,control,31651
106,control,50417
107,control,17845
108,control,18253
109,control,43917
11,control,26627
110,control,32406
111,control,37274
112,control,28925
113,control,34339
114,control,28443
115,control,22559
116,control,47402
117,control,20531
118,control,25174
119,control,19257
12,control,17777
120,control,15112
121,control,22637
122,control,27419
123,control,21730
124,control,30551
125,control,26938
126,control,36395
127,control,21597
128,control,33507
129,control,28650
13,control,24724
130,control,40918
131,control,58408
132,control,26283
133,control,17015
134,control,23475
135,control,26258
136,control,32865
137,control,36940
138,control,14467
139,control,27173
14,control,29656
140,control,30157
141,control,21963
142,control,37503
143,control,35564
144,control,24581
145,control,23647
146,control,22021
147,control,43828
148,control,22168
149,control,27154
15,control,22727
150,control,31242
151,control,15687
152,control,40592
153,control,31638
154,control,30641
155,control,42556
156,control,36068
157,control,30517
158,control,27935
159,control,31379
16,control,39326
160,control,23760
161,control,22174
162,control,38726
163,control,19770
164,control,25082
165,control,33059
166,control,33810
167,control,21909
168,control,22992
169,control,25279
17,control,37956
170,control,29117
171,control,21834
172,control,22925
173,control,28642
174,control,22896
175,control,24744
176,control,44917
177,control,22244
178,control,20668
179,control,24247
18,control,21982
180,control,26659
181,control,26763
182,control,18983
183,control,27630
184,control,32911
185,control,19789
186,control,21683
187,control,28612
188,control,24133
189,control,27069
19,control,37973
190,control,31713
191,control,46777
192,control,28233
193,control,42764
194,control,29104
195,control,24297
196,control,14058
197,control,29708
198,control,41129
199,control,21972
2,control,38924
20,control,40972
200,control,21139
21,control,34715
22,control,18125
23,control,42687
24,control,26425
25,control,16756
26,control,44474
27,control,20857
28,control,31275
29,control,30291
3,control,18463
30,control,21465
31,control,30387
32,control,38456
33,control,30062
34,control,21442
35,control,42809
36,control,30110
37,control,24590
38,control,15000
39,control,35102
4,control,16910
40,control,36692
41,control,51648
42,control,19901
43,control,30204
44,control,34993
45,control,30503
46,control,30317
47,control,26489
48,control,29242
49,control,20813
5,control,30473
50,control,31855
51,control,23662
52,control,21342
53,control,45593
54,control,34261
55,control,23728
56,control,33100
57,control,24713
58,control,26584
59,control,35839
6,control,38464
60,control,24990
61,control,29317
62,control,25077
63,control,32846
64,control,21084
65,control,47767
66,control,24308
67,control,26731
68,control,36750
69,control,39018
7,control,27624
70,control,33869
71,control,17013
72,control,26476
73,control,38768
74,control,35935
75,control,21712
76,control,18355
77,control,27492
78,control,16598
79,control,19687
8,control,27030
80,control,44376
81,control,22329
82,control,25778
83,control,19380
84,control,36661
85,control,20544
86,control,31211
87,control,48936
88,control,21173
89,control,19956
9,control,31590
90,control,25099
91,control,25762
92,control,18270
93,control,34467
94,control,23051
95,control,43291
96,control,21706
97,control,40303
98,control,15528
99,control,29073
1,intervention,20088
10,intervention,35201
100,intervention,18492
101,intervention,20446
102,intervention,25661
103,intervention,27256
104,intervention,33797
105,intervention,29004
106,intervention,26257
107,intervention,41408
108,intervention,32971
109,intervention,38625
11,intervention,36049
110,intervention,24021
111,intervention,25550
112,intervention,21858
113,intervention,34699
114,intervention,45034
115,intervention,39136
116,intervention,26726
117,intervention,26399
118,intervention,46971
119,intervention,35690
12,intervention,47683
120,intervention,31190
121,intervention,21643
122,intervention,29198
123,intervention,30336
124,intervention,18772
125,intervention,28766
126,intervention,23903
127,intervention,24380
128,intervention,29927
129,intervention,22499
13,intervention,21074
130,intervention,44175
131,intervention,20021
132,intervention,21473
133,intervention,15102
134,intervention,17571
135,intervention,25186
136,intervention,39578
137,intervention,37531
138,intervention,24076
139,intervention,14765
14,intervention,21886
140,intervention,50111
141,intervention,28409
142,intervention,17375
143,intervention,24955
144,intervention,34516
145,intervention,25497
146,intervention,22060
147,intervention,37627
148,intervention,29091
149,intervention,36100
15,intervention,31920
150,intervention,30482
151,intervention,47180
152,intervention,32429
153,intervention,59419
154,intervention,32607
155,intervention,31113
156,intervention,27988
157,intervention,37431
158,intervention,30662
159,intervention,15940
16,intervention,38607
160,intervention,32318
161,intervention,21148
162,intervention,32140
163,intervention,47033
164,intervention,30313
165,intervention,27688
166,intervention,32982
167,intervention,29859
168,intervention,18501
169,intervention,34793
17,intervention,21501
170,intervention,41469
171,intervention,28519
172,intervention,41814
173,intervention,18485
174,intervention,17101
175,intervention,56632
176,intervention,32142
177,intervention,24788
178,intervention,21119
179,intervention,35917
18,intervention,38828
180,intervention,25206
181,intervention,27289
182,intervention,26690
183,intervention,28715
184,intervention,18247
185,intervention,24789
186,intervention,30915
187,intervention,17949
