Seed,Model,Ne
1,control,59605
10,control,41905
100,control,26956
101,control,16562
102,control,17877
103,control,49096
104,control,8543
105,control,10951
106,control,47329
107,control,13359
108,control,85860
109,control,33455
11,control,17155
110,control,21813
111,control,32275
112,control,34938
113,control,49231
114,control,42403
115,control,15951
116,control,21559
117,control,21008
118,control,39924
119,control,29405
12,control,27986
120,control,21355
121,control,35373
122,control,31488
123,control,28895
124,control,17469
125,control,36341
126,control,13078
127,control,45170
128,control,33361
129,control,31433
13,control,35005
130,control,16420
131,control,15770
132,control,57460
133,control,17191
134,control,23804
135,control,48330
136,control,18632
137,control,38873
138,control,39183
139,control,38877
14,control,36550
140,control,76055
141,control,24554
142,control,35239
143,control,54473
144,control,13225
145,control,41305
146,control,61207
147,control,24796
148,control,40429
149,control,60191
15,control,23862
150,control,25616
151,control,14496
152,control,28531
153,control,17461
154,control,10036
155,control,18080
156,control,20920
157,control,22276
158,control,21056
159,control,49794
16,control,26876
160,control,34881
161,control,48186
162,control,35433
163,control,36396
164,control,29702
165,control,36715
166,control,42074
167,control,14609
168,control,22660
169,control,41427
17,control,23914
170,control,12841
171,control,38689
172,control,97898
173,control,28216
174,control,18974
175,control,14313
176,control,35192
177,control,10850
178,control,25616
179,control,28875
18,control,8309
180,control,9390
181,control,26789
182,control,13068
183,control,52765
184,control,106036
185,control,30278
186,control,13857
187,control,28831
188,control,106020
189,control,16629
19,control,15620
190,control,89051
191,control,10372
192,control,29140
193,control,28819
194,control,27993
195,control,22292
196,control,26223
197,control,27566
198,control,49990
199,control,32779
2,control,26760
20,control,10865
200,control,19397
21,control,41031
22,control,25418
23,control,32765
24,control,13643
25,control,43671
26,control,16396
27,control,26206
28,control,53376
29,control,31611
3,control,15779
30,control,35791
31,control,44412
32,control,38140
33,control,30376
34,control,22817
35,control,20454
36,control,28355
37,control,37133
38,control,26388
39,control,45332
4,control,43194
40,control,14663
41,control,19633
42,control,23150
43,control,17391
44,control,8234
45,control,18638
46,control,32889
47,control,15391
48,control,24332
49,control,10900
5,control,27122
50,control,34689
51,control,13871
52,control,33500
53,control,14067
54,control,42944
55,control,40086
56,control,32677
57,control,10956
58,control,30705
59,control,16427
6,control,26766
60,control,82867
61,control,9323
62,control,20161
63,control,12457
64,control,25795
65,control,17938
66,control,34393
67,control,51104
68,control,33408
69,control,92919
7,control,24387
70,control,19575
