Time,Seed,Model,Value
9,25,control,252304
12,25,control,252645
15,25,control,252224
18,25,control,251797
21,25,control,252395
24,25,control,251342
27,25,control,252559
30,25,control,252149
33,25,control,252200
36,25,control,252734
39,25,control,252596
42,25,control,253041
45,25,control,251721
48,25,control,252603
0,26,control,251124
3,26,control,252679
6,26,control,251251
9,26,control,250914
12,26,control,252300
15,26,control,251201
18,26,control,252057
21,26,control,251764
24,26,control,250807
27,26,control,251605
30,26,control,251811
33,26,control,250683
36,26,control,251778
39,26,control,250276
42,26,control,250483
45,26,control,252497
48,26,control,252363
0,27,control,254702
3,27,control,254151
6,27,control,253670
9,27,control,254516
12,27,control,254452
15,27,control,253669
18,27,control,254033
21,27,control,253359
24,27,control,253113
27,27,control,254485
30,27,control,253921
33,27,control,253491
36,27,control,252954
39,27,control,253591
42,27,control,253268
45,27,control,253242
48,27,control,254272
0,28,control,253203
3,28,control,254480
6,28,control,253025
9,28,control,253526
12,28,control,254518
15,28,control,253500
18,28,control,253676
21,28,control,254405
24,28,control,252485
27,28,control,253892
30,28,control,253838
33,28,control,252633
36,28,control,254297
39,28,control,254138
42,28,control,253937
45,28,control,253306
48,28,control,253012
0,29,control,252070
3,29,control,253086
6,29,control,252830
9,29,control,253019
12,29,control,252994
15,29,control,252962
18,29,control,252430
21,29,control,252983
24,29,control,253528
27,29,control,253402
30,29,control,253224
33,29,control,252833
36,29,control,252112
39,29,control,253409
42,29,control,253393
45,29,control,252500
48,29,control,253276
0,3,control,252143
3,3,control,252088
6,3,control,252620
9,3,control,251800
12,3,control,252144
15,3,control,252527
18,3,control,252521
21,3,control,250839
24,3,control,251900
27,3,control,251755
30,3,control,252583
33,3,control,252857
36,3,control,252092
39,3,control,252289
42,3,control,252196
45,3,control,253119
48,3,control,252745
0,30,control,251356
3,30,control,251212
6,30,control,250955
9,30,control,251149
12,30,control,250461
15,30,control,251196
18,30,control,251749
21,30,control,250293
24,30,control,251057
27,30,control,251743
30,30,control,251643
33,30,control,250786
36,30,control,251567
39,30,control,250687
42,30,control,250179
45,30,control,251717
48,30,control,251639
0,31,control,253208
3,31,control,253329
6,31,control,253627
9,31,control,253350
12,31,control,253482
15,31,control,252953
18,31,control,253489
21,31,control,252948
24,31,control,253233
27,31,control,252843
30,31,control,254001
33,31,control,252908
36,31,control,253928
39,31,control,252569
42,31,control,252819
45,31,control,254184
48,31,control,254259
0,32,control,253168
3,32,control,254843
6,32,control,253878
9,32,control,254450
12,32,control,253656
15,32,control,252941
18,32,control,253407
21,32,control,254146
24,32,control,253835
27,32,control,253274
30,32,control,253641
33,32,control,253883
36,32,control,254501
39,32,control,253175
42,32,control,254795
45,32,control,254037
48,32,control,253617
0,33,control,252793
3,33,control,251906
6,33,control,252046
9,33,control,251486
12,33,control,252037
15,33,control,251092
18,33,control,252043
21,33,control,251338
24,33,control,251683
27,33,control,252231
30,33,control,251456
33,33,control,252265
36,33,control,251309
39,33,control,251751
42,33,control,253494
45,33,control,252099
48,33,control,252108
0,34,control,254302
3,34,control,254052
6,34,control,254821
9,34,control,253485
12,34,control,254856
15,34,control,253473
18,34,control,254514
21,34,control,255485
