Time,N,Seed,Model,Value
33,30,101,control,-0.06417678015858375
36,10,101,control,-0.06068124249628356
36,30,101,control,0.02146215048606211
39,10,101,control,0.08436837588352131
39,30,101,control,0.10288687440418376
42,10,101,control,0.01233011761054106
42,30,101,control,-0.04772701609547541
45,10,101,control,0.03359668854710444
45,30,101,control,0.04886779939358882
48,10,101,control,0.07205402397546097
48,30,101,control,0.05898060420805289
0,10,102,control,0.00843393751941025
0,30,102,control,-0.00403519426834756
3,10,102,control,0.02871245245630393
3,30,102,control,-0.00119364217192556
6,10,102,control,-0.00742125282042379
6,30,102,control,0.02291502136930805
9,10,102,control,-0.02120113285916069
9,30,102,control,0.00922085485065002
12,10,102,control,-0.02931453454616093
12,30,102,control,-5.7989599371101e-4
15,10,102,control,-0.01023517772198
15,30,102,control,0.041456785454738757
18,10,102,control,0.02251744014449888
18,30,102,control,0.00928630879457834
21,10,102,control,-0.00380993453898613
21,30,102,control,0.03365543635393566
24,10,102,control,-0.02417866573874176
24,30,102,control,-0.00948750345011936
27,10,102,control,0.01956164274033218
27,30,102,control,-0.00645649518036333
30,10,102,control,-0.01618912527855073
30,30,102,control,0.00120111723303483
33,10,102,control,0.00742322736252817
33,30,102,control,0.00136398599548136
36,10,102,control,-0.00985319906962553
36,30,102,control,0.04655324681637193
39,10,102,control,0.00651503974352557
39,30,102,control,0.00677846200913362
42,10,102,control,0.03687452192372042
42,30,102,control,0.00679580900694328
45,10,102,control,-0.0104906534634265
45,30,102,control,-0.00295802856865165
48,10,102,control,-0.01298649379415244
48,30,102,control,0.03091576411886262
0,10,103,control,-0.04453889279868404
0,30,103,control,-0.09408097650681696
3,10,103,control,-0.065598588363028
3,30,103,control,-0.09587940077337742
6,10,103,control,-0.10374781445164324
6,30,103,control,-0.05437197921681649
9,10,103,control,-0.0815265771329186
9,30,103,control,-0.09576097809237936
12,10,103,control,-0.04439621727085209
12,30,103,control,-0.07685178562054089
15,10,103,control,-0.0769340760301633
15,30,103,control,-0.07379139595704656
18,10,103,control,-0.10268414703320604
18,30,103,control,-0.05957796452483857
21,10,103,control,-0.05113106111660689
21,30,103,control,-0.05425116600884581
24,10,103,control,-0.09814944143805444
24,30,103,control,-0.09440082956790172
27,10,103,control,-0.11066231726686616
27,30,103,control,-0.0834445692892992
30,10,103,control,-0.06481530805050097
30,30,103,control,-0.05050923353954965
33,10,103,control,-0.00561159316579097
33,30,103,control,-0.06944968710047898
36,10,103,control,-0.13715469081057716
36,30,103,control,-0.12072195814320807
39,10,103,control,-0.1040266666453429
39,30,103,control,-0.05357465243440987
42,10,103,control,-0.09443971672020122
42,30,103,control,-0.05975247665122268
45,10,103,control,-0.03974252363933445
45,30,103,control,-0.09747358131624616
48,10,103,control,-0.08347704471612906
48,30,103,control,-0.1280486285810469
0,10,104,control,0.09708315124003364
0,30,104,control,0.05269342360496692
3,10,104,control,0.01230430189672687
3,30,104,control,0.01538239044558988
6,10,104,control,0.0098527837820709
6,30,104,control,0.04819598541148134
9,10,104,control,0.02023853591772618
9,30,104,control,0.0185132702466461
12,10,104,control,0.07069811980135189
12,30,104,control,0.05190446783794347
15,10,104,control,-0.03590815421398681
15,30,104,control,0.02004774543918961
18,10,104,control,0.0523117632700476
18,30,104,control,0.04448470466296858
21,10,104,control,0.10218781111566257
21,30,104,control,0.07595246368852897
24,10,104,control,0.02644730095036899
24,30,104,control,0.01782153939721583
27,10,104,control,0.02852372810550803
27,30,104,control,0.02709854117882332
30,10,104,control,0.06338895094908481
30,30,104,control,0.03196060462591596
33,10,104,control,0.00335322178411667
33,30,104,control,0.03317996407610223
36,10,104,control,0.04382111159632052
36,30,104,control,0.07653407139066327
39,10,104,control,0.01628691699463966
39,30,104,control,0.00723698164620195
42,10,104,control,0.01373070425811464
42,30,104,control,-0.00572189581837917
45,10,104,control,0.05360692347722071
45,30,104,control,0.05392025775499587
48,10,104,control,0.04951242756881557
48,30,104,control,-0.0072102858060036
0,10,105,control,-0.00359600333763939
0,30,105,control,0.03767899432091965
3,10,105,control,-0.06727102122773113
3,30,105,control,-0.05357450518280762
6,10,105,control,-0.00342159637178759
6,30,105,control,0.01221109275610492
9,10,105,control,-0.03963936828484706
9,30,105,control,0.02319821715512052
12,10,105,control,-0.05344262975696428
12,30,105,control,0.0104507392663081
15,10,105,control,0.00520737955470853
15,30,105,control,-0.03402916345299695
18,10,105,control,-0.09100166583955786
18,30,105,control,-0.04417816268658731
21,10,105,control,-0.04330601422979267
21,30,105,control,-0.00827902097867806
24,10,105,control,-0.03497003212206518
24,30,105,control,-0.00355893977793178
27,10,105,control,0.08183779164207393
27,30,105,control,0.00206681298275691
30,10,105,control,-0.04211698406908196
30,30,105,control,0.05238103890862924
33,10,105,control,-0.03736714020625129
33,30,105,control,0.00826635242439481
36,10,105,control,-0.00261617902700221
36,30,105,control,0.04848876640551306
39,10,105,control,-0.02187168151968045
39,30,105,control,0.0402294097515868
42,10,105,control,-0.04133540953594329
42,30,105,control,-0.04546588674342893
45,10,105,control,0.0362037946253774
45,30,105,control,0.00159959101876247
48,10,105,control,-0.05071411948750801
48,30,105,control,0.00426917163937226
0,10,106,control,-0.01186775234705151
0,30,106,control,0.03685048678459014
3,10,106,control,0.07319490215828893
3,30,106,control,-0.02937416405351752
6,10,106,control,-8.5282616600531e-4
6,30,106,control,-0.0319987516174126
9,10,106,control,0.03497498927785451
9,30,106,control,-0.02372533739208696
12,10,106,control,-0.06020010455192598
12,30,106,control,-0.02934719769914781
15,10,106,control,-0.09224088851204566
15,30,106,control,-0.01103825445577508
18,10,106,control,0.00203814623155639
18,30,106,control,0.01708990901071545
21,10,106,control,0.00756411577633559
21,30,106,control,-0.06193285200859563
24,10,106,control,-7.8896975715266e-4
24,30,106,control,-0.03948858721661914
27,10,106,control,0.04136040497690452
27,30,106,control,-0.01644304889155195
30,10,106,control,0.06659712320899104
30,30,106,control,-0.02031839533218741
33,10,106,control,-0.0268140398452357
33,30,106,control,0.0028778202784346
36,10,106,control,-0.02048049716458782
36,30,106,control,-0.0094229278278238
39,10,106,control,0.02176630600908342
39,30,106,control,0.00647392106184875
42,10,106,control,0.02187500867053586
42,30,106,control,0.01841723423559371
45,10,106,control,-0.115614414178813
45,30,106,control,-0.08549933592452122
48,10,106,control,0.01981105292425881
48,30,106,control,0.00287986238570421
0,10,107,control,0.00400822577718831
0,30,107,control,0.0692799276083096
3,10,107,control,0.02165666570820354
3,30,107,control,0.02738523060089348
6,10,107,control,-0.01265756638024508
6,30,107,control,-0.04138510373831491
9,10,107,control,0.03897469414577082
9,30,107,control,0.01658977583989044
12,10,107,control,-0.06332580269916219
