Time,N,Seed,Model,Value
33,30,102,control,-0.03810284208268257
36,10,102,control,-0.03155001927008594
36,30,102,control,-0.0841958637672459
39,10,102,control,0.00523676777733969
39,30,102,control,-0.06485536951863695
42,10,102,control,-0.00663421144360602
42,30,102,control,-0.07736830222659265
45,10,102,control,-0.04556994369355253
45,30,102,control,-0.01470115539837947
48,10,102,control,-0.01065522803647292
48,30,102,control,-0.04641334264979931
0,10,103,control,0.01589953349086828
0,30,103,control,-0.00926517100385048
3,10,103,control,-0.03250260285634233
3,30,103,control,-0.01729826829604612
6,10,103,control,-0.03391229619505261
6,30,103,control,-0.00198798149157818
9,10,103,control,0.01169925504724094
9,30,103,control,-4.1754922525103e-4
12,10,103,control,0.00168461666953649
12,30,103,control,-0.00650309250496606
15,10,103,control,-0.01576259293009947
15,30,103,control,0.00238431494505872
18,10,103,control,0.00931643970953493
18,30,103,control,-0.01858792226878595
21,10,103,control,-0.03869030399035727
21,30,103,control,6.9230682400206e-4
24,10,103,control,-0.0472377028059727
24,30,103,control,-0.04498086837491942
27,10,103,control,-0.02631405473523241
27,30,103,control,-0.01654649629392535
30,10,103,control,-0.0147190019468355
30,30,103,control,-0.01569139073534121
33,10,103,control,-0.01856444230100335
33,30,103,control,-0.04703624734452128
36,10,103,control,0.01465218145706795
36,30,103,control,-0.0251138030442104
39,10,103,control,-0.02787374125081237
39,30,103,control,-0.023994289894095
42,10,103,control,0.01017639681847833
42,30,103,control,-0.02805707104113584
45,10,103,control,0.03518935239659395
45,30,103,control,-0.00920229287515637
48,10,103,control,-0.01105004451009042
48,30,103,control,0.00340374658635159
0,10,104,control,-0.00465452567619325
0,30,104,control,-0.01199918088856776
3,10,104,control,0.02994410433184944
3,30,104,control,0.01601081841522932
6,10,104,control,0.01324179085604191
6,30,104,control,0.01386435965367459
9,10,104,control,-0.01151867325278379
9,30,104,control,0.01165376403387422
12,10,104,control,-0.0437936442798118
12,30,104,control,-0.00293263493292967
15,10,104,control,-0.0254383595645122
15,30,104,control,-0.00309249220809117
18,10,104,control,0.02261780331446121
18,30,104,control,0.01794969248371445
21,10,104,control,-0.04984989064226326
21,30,104,control,-0.0333770320388554
24,10,104,control,-0.02351390012705353
24,30,104,control,-0.0060779023968885
27,10,104,control,0.04475849210448864
27,30,104,control,0.01410108002594713
30,10,104,control,-0.02214953259586715
30,30,104,control,0.02230738399382866
33,10,104,control,-0.04416874459092578
33,30,104,control,-0.03451570622611652
36,10,104,control,0.0100569599719269
36,30,104,control,-0.00533165691365561
39,10,104,control,-0.03034411691366798
39,30,104,control,0.001681283168348
42,10,104,control,-0.02241918470747149
42,30,104,control,-0.00883225455249491
45,10,104,control,0.01224651417352798
45,30,104,control,0.02155308541818403
48,10,104,control,-0.00515442341723445
48,30,104,control,0.04938984028549541
0,10,105,control,-0.06799763829415503
0,30,105,control,-0.14159072883093415
3,10,105,control,0.0358795840624872
3,30,105,control,-0.05760890856402372
6,10,105,control,-0.09631053641571012
6,30,105,control,-0.05942044969584002
9,10,105,control,-0.0945447721240731
9,30,105,control,-0.12327500995562546
12,10,105,control,0.00770256077695741
12,30,105,control,-0.11543035965067554
15,10,105,control,-0.0271405259650882
15,30,105,control,-0.0362565422214324
18,10,105,control,-0.03786202627784744
18,30,105,control,-0.08969460530486807
21,10,105,control,-0.00697039472258675
21,30,105,control,-0.05017944644895508
24,10,105,control,-0.0804720792510738
24,30,105,control,-0.15789175785735635
27,10,105,control,-0.04223333726439516
27,30,105,control,-0.01352756721248357
30,10,105,control,-0.0861212993934047
30,30,105,control,0.00429654170082957
33,10,105,control,0.01311532504822715
33,30,105,control,-0.1582416109044025
36,10,105,control,0.04443231136237303
36,30,105,control,-0.11809147301695476
39,10,105,control,-0.03187160147901704
39,30,105,control,-0.02687077350466235
42,10,105,control,-0.09837458102183531
42,30,105,control,-0.07543252012333455
45,10,105,control,-0.08932355175073176
45,30,105,control,-0.10198952639564292
48,10,105,control,-0.00309923227762137
48,30,105,control,-0.08695435115060786
0,10,106,control,0.01452348291503208
0,30,106,control,-0.0352243669644946
3,10,106,control,0.06588877503414538
3,30,106,control,0.00378112069664879
6,10,106,control,-0.00195314809716912
6,30,106,control,0.01227415184129482
9,10,106,control,-0.02743194172050259
9,30,106,control,0.00823565568133222
12,10,106,control,-0.04307186050768011
12,30,106,control,-0.00418934527346356
15,10,106,control,-0.01374577799897739
15,30,106,control,0.00113644562681479
18,10,106,control,0.01245341012403251
18,30,106,control,-6.4009513006388e-4
21,10,106,control,0.02170320792096373
21,30,106,control,-9.4190473861874e-4
24,10,106,control,-0.02286143066250067
24,30,106,control,0.0210629786722212
27,10,106,control,5.4965437726744e-4
27,30,106,control,-4.8216780113479e-4
30,10,106,control,0.01269298555586677
30,30,106,control,-0.0155513932635276
33,10,106,control,0.00511512545525859
33,30,106,control,0.02932927400429721
36,10,106,control,0.03410859824363746
36,30,106,control,-0.02146281287821215
39,10,106,control,0.02359145803628897
39,30,106,control,0.01289642340616892
42,10,106,control,-0.02877821915567909
42,30,106,control,-0.00995052972366838
45,10,106,control,-0.00256875439157383
45,30,106,control,-0.07914712845459894
48,10,106,control,0.03682049140678609
48,30,106,control,-0.02631323901409208
0,10,107,control,0.05257946196063377
0,30,107,control,0.03808404147245806
3,10,107,control,0.03407928665228892
3,30,107,control,0.0411039705928215
6,10,107,control,0.02254227045495792
6,30,107,control,0.02373310170328424
9,10,107,control,0.05125847302773501
9,30,107,control,0.01718894538244771
12,10,107,control,0.00345358515051514
12,30,107,control,0.03828494308493007
15,10,107,control,0.01988283614982199
15,30,107,control,0.04263883813648756
18,10,107,control,0.05108407378115336
18,30,107,control,0.0723887902786208
21,10,107,control,0.03977770493217516
21,30,107,control,0.04876500916766008
24,10,107,control,4.8676199842545e-4
24,30,107,control,0.05484415398552932
27,10,107,control,0.02657932866321338
27,30,107,control,0.04321423123135817
30,10,107,control,0.02442048577988415
30,30,107,control,0.0502453981563914
33,10,107,control,0.00442569019702202
33,30,107,control,0.043815228456945667
36,10,107,control,-0.01872704193645409
36,30,107,control,0.04744185913704681
39,10,107,control,0.04849456251516301
39,30,107,control,0.01638484921676614
42,10,107,control,0.0235379950155003
42,30,107,control,0.01308592622525313
45,10,107,control,0.0369687439716225
45,30,107,control,0.04002241657913019
48,10,107,control,-0.03409667292151272
48,30,107,control,0.00549394220844035
0,10,108,control,0.05160469225428898
0,30,108,control,0.00388592300772838
3,10,108,control,0.0119120458752355
3,30,108,control,0.01962112927912995
6,10,108,control,0.02244089158851407
6,30,108,control,0.05433894630122365
9,10,108,control,-0.02220375373114061
9,30,108,control,9.4011501494211e-4
12,10,108,control,0.03216375317970431
12,30,108,control,-0.03421719150742352
15,10,108,control,0.02763434741292049
15,30,108,control,-0.0057044052708782
18,10,108,control,0.06576857226139775
18,30,108,control,0.00769977847835896
21,10,108,control,0.01339667717534985
21,30,108,control,0.03047604726690576
24,10,108,control,0.02507728456568156
24,30,108,control,0.04695230521179444
27,10,108,control,0.01467455001131323
27,30,108,control,0.0490564387681903
30,10,108,control,-0.00239829731044024
30,30,108,control,-2.2100105821314732e-5
33,10,108,control,-0.01135783568977733
33,30,108,control,0.02073733737750411
36,10,108,control,0.0263520261399807
36,30,108,control,0.04004109262939143
39,10,108,control,0.05163309708594098
39,30,108,control,0.07703696280149137
42,10,108,control,-0.03980671136497496
42,30,108,control,0.00687991623347354
45,10,108,control,0.00348217662679775
45,30,108,control,0.032737325568338
48,10,108,control,0.02905196066554374
48,30,108,control,0.01152027090227789
0,10,109,control,-0.16553245031072072
0,30,109,control,-0.1672032779944968
3,10,109,control,-0.15756092306024094
3,30,109,control,-0.12638763939494568
6,10,109,control,-0.04022426280372214
6,30,109,control,-0.09073755746925588
9,10,109,control,-0.00226288523937906
9,30,109,control,-0.1446497901989334
12,10,109,control,-0.02780537393302013
12,30,109,control,-0.11080298481891332
15,10,109,control,-0.04137361544215193
15,30,109,control,-0.07753711572942212
18,10,109,control,-0.08872744435601228
18,30,109,control,-0.10508791047086664
21,10,109,control,-0.11064736778015984
21,30,109,control,-0.13013903822970513
24,10,109,control,-0.12911945211344228
24,30,109,control,-0.09490145367202558
27,10,109,control,-0.12003788840395949
27,30,109,control,-0.09900759503542976
30,10,109,control,-0.1657693347906902
30,30,109,control,-0.17888778241076914
33,10,109,control,-0.08855398613996662
33,30,109,control,-0.0904809206462134
36,10,109,control,-0.1343218254253246
36,30,109,control,-0.22264055031768729
39,10,109,control,-0.15504568226730683
39,30,109,control,-0.11786347429471589
42,10,109,control,-0.11695763638543902
42,30,109,control,-0.13352703169728783
45,10,109,control,-0.08056992802162397
45,30,109,control,-0.14733158042027286
48,10,109,control,-0.1378356856831304
48,30,109,control,-0.13547303305925557
0,10,11,control,-0.00261226108540088
0,30,11,control,-0.03700494039143755
3,10,11,control,-0.0374927403925563
3,30,11,control,0.02629473506559832
6,10,11,control,-0.04335351801985942
6,30,11,control,0.05268564834485037
9,10,11,control,-0.01261136573614806
9,30,11,control,-0.02054270179818125
12,10,11,control,0.01238077703440059
12,30,11,control,0.00634540271495521
15,10,11,control,-0.00334894250521093
15,30,11,control,0.02433048433725607
18,10,11,control,0.02240485640286646
18,30,11,control,0.00936459075888787
21,10,11,control,0.11003328167286104
21,30,11,control,0.00210954858401189
24,10,11,control,0.00649410614634122
24,30,11,control,-0.024803385072392
27,10,11,control,-0.05486879163098609
27,30,11,control,0.00109290286541795
30,10,11,control,0.04206260680190579
30,30,11,control,0.03071669804417242
33,10,11,control,-0.07154536958600109
33,30,11,control,-0.01942906237516141
36,10,11,control,-0.01452430101964207
36,30,11,control,0.01465241541797231
39,10,11,control,0.002343287177832
39,30,11,control,0.02399070447470623
42,10,11,control,0.0081188319265353
42,30,11,control,0.01922379164530449
45,10,11,control,-0.05172300857324686
45,30,11,control,-0.01661132336798389
48,10,11,control,-0.00715101915812311
48,30,11,control,-0.02998536630157921
0,10,110,control,0.12748289554628542
0,30,110,control,0.06863513025866473
3,10,110,control,0.01341832527576029
3,30,110,control,0.00166764528261458
6,10,110,control,-0.02046507204122663
6,30,110,control,-0.02804054152688955
9,10,110,control,0.11133053025212616
9,30,110,control,-0.00450031438900583
12,10,110,control,0.08999820168412725
12,30,110,control,0.02292564587827686
15,10,110,control,0.07581315876612374
15,30,110,control,0.03849017195053265
18,10,110,control,0.03970285108909038
18,30,110,control,0.06418760601910953
21,10,110,control,0.00788873527760426
21,30,110,control,0.07037638839647009
24,10,110,control,0.0439259176647852
24,30,110,control,0.05240240684990287
27,10,110,control,0.05815975918280997
27,30,110,control,0.03936204672594966
30,10,110,control,-0.01339833516620089
30,30,110,control,0.04829646824923307
33,10,110,control,0.03951307890875041
33,30,110,control,0.02692020032233569
36,10,110,control,0.10632406454060478
36,30,110,control,0.1040102413044022
39,10,110,control,0.0165311555432449
39,30,110,control,0.0198043352882793
42,10,110,control,0.04261935328820531
42,30,110,control,0.09413238924511562
45,10,110,control,0.0297827229091733
45,30,110,control,0.10264282627011674
48,10,110,control,0.04111153808508478
48,30,110,control,0.0403801168188416
0,10,111,control,-1.7161752971167e-4
0,30,111,control,0.02751909350691554
3,10,111,control,0.0205679532691316
3,30,111,control,-0.00376243596985053
6,10,111,control,-0.03983732896722239
6,30,111,control,0.00463499141260517
9,10,111,control,-0.04683473215035537
9,30,111,control,0.03140324231097038
12,10,111,control,0.04003106351918747
12,30,111,control,-0.01928928697281932
15,10,111,control,0.06996769296048659
15,30,111,control,0.00307913128734438
18,10,111,control,0.02935284741660608
18,30,111,control,0.00468119479908872
21,10,111,control,0.0723530884458098
21,30,111,control,-0.0083720858805821
24,10,111,control,-0.04470263375606011
24,30,111,control,0.03721586876010895
27,10,111,control,0.03755146144834808
27,30,111,control,0.01872389707607839
30,10,111,control,-0.08474848657876667
30,30,111,control,-4.0189497876007e-4
33,10,111,control,-0.04980765430389088
33,30,111,control,-0.03887693470464709
36,10,111,control,0.08114975316561397
36,30,111,control,0.05935299819656519
39,10,111,control,-0.09058828157068312
39,30,111,control,0.0054637316859706
42,10,111,control,0.01998505999026339
42,30,111,control,0.0793205303035005
45,10,111,control,-0.01197044634616608
45,30,111,control,0.04333816046524725
48,10,111,control,0.00459117306686617
48,30,111,control,-0.00103987282462939
0,10,112,control,-0.05685900438726497
0,30,112,control,-0.05146429265375051
3,10,112,control,-0.04794087700110905
3,30,112,control,-0.07519324905777605
6,10,112,control,-0.00441194889589654
6,30,112,control,-0.04082145125485111
9,10,112,control,-0.05044310144170026
9,30,112,control,-0.06934320537698413
12,10,112,control,0.04836499813482568
12,30,112,control,0.00376763551276425
15,10,112,control,0.0175973749112313
15,30,112,control,0.00628605182836763
18,10,112,control,-0.06664327556221365
18,30,112,control,-7.3987077395909e-4
21,10,112,control,0.01345330419246923
21,30,112,control,-0.04242474817788747
24,10,112,control,0.01849272813801903
24,30,112,control,-0.09011841964788256
27,10,112,control,-6.3697816165615e-4
27,30,112,control,-0.05683845375502743
30,10,112,control,-0.04920793987327027
30,30,112,control,-0.02080225876109449
33,10,112,control,-0.1142054039437913
33,30,112,control,-0.03358638556059543
36,10,112,control,0.00720280357130674
36,30,112,control,-0.05480025190332627
39,10,112,control,-0.05203273847578133
39,30,112,control,-0.01531078405404499
42,10,112,control,-0.02556353353671671
42,30,112,control,0.01546084956754925
45,10,112,control,-0.03136495356525968
45,30,112,control,-0.0255326443931161
48,10,112,control,0.02143886727085698
48,30,112,control,-0.01957819396827273
0,10,113,control,-0.09818475662886238
0,30,113,control,-0.0490158180594494
3,10,113,control,-0.05149136178447947
3,30,113,control,0.01592225086200354
6,10,113,control,0.07191727063272156
6,30,113,control,0.01700910653692949
9,10,113,control,-0.04153911056776512
9,30,113,control,-0.0547147873695844
12,10,113,control,-0.03263705249661468
12,30,113,control,-0.0538872779874762
15,10,113,control,-0.06798406838348495
15,30,113,control,0.08826870299352893
18,10,113,control,0.10152298579618982
18,30,113,control,-0.04614915916313519
21,10,113,control,-0.06721578529917256
21,30,113,control,-0.06305645509839705
24,10,113,control,-0.09995559818635633
