Seed,Model,Ne
1,control,15938
10,control,27503
100,control,32828
101,control,52003
102,control,72381
103,control,34891
104,control,41198
105,control,32044
106,control,15059
107,control,28728
108,control,29601
109,control,14708
11,control,54209
110,control,23346
111,control,28935
112,control,19103
113,control,27149
114,control,29176
115,control,37316
116,control,21646
117,control,23084
118,control,26241
119,control,43606
12,control,16859
120,control,25743
121,control,26413
122,control,64536
123,control,63002
124,control,22631
125,control,48128
126,control,17116
127,control,50342
128,control,19584
129,control,8901
13,control,19091
130,control,49149
131,control,17873
132,control,11091
133,control,24835
134,control,20252
135,control,7852
136,control,28509
137,control,32381
138,control,40956
139,control,28608
14,control,24750
140,control,21586
141,control,28614
142,control,31963
143,control,23852
144,control,32881
145,control,16006
146,control,18476
147,control,9724
148,control,51935
149,control,33028
15,control,34000
150,control,30410
151,control,36887
152,control,20049
153,control,75190
154,control,41641
155,control,13109
156,control,39016
157,control,18479
158,control,19828
159,control,52174
16,control,15176
160,control,27006
161,control,17125
162,control,26690
163,control,17629
164,control,44521
165,control,29890
166,control,54229
167,control,30316
168,control,15503
169,control,35611
17,control,28436
170,control,13023
171,control,24120
172,control,7225
173,control,27224
174,control,31756
175,control,63500
176,control,36254
177,control,18483
178,control,16494
179,control,34969
18,control,26678
180,control,12710
181,control,45670
182,control,20745
183,control,97324
184,control,16630
185,control,41327
186,control,36014
187,control,51310
188,control,23012
189,control,46033
19,control,11463
190,control,20895
191,control,33891
192,control,19574
193,control,23967
194,control,41186
195,control,20309
196,control,22230
197,control,20222
198,control,27721
199,control,40979
2,control,19411
20,control,47896
200,control,12911
21,control,13008
22,control,16202
23,control,36005
24,control,27891
25,control,17800
26,control,33571
27,control,19906
28,control,67403
29,control,11733
3,control,49597
30,control,23972
31,control,19812
32,control,30897
33,control,13068
34,control,10035
35,control,17046
36,control,22232
37,control,51842
38,control,63039
39,control,32454
4,control,41752
40,control,9460
41,control,32150
42,control,16580
43,control,26105
44,control,36056
45,control,15042
46,control,28997
47,control,32392
48,control,25267
49,control,29558
5,control,10391
50,control,25325
51,control,80210
52,control,56903
53,control,16555
54,control,29384
55,control,21559
56,control,26767
57,control,22967
58,control,27501
59,control,33176
6,control,34994
60,control,14296
61,control,24439
62,control,19936
63,control,99275
64,control,14010
65,control,32893
66,control,26233
67,control,12341
68,control,16224
69,control,46299
7,control,19155
70,control,23614
71,control,21520
72,control,62964
73,control,48193
74,control,33989
75,control,13119
76,control,35682
77,control,71539
78,control,35496
79,control,34020
8,control,29776
80,control,17383
81,control,15070
82,control,21365
83,control,61322
84,control,18147
85,control,13212
86,control,15699
87,control,21196
88,control,23488
89,control,20053
9,control,48850
90,control,54546
91,control,16702
92,control,30949
93,control,42391
94,control,30015
95,control,13035
96,control,39851
97,control,41639
98,control,14982
99,control,38199
1,intervention,72842
10,intervention,53139
100,intervention,19920
101,intervention,16153
102,intervention,8987
103,intervention,15278
104,intervention,15070
105,intervention,10226
106,intervention,21781
107,intervention,37348
