Seed,Model,Ne
1,control,23034
10,control,41712
100,control,20533
101,control,26740
102,control,43840
103,control,35376
104,control,24045
105,control,26501
106,control,45927
107,control,28614
108,control,30174
109,control,39630
11,control,21128
110,control,20627
111,control,17610
112,control,11373
113,control,38547
114,control,31378
115,control,44709
116,control,28310
117,control,55470
118,control,27520
119,control,40355
12,control,31569
120,control,23066
121,control,31574
122,control,29801
123,control,29032
124,control,44508
125,control,28550
126,control,29227
127,control,35533
128,control,16824
129,control,18546
13,control,25976
130,control,28859
131,control,48414
132,control,33262
133,control,27074
134,control,24510
135,control,18591
136,control,30697
137,control,31468
138,control,31191
139,control,33842
14,control,21275
140,control,21903
141,control,28516
142,control,20915
143,control,43180
144,control,38715
145,control,35954
146,control,30894
147,control,18425
148,control,26732
149,control,28184
15,control,19066
150,control,19252
151,control,19448
152,control,23695
153,control,66051
154,control,21340
155,control,28254
156,control,33263
157,control,30274
158,control,19449
159,control,33606
16,control,31092
160,control,30833
161,control,49214
162,control,34367
163,control,47748
164,control,13229
165,control,31135
166,control,43094
167,control,30122
168,control,30922
169,control,22047
17,control,28346
170,control,36349
171,control,28893
172,control,17119
173,control,24498
174,control,27162
175,control,25715
176,control,48134
177,control,32660
178,control,29535
179,control,30083
18,control,22761
180,control,26538
181,control,45634
182,control,45802
183,control,45060
184,control,24795
185,control,30034
186,control,36829
187,control,26403
188,control,33329
189,control,19036
19,control,29643
190,control,27092
191,control,37649
192,control,41537
193,control,28444
194,control,34312
195,control,33457
196,control,26431
197,control,34568
198,control,29870
199,control,23618
2,control,22537
20,control,29857
200,control,43846
21,control,37861
22,control,20267
23,control,28619
24,control,20997
25,control,28753
26,control,29322
27,control,38607
28,control,34133
29,control,27654
3,control,25364
30,control,26866
31,control,20210
32,control,35421
33,control,22212
34,control,22031
35,control,20048
36,control,33458
37,control,36466
38,control,25765
39,control,29907
4,control,29233
40,control,32526
41,control,27117
42,control,15455
43,control,27745
44,control,18043
45,control,19079
46,control,24294
47,control,37267
48,control,34768
49,control,32356
5,control,38105
50,control,26993
51,control,18468
52,control,36117
53,control,25745
54,control,28008
55,control,17588
56,control,32672
57,control,27126
58,control,33467
59,control,45632
6,control,25222
60,control,32776
61,control,23593
62,control,23885
63,control,22695
64,control,21426
65,control,21028
66,control,25151
67,control,15088
68,control,34509
69,control,21528
7,control,59225
70,control,34644
71,control,38504
72,control,31184
73,control,33407
74,control,26446
75,control,22131
76,control,23874
77,control,42398
78,control,19301
79,control,27025
8,control,20768
80,control,33084
81,control,21035
82,control,25310
83,control,28326
84,control,22585
85,control,34697
86,control,21051
87,control,18219
88,control,20807
89,control,33962
9,control,16213
90,control,46528
91,control,20270
92,control,24658
93,control,35147
94,control,25810
95,control,21565
96,control,26080
97,control,29421
98,control,33257
99,control,24149
1,intervention,32902
10,intervention,49447
100,intervention,26504
101,intervention,21296
102,intervention,30681
103,intervention,23979
104,intervention,30705
105,intervention,26797
106,intervention,26671
107,intervention,32022
108,intervention,48208
109,intervention,24405
11,intervention,24520
110,intervention,17653
111,intervention,17931
112,intervention,21490
113,intervention,28062
114,intervention,21604
115,intervention,27524
116,intervention,30194
117,intervention,29294
118,intervention,24455
119,intervention,59600
12,intervention,27083
