Time,Seed,Model,Value
0,1,control,6298
3,1,control,6241
6,1,control,6276
9,1,control,6287
12,1,control,6237
15,1,control,6372
18,1,control,6238
21,1,control,6365
24,1,control,6324
27,1,control,6324
30,1,control,6253
33,1,control,6314
36,1,control,6429
39,1,control,6278
42,1,control,6364
45,1,control,6297
48,1,control,6355
0,10,control,4411
3,10,control,4439
6,10,control,4391
9,10,control,4383
12,10,control,4412
15,10,control,4408
18,10,control,4407
21,10,control,4396
24,10,control,4382
27,10,control,4480
30,10,control,4383
33,10,control,4360
36,10,control,4438
39,10,control,4425
42,10,control,4354
45,10,control,4477
48,10,control,4400
0,100,control,9295
3,100,control,9257
6,100,control,9155
9,100,control,9183
12,100,control,9223
15,100,control,9238
18,100,control,9227
21,100,control,9222
24,100,control,9252
27,100,control,9233
30,100,control,9382
33,100,control,9259
36,100,control,9262
39,100,control,9314
42,100,control,9141
45,100,control,9264
48,100,control,9200
0,101,control,5273
3,101,control,5302
6,101,control,5275
9,101,control,5212
12,101,control,5270
15,101,control,5316
18,101,control,5286
21,101,control,5298
24,101,control,5311
27,101,control,5293
30,101,control,5191
33,101,control,5298
36,101,control,5222
39,101,control,5225
42,101,control,5223
45,101,control,5205
48,101,control,5329
0,102,control,15491
3,102,control,15449
6,102,control,15532
9,102,control,15530
12,102,control,15543
15,102,control,15477
18,102,control,15433
21,102,control,15356
24,102,control,15481
27,102,control,15530
30,102,control,15512
33,102,control,15528
36,102,control,15472
39,102,control,15496
42,102,control,15536
45,102,control,15440
48,102,control,15408
0,103,control,5548
3,103,control,5485
6,103,control,5495
9,103,control,5511
12,103,control,5518
15,103,control,5501
18,103,control,5553
21,103,control,5548
24,103,control,5574
27,103,control,5526
30,103,control,5580
33,103,control,5605
36,103,control,5564
39,103,control,5585
42,103,control,5596
45,103,control,5575
48,103,control,5601
0,104,control,3458
3,104,control,3431
6,104,control,3350
9,104,control,3448
12,104,control,3410
15,104,control,3420
18,104,control,3414
21,104,control,3428
24,104,control,3470
27,104,control,3381
30,104,control,3403
33,104,control,3409
36,104,control,3410
39,104,control,3401
42,104,control,3376
45,104,control,3364
48,104,control,3422
0,105,control,3592
3,105,control,3590
6,105,control,3598
9,105,control,3611
12,105,control,3602
15,105,control,3580
18,105,control,3533
21,105,control,3647
24,105,control,3633
27,105,control,3610
30,105,control,3622
33,105,control,3611
36,105,control,3603
39,105,control,3597
42,105,control,3626
45,105,control,3585
48,105,control,3642
0,106,control,5571
3,106,control,5531
6,106,control,5574
9,106,control,5628
12,106,control,5558
15,106,control,5611
18,106,control,5554
21,106,control,5603
24,106,control,5548
27,106,control,5580
30,106,control,5580
33,106,control,5608
36,106,control,5567
39,106,control,5636
42,106,control,5611
45,106,control,5591
48,106,control,5582
0,107,control,6201
3,107,control,6095
6,107,control,6165
9,107,control,6138
12,107,control,6124
15,107,control,6098
18,107,control,6168
21,107,control,6142
24,107,control,6149
27,107,control,6132
30,107,control,6156
33,107,control,6203
36,107,control,6105
39,107,control,6159
42,107,control,6084
45,107,control,6046
48,107,control,6156
0,108,control,9278
3,108,control,9261
6,108,control,9262
9,108,control,9224
12,108,control,9332
15,108,control,9250
18,108,control,9198
21,108,control,9238
24,108,control,9265
27,108,control,9211
30,108,control,9301
33,108,control,9221
36,108,control,9295
39,108,control,9196
42,108,control,9273
45,108,control,9250
48,108,control,9294
0,109,control,5398
3,109,control,5412
6,109,control,5357
9,109,control,5378
12,109,control,5373
15,109,control,5340
18,109,control,5462
21,109,control,5369
24,109,control,5416
27,109,control,5477
30,109,control,5408
33,109,control,5392
36,109,control,5430
39,109,control,5361
42,109,control,5402
45,109,control,5371
48,109,control,5417
0,11,control,9112
3,11,control,9180
6,11,control,9146
9,11,control,9241
12,11,control,9176
15,11,control,9162
18,11,control,9136
21,11,control,9130
24,11,control,9196
27,11,control,9151
30,11,control,9214
33,11,control,9135
36,11,control,9216
39,11,control,9114
42,11,control,9144
45,11,control,9053
48,11,control,9166
0,110,control,4346
