Time,Seed,Model,Value
0,1,control,-0.07084041716926484
3,1,control,-0.08297487193968228
6,1,control,-0.05311048399718595
9,1,control,-0.0915865962065184
12,1,control,-0.10797450038094858
15,1,control,-0.03937678323959463
18,1,control,-0.00686021510666344
21,1,control,-0.03300462650664296
24,1,control,-0.08675054259671626
27,1,control,-0.08791138312635018
30,1,control,-0.09421258935220844
33,1,control,-0.07974384818395674
36,1,control,-0.12512267050001427
39,1,control,0.00647133426530492
42,1,control,-0.11399431939360792
45,1,control,-0.02018012391511633
48,1,control,-0.06170411272677206
0,10,control,0.08324651691878432
3,10,control,0.0658287208732494
6,10,control,0.07127825586872942
9,10,control,0.11236312256783718
12,10,control,0.10211439063401756
15,10,control,0.07043831600742886
18,10,control,0.09156765728583983
21,10,control,0.07182080303400375
24,10,control,0.04665017434601768
27,10,control,0.07942259828192907
30,10,control,0.10004373463859868
33,10,control,0.03958649467832245
36,10,control,0.07312945701438363
39,10,control,0.07435643274961086
42,10,control,0.09925262844357534
45,10,control,0.02377958649212076
48,10,control,0.07571753593187122
0,100,control,0.0823260663871546
3,100,control,0.1066573992946396
6,100,control,0.10891324156615216
9,100,control,0.10138718604405396
12,100,control,0.11673886708371732
15,100,control,0.14401437876306564
18,100,control,0.1442224642757013
21,100,control,0.1425812488581296
24,100,control,0.10070463749891792
27,100,control,0.12333951832513788
30,100,control,0.1200085690886541
33,100,control,0.10961054046690756
36,100,control,0.0952035018039562
39,100,control,0.11381564082523012
42,100,control,0.08398325511467142
45,100,control,0.13156143701506173
48,100,control,0.1252671520152558
0,101,control,-0.015110791774303
3,101,control,0.02978494210306288
6,101,control,-7.9204417681978e-4
9,101,control,-0.0084494045793145
12,101,control,0.01210364297009441
15,101,control,-0.01599870965142005
18,101,control,-0.00466531000060964
21,101,control,0.03948115571654919
24,101,control,-0.00109888925518708
27,101,control,0.01142027902919677
30,101,control,0.02027942134331855
33,101,control,8.5586926089225e-4
36,101,control,-0.02262194697362553
39,101,control,0.0091083873620257
42,101,control,0.01264484342038271
45,101,control,-0.01695540668583771
48,101,control,-0.0123277647807448
0,102,control,0.04606030236851633
3,102,control,0.0514028175725494
6,102,control,0.07799659934940091
9,102,control,0.01190990534789525
12,102,control,0.04771524917890749
15,102,control,0.05257787687667029
18,102,control,-0.00155932801809623
21,102,control,0.01123674685188686
24,102,control,0.01149063682765325
27,102,control,0.01923371050708539
30,102,control,0.00322613775997239
33,102,control,0.01298610507582819
36,102,control,0.05018818221908445
39,102,control,0.01783509309463027
42,102,control,0.05725926588319874
45,102,control,0.04942021077551269
48,102,control,0.02255309001810423
0,103,control,-0.04194047143566666
3,103,control,-0.03180597453131062
6,103,control,-0.0501336606450385
9,103,control,-0.02665924951203107
12,103,control,-0.03811456385315509
15,103,control,-0.05291461731906318
18,103,control,-0.0502373048803947
21,103,control,-0.03622014777053549
24,103,control,-0.06440262432595835
27,103,control,-0.05694807019828286
30,103,control,-0.06199235522979189
33,103,control,-0.04091967543574738
36,103,control,-0.03650964971393587
39,103,control,-0.08826791812361617
42,103,control,-0.03214973720644469
45,103,control,-0.0553562145570172
48,103,control,-0.03822601665182647
0,104,control,-0.00863083205402073
3,104,control,-0.03098664861336223
6,104,control,0.00532321777963544
9,104,control,-0.03458976815804576
12,104,control,-0.01445091890508388
15,104,control,-0.00520238487456862
18,104,control,-0.02259198770758133
21,104,control,0.02144833361859446
24,104,control,-0.00812419603079858
27,104,control,-0.04467018755093265
30,104,control,-0.01908193857878365
33,104,control,0.00408554829336782
36,104,control,-0.01835074082825978
39,104,control,-0.03668971760265165
42,104,control,-0.00189680381732111
45,104,control,0.01473590857525945
48,104,control,0.00265565552535063
0,105,control,0.01702192573080925
3,105,control,-0.01341084627319599
6,105,control,0.05516292445225718
9,105,control,-0.03099703824881074
12,105,control,0.0087118496233063
15,105,control,0.04422925130932598
18,105,control,-0.00583845962334481
21,105,control,-4.015787291995e-4
24,105,control,0.01363788521325513
27,105,control,0.04306518323214897
30,105,control,0.01766998809149902
33,105,control,0.03722035324869313
36,105,control,0.00666731414443967
39,105,control,0.00210276551477195
42,105,control,0.02359207987295518
45,105,control,0.04638153023474384
48,105,control,-0.0431421188013999
0,106,control,-0.12218028393090342
3,106,control,-0.07960221672835797
6,106,control,-0.0956122001962344
9,106,control,-0.09537631607733804
12,106,control,-0.11399812891185668
15,106,control,-0.04911033642257936
18,106,control,-0.03239261346375287
21,106,control,-0.10034741589949876
24,106,control,-0.11646832804591292
27,106,control,-0.09945199523022422
30,106,control,-0.0922828301210436
33,106,control,-0.07876483969760259
36,106,control,-0.10515983957500684
39,106,control,-0.08904850918008898
42,106,control,-0.10614291024146533
45,106,control,-0.07179224263433318
48,106,control,-0.09781942423719724
0,107,control,0.03780034292862653
3,107,control,0.03308492473083829
6,107,control,0.03610648172974322
9,107,control,0.05270388545251791
12,107,control,-0.00383126757352783
15,107,control,0.00609046211870014
18,107,control,0.03918028136768165
21,107,control,6.1787469013338e-4
24,107,control,0.02239235850935254
27,107,control,0.01046067688139643
30,107,control,0.01665298852589881
33,107,control,-0.01397020710238762
36,107,control,0.04727639352337537
39,107,control,0.03949591959488849
42,107,control,0.0282223266675245
45,107,control,0.00592980615709952
48,107,control,0.01259180103331214
0,108,control,0.00400340202787363
3,108,control,-6.963757058819214e-5
6,108,control,0.03529724016224683
9,108,control,0.04468281713041898
12,108,control,0.0393922807680947
15,108,control,0.00672365885205469
18,108,control,0.03208237082648677
21,108,control,-0.01820937536078411
24,108,control,0.00534971975033334
27,108,control,-0.0134664714226764
30,108,control,-0.05313214293839211
33,108,control,-0.01059013770584673
36,108,control,-0.01918674522359249
39,108,control,-0.01002015157218985
42,108,control,0.02248991658626069
45,108,control,-0.01858799948357884
48,108,control,-0.03805755106113848
0,109,control,0.00344100656485826
3,109,control,0.02806200012604804
6,109,control,0.04701612316593358
9,109,control,-0.00532642912861687
12,109,control,0.00542998023029527
15,109,control,-0.02355137794159108
18,109,control,0.02204979052032724
21,109,control,0.00672714488355451
24,109,control,-0.00289732866235413
27,109,control,-0.00661359557285101
30,109,control,0.021620646630473
33,109,control,-0.00392439236594228
36,109,control,-0.00842800603740043
39,109,control,-0.01339347511791679
42,109,control,0.02793710900085043
45,109,control,-0.00524408620435571
48,109,control,-0.00323465270502344
0,11,control,0.07971566242346532
3,11,control,0.04116183036806624
6,11,control,0.08783718006091638
9,11,control,0.098254527034439
12,11,control,0.07164207812535284
15,11,control,0.06016286412490017
18,11,control,0.12327948104892691
21,11,control,0.03914705350392412
24,11,control,0.09162396599407076
27,11,control,0.07672279075836878
30,11,control,0.06160268473003329
33,11,control,0.05563282786386747
36,11,control,0.06539579798390947
39,11,control,0.09997968684915456
42,11,control,0.11443823321075496
45,11,control,0.08382668752802183
48,11,control,0.03406888833954594
0,110,control,-0.01848159806057182
3,110,control,0.06367132010466964
6,110,control,0.01280815199424588
9,110,control,0.02462339059086541
12,110,control,0.02040653194993351
15,110,control,-0.02324591677318188
18,110,control,0.02899528847861128
21,110,control,-0.02727401957477536
24,110,control,-0.02219075511497278
27,110,control,0.0171310973454508
30,110,control,5.1410737506351e-4
33,110,control,-0.00235615128677312
36,110,control,-0.00582916276080965
