Time,Seed,Model,Value
0,1,control,31123
3,1,control,31120
6,1,control,31267
9,1,control,31232
12,1,control,31187
15,1,control,31139
18,1,control,31180
21,1,control,31102
24,1,control,31263
27,1,control,31186
30,1,control,31086
33,1,control,30969
36,1,control,31295
39,1,control,31378
42,1,control,31045
45,1,control,31146
48,1,control,31067
0,10,control,35420
3,10,control,35513
6,10,control,35365
9,10,control,35508
12,10,control,35419
15,10,control,35548
18,10,control,35454
21,10,control,35375
24,10,control,35298
27,10,control,35333
30,10,control,35461
33,10,control,35393
36,10,control,35340
39,10,control,35353
42,10,control,35466
45,10,control,35447
48,10,control,35408
0,100,control,36339
3,100,control,36281
6,100,control,36395
9,100,control,36342
12,100,control,36378
15,100,control,36367
18,100,control,36280
21,100,control,36438
24,100,control,36312
27,100,control,36281
30,100,control,36446
33,100,control,36309
36,100,control,36297
39,100,control,36361
42,100,control,36189
45,100,control,36270
48,100,control,36232
0,101,control,28319
3,101,control,28441
6,101,control,28394
9,101,control,28322
12,101,control,28314
15,101,control,28362
18,101,control,28434
21,101,control,28393
24,101,control,28443
27,101,control,28384
30,101,control,28219
33,101,control,28419
36,101,control,28404
39,101,control,28405
42,101,control,28297
45,101,control,28398
48,101,control,28374
0,102,control,32642
3,102,control,32824
6,102,control,32842
9,102,control,32706
12,102,control,32802
15,102,control,32706
18,102,control,32568
21,102,control,32479
24,102,control,32679
27,102,control,32692
30,102,control,32652
33,102,control,32700
36,102,control,32839
39,102,control,32669
42,102,control,32562
45,102,control,32813
48,102,control,32553
0,103,control,32916
3,103,control,32950
6,103,control,33053
9,103,control,32910
12,103,control,32939
15,103,control,32741
18,103,control,32841
21,103,control,33056
24,103,control,32998
27,103,control,33004
30,103,control,32831
33,103,control,32951
36,103,control,32975
39,103,control,32925
42,103,control,32916
45,103,control,33103
48,103,control,32839
0,104,control,31181
3,104,control,30893
6,104,control,31184
9,104,control,31001
12,104,control,31075
15,104,control,31229
18,104,control,31170
21,104,control,31170
24,104,control,30985
27,104,control,31301
30,104,control,30932
33,104,control,31134
36,104,control,31038
39,104,control,31157
42,104,control,31092
45,104,control,31102
48,104,control,30830
0,105,control,33725
3,105,control,33754
6,105,control,33704
9,105,control,33901
12,105,control,33795
15,105,control,33705
18,105,control,33815
21,105,control,33678
24,105,control,33596
27,105,control,33729
30,105,control,33599
33,105,control,33633
36,105,control,33563
39,105,control,33698
42,105,control,33516
45,105,control,33728
48,105,control,33621
0,106,control,31214
3,106,control,31255
6,106,control,31099
9,106,control,31085
12,106,control,31030
15,106,control,30970
18,106,control,31162
21,106,control,31230
24,106,control,31056
27,106,control,31196
30,106,control,31078
33,106,control,31201
36,106,control,31116
39,106,control,31119
42,106,control,31123
45,106,control,31217
48,106,control,31215
0,107,control,30095
3,107,control,30162
6,107,control,29928
9,107,control,30085
12,107,control,30011
15,107,control,29996
18,107,control,29935
21,107,control,30053
24,107,control,29983
27,107,control,30008
