Seed,Model,Ne
1,control,30290
10,control,34064
100,control,34926
101,control,27408
102,control,31426
103,control,31758
104,control,30177
105,control,32708
106,control,30173
107,control,28919
108,control,32056
109,control,29008
11,control,26029
110,control,29758
111,control,25809
112,control,36349
113,control,27975
114,control,26232
115,control,29358
116,control,24349
117,control,26907
118,control,25205
119,control,31399
12,control,23467
120,control,29537
121,control,32887
122,control,33844
123,control,30711
124,control,25949
125,control,31674
126,control,36912
127,control,30189
128,control,27610
129,control,31790
13,control,30894
130,control,29613
131,control,24360
132,control,30791
133,control,29997
134,control,24526
135,control,29702
136,control,28192
137,control,31614
138,control,27176
139,control,29895
14,control,30628
140,control,33506
141,control,29108
142,control,27639
143,control,29005
144,control,32329
145,control,30559
146,control,31032
147,control,29118
148,control,27978
149,control,26773
15,control,26354
150,control,24424
151,control,32841
152,control,33326
153,control,30269
154,control,31624
155,control,41638
156,control,33761
157,control,26504
158,control,26387
159,control,27848
16,control,30686
160,control,31177
161,control,32514
162,control,28539
163,control,31012
164,control,30031
165,control,32140
166,control,29320
167,control,28761
168,control,29235
169,control,26869
17,control,28784
170,control,28693
171,control,25087
172,control,27786
173,control,29009
174,control,33065
175,control,29614
176,control,26658
177,control,29895
178,control,26352
179,control,24630
18,control,31270
180,control,33099
181,control,31922
182,control,27817
183,control,24513
184,control,30148
185,control,28534
186,control,30928
187,control,32445
188,control,28313
189,control,31105
19,control,35867
190,control,32862
191,control,34555
192,control,29595
193,control,26899
194,control,28137
195,control,34451
196,control,26944
197,control,27266
198,control,25582
199,control,32284
2,control,26823
20,control,34326
200,control,29490
21,control,31443
22,control,31240
23,control,34803
24,control,29174
25,control,35568
26,control,25285
27,control,28860
28,control,26509
29,control,24263
3,control,36473
30,control,27287
31,control,31327
32,control,32748
33,control,27851
34,control,25181
35,control,31516
36,control,32161
37,control,27428
38,control,34298
39,control,31896
4,control,29199
40,control,34947
41,control,27442
42,control,30025
43,control,42755
44,control,33322
45,control,31066
46,control,26095
47,control,28681
48,control,30119
49,control,33145
5,control,35128
50,control,26446
51,control,31345
52,control,25455
53,control,31075
54,control,28067
55,control,27402
56,control,29992
57,control,28571
