Seed,Model,Ne
1,control,27043
10,control,32894
100,control,35740
101,control,28210
102,control,27907
103,control,26558
104,control,27111
105,control,36649
106,control,28935
107,control,37303
108,control,30823
109,control,29580
11,control,27951
110,control,32202
111,control,31815
112,control,31041
113,control,28558
114,control,32233
115,control,31511
116,control,37970
117,control,24628
118,control,34579
119,control,25722
12,control,25651
120,control,26418
121,control,28197
122,control,31432
123,control,30654
124,control,35531
125,control,29571
126,control,25621
127,control,29121
128,control,29403
129,control,27513
13,control,29627
130,control,35703
131,control,30046
132,control,29788
133,control,27192
134,control,28059
135,control,28965
136,control,28955
137,control,30632
138,control,26314
139,control,23676
14,control,39541
140,control,30519
141,control,32222
142,control,26452
143,control,34721
144,control,34682
145,control,32849
146,control,30763
147,control,32784
148,control,26016
149,control,43892
15,control,26744
150,control,33060
151,control,31822
152,control,31729
153,control,26781
154,control,27580
155,control,31802
156,control,29933
157,control,37790
158,control,35374
159,control,28659
16,control,29721
160,control,34490
161,control,31487
162,control,25298
163,control,30312
164,control,27080
165,control,28413
166,control,29938
167,control,27075
168,control,29129
169,control,30463
17,control,31286
170,control,37194
171,control,34588
172,control,29691
173,control,29817
174,control,31043
175,control,25448
176,control,30653
177,control,27876
178,control,28440
179,control,28785
18,control,29242
180,control,28618
181,control,28934
182,control,31466
183,control,24901
184,control,32709
185,control,28411
186,control,31268
187,control,28989
188,control,32103
189,control,27605
19,control,28740
190,control,33286
191,control,28017
192,control,30289
193,control,24826
194,control,29542
195,control,30719
196,control,29119
197,control,32039
198,control,24925
199,control,27816
2,control,31703
20,control,27434
200,control,38401
21,control,25313
22,control,26367
23,control,35003
24,control,32260
25,control,25584
26,control,32127
27,control,26334
28,control,34425
29,control,34972
3,control,30111
30,control,27855
31,control,28425
32,control,27842
33,control,30030
34,control,32221
35,control,27974
36,control,26860
37,control,30127
38,control,25304
39,control,32401
4,control,29837
40,control,31660
41,control,27991
42,control,32843
43,control,31144
44,control,31676
45,control,29940
46,control,29568
47,control,27120
48,control,33698
49,control,33107
5,control,30549
50,control,31809
51,control,33032
52,control,31592
53,control,26705
54,control,27663
55,control,29230
56,control,31194
57,control,31238
58,control,29881
59,control,28580
6,control,29069
60,control,33816
61,control,30125
62,control,23143
63,control,30433
64,control,27320
65,control,30612
66,control,28478
67,control,35805
68,control,29674
69,control,30570
7,control,31013
70,control,28576
71,control,31935
72,control,25092
73,control,28665
74,control,30634
75,control,32915
76,control,30210
77,control,28753
78,control,31291
79,control,31043
8,control,30154
80,control,31695
81,control,29683
82,control,23699
83,control,31296
84,control,29166
85,control,33596
86,control,29015
87,control,27490
88,control,33417
89,control,27214
9,control,26460
90,control,27312
91,control,32191
92,control,29717
93,control,32434
94,control,26494
95,control,27770
96,control,31809
97,control,34426
98,control,30343
99,control,32648
1,intervention,25654
10,intervention,29186
100,intervention,33722
101,intervention,28869
102,intervention,32380
103,intervention,34441
104,intervention,29496
105,intervention,25556
106,intervention,31869
107,intervention,27002
108,intervention,33666
109,intervention,34007
11,intervention,30268
110,intervention,30717
111,intervention,27993
112,intervention,28389
113,intervention,25758
114,intervention,27476
