Time,Seed,Model,Value
0,1,control,0.007055
3,1,control,0.007133
6,1,control,0.0071355
9,1,control,0.0071235
12,1,control,0.0070665
15,1,control,0.0070805
18,1,control,0.007122
21,1,control,0.0071345
24,1,control,0.007169
27,1,control,0.007123
30,1,control,0.007164
33,1,control,0.0071275
36,1,control,0.007129
39,1,control,0.0071185
42,1,control,0.0070815
45,1,control,0.0071535
48,1,control,0.0071165
0,10,control,0.0077975
3,10,control,0.007782
6,10,control,0.007738
9,10,control,0.007768
12,10,control,0.007779
15,10,control,0.007798
18,10,control,0.007797
21,10,control,0.00779
24,10,control,0.007854
27,10,control,0.007837
30,10,control,0.0078025
33,10,control,0.0078415
36,10,control,0.007823
39,10,control,0.0078395
42,10,control,0.0078185
45,10,control,0.007761
48,10,control,0.0077985
0,100,control,0.0135045
3,100,control,0.0135435
6,100,control,0.0135465
9,100,control,0.0135005
12,100,control,0.013588
15,100,control,0.013499
18,100,control,0.0134895
21,100,control,0.013583
24,100,control,0.013486
27,100,control,0.0135005
30,100,control,0.0134945
33,100,control,0.0134825
36,100,control,0.0134885
39,100,control,0.0135105
42,100,control,0.013523
45,100,control,0.013494
48,100,control,0.0135325
0,101,control,0.007301
3,101,control,0.0072855
6,101,control,0.0072695
9,101,control,0.007259
12,101,control,0.0072855
15,101,control,0.0072445
18,101,control,0.007266
21,101,control,0.007278
24,101,control,0.0072475
27,101,control,0.0072395
30,101,control,0.0073145
33,101,control,0.0073025
36,101,control,0.0072655
39,101,control,0.0073055
42,101,control,0.007274
45,101,control,0.0073005
48,101,control,0.0072675
0,102,control,0.0186805
3,102,control,0.018798
6,102,control,0.0187765
9,102,control,0.0187475
12,102,control,0.0186985
15,102,control,0.018704
18,102,control,0.018685
21,102,control,0.0187505
24,102,control,0.0187765
27,102,control,0.018589
30,102,control,0.0187685
33,102,control,0.018776
36,102,control,0.018701
39,102,control,0.0187645
42,102,control,0.0187865
45,102,control,0.0188175
48,102,control,0.0187125
0,103,control,0.0229915
3,103,control,0.023061
6,103,control,0.023091
9,103,control,0.0229965
12,103,control,0.0230215
15,103,control,0.02308
18,103,control,0.023064
21,103,control,0.0231455
24,103,control,0.0229085
27,103,control,0.0230825
30,103,control,0.023032
33,103,control,0.022947
36,103,control,0.0231025
39,103,control,0.023004
42,103,control,0.0230825
45,103,control,0.023048
