Seed,Model,Ne
1,control,16462
10,control,20456
100,control,8912
101,control,18363
102,control,23119
103,control,28540
104,control,24835
105,control,25333
106,control,13277
107,control,20001
108,control,22700
109,control,8435
11,control,30666
110,control,28860
111,control,19484
112,control,27699
113,control,24038
114,control,48847
115,control,27358
116,control,26087
117,control,24569
118,control,42259
119,control,57728
12,control,34767
120,control,35166
121,control,13248
122,control,20484
123,control,33087
124,control,55496
125,control,16615
126,control,39509
127,control,17763
128,control,6014
129,control,32766
13,control,20581
130,control,39473
131,control,48830
132,control,45243
133,control,39941
134,control,8215
135,control,20109
136,control,37606
137,control,18263
138,control,27755
139,control,33261
14,control,61127
140,control,10268
141,control,17870
142,control,38981
143,control,40104
144,control,10723
145,control,23544
146,control,32820
147,control,36766
148,control,51367
149,control,38226
15,control,30034
150,control,22810
151,control,15245
152,control,47268
153,control,38418
154,control,12764
155,control,18767
156,control,24028
157,control,23816
158,control,25414
159,control,21921
16,control,90704
160,control,38227
161,control,65459
162,control,33030
163,control,22902
164,control,39093
165,control,75291
166,control,46267
167,control,18620
168,control,11409
169,control,21901
17,control,39571
170,control,45730
171,control,22632
172,control,29920
173,control,34987
174,control,27006
175,control,34227
176,control,13389
177,control,33075
178,control,28676
179,control,38516
18,control,30092
180,control,15529
181,control,33100
182,control,18697
183,control,10054
184,control,71753
185,control,34620
186,control,46014
187,control,38310
188,control,22827
189,control,43829
19,control,29148
190,control,17062
191,control,27883
192,control,5234
193,control,27396
194,control,20955
195,control,22237
196,control,47464
197,control,17366
198,control,12694
199,control,18887
2,control,25757
20,control,42868
200,control,9991
21,control,14526
22,control,35957
23,control,25222
24,control,34795
25,control,57708
26,control,71384
27,control,45048
28,control,38853
29,control,26198
3,control,16816
30,control,58414
31,control,35002
32,control,37766
33,control,46918
34,control,34222
35,control,29990
36,control,48837
37,control,71125
38,control,18080
39,control,27317
4,control,41101
40,control,22364
41,control,10523
42,control,25917
43,control,35180
44,control,16614
45,control,21112
46,control,28481
47,control,38000
48,control,19154
49,control,32092
5,control,10303
50,control,19564
51,control,14455
52,control,25916
53,control,16441
54,control,11984
55,control,17988
56,control,36400
57,control,27234
58,control,18240
59,control,13731
6,control,13609
60,control,32392
61,control,90019
62,control,35511
63,control,21623
64,control,76673
65,control,16499
66,control,32451
67,control,23637
68,control,26851
69,control,57414
7,control,31059
70,control,13504
71,control,24119
72,control,23266
73,control,22065
74,control,14227
75,control,29089
76,control,35901
77,control,46736
78,control,62955
79,control,50490
8,control,18759
80,control,25664
81,control,31983
82,control,35327
83,control,14429
84,control,54544
85,control,41699
86,control,35838
87,control,56389
88,control,16945
89,control,28418
9,control,13688
90,control,30084
91,control,25974
92,control,29702
93,control,32458
94,control,61103
95,control,30150
96,control,35133
97,control,25412
98,control,30133
99,control,64824
1,intervention,20680
10,intervention,28483
100,intervention,23976
101,intervention,34661
102,intervention,14681
103,intervention,20075
104,intervention,34541
105,intervention,65753
106,intervention,20126
107,intervention,42383
108,intervention,30116
109,intervention,28916
11,intervention,22936
110,intervention,20841
111,intervention,12446
112,intervention,32425
113,intervention,34429
114,intervention,15618
115,intervention,41329
116,intervention,24836
117,intervention,23403
118,intervention,29729
119,intervention,13910
12,intervention,23194
120,intervention,67057
121,intervention,33058
122,intervention,22846
123,intervention,21288
124,intervention,40548
125,intervention,44543
126,intervention,25438
127,intervention,50958
128,intervention,45204
129,intervention,16184
13,intervention,26929
130,intervention,40130
131,intervention,33901
132,intervention,18554
133,intervention,14734
134,intervention,21051
135,intervention,16582
136,intervention,16564
137,intervention,12444
138,intervention,15282
139,intervention,29529
14,intervention,23611
140,intervention,20308
141,intervention,56462
142,intervention,17669
143,intervention,33164
144,intervention,32861
145,intervention,22035
146,intervention,13834
147,intervention,6494
148,intervention,23618
149,intervention,31061
15,intervention,31597
150,intervention,18690
151,intervention,21821
152,intervention,16402
153,intervention,22569
154,intervention,31276
155,intervention,33643
156,intervention,50864
157,intervention,16032
158,intervention,36077
159,intervention,10973
16,intervention,40921
160,intervention,10502
161,intervention,50898
162,intervention,28855
163,intervention,19302
164,intervention,14962
165,intervention,16362
166,intervention,40283
167,intervention,139307
168,intervention,23614
169,intervention,27035
17,intervention,12633
170,intervention,40525
171,intervention,76077
172,intervention,14255
173,intervention,17539
174,intervention,9733
175,intervention,20752
176,intervention,40659
177,intervention,13797
178,intervention,42442
179,intervention,29337
18,intervention,38441
180,intervention,36135
181,intervention,57866
182,intervention,9305
183,intervention,20325
184,intervention,13498
185,intervention,35417
186,intervention,17777
187,intervention,22925
188,intervention,19816
189,intervention,19245
19,intervention,23312
190,intervention,32492
191,intervention,18992
192,intervention,67619
193,intervention,40245
194,intervention,17453
195,intervention,35788
196,intervention,60544
197,intervention,43092
198,intervention,17381
199,intervention,66651
2,intervention,22167
20,intervention,21550
200,intervention,28504
21,intervention,23992
22,intervention,40998
23,intervention,24717
24,intervention,40096
25,intervention,25806
26,intervention,25965
27,intervention,20750
28,intervention,29252
29,intervention,28090
3,intervention,23178
30,intervention,36170
31,intervention,18127
32,intervention,38642
33,intervention,24506
34,intervention,100135
35,intervention,64905
36,intervention,18148
37,intervention,27199
38,intervention,35164
39,intervention,24066
4,intervention,27750
40,intervention,26803
41,intervention,47178
42,intervention,21426
43,intervention,24875
44,intervention,26664
45,intervention,14383
46,intervention,25216
47,intervention,25115
48,intervention,33809
49,intervention,24123
5,intervention,14737
50,intervention,32295
51,intervention,29287
52,intervention,26680
53,intervention,38769
54,intervention,13550
55,intervention,22433
56,intervention,27083
57,intervention,81162
58,intervention,19680
59,intervention,15216
6,intervention,35172
60,intervention,23371
61,intervention,33891
62,intervention,45316
63,intervention,25262
64,intervention,38087
65,intervention,49247
66,intervention,29653
67,intervention,19609
68,intervention,29857
69,intervention,11732
7,intervention,55401
70,intervention,41438
71,intervention,28443
72,intervention,44929
73,intervention,13463
74,intervention,47808
75,intervention,22042
76,intervention,27537
77,intervention,18745
78,intervention,39663
79,intervention,13229
8,intervention,47765
80,intervention,25729
81,intervention,19799
82,intervention,13447
83,intervention,28019
84,intervention,18910
85,intervention,24689
86,intervention,14963
87,intervention,6775
88,intervention,28983
89,intervention,15674
9,intervention,20599
90,intervention,24616
91,intervention,32425
92,intervention,12970
93,intervention,34714
94,intervention,45543
95,intervention,34426
96,intervention,36715
97,intervention,19576
98,intervention,17494
99,intervention,22588
