Time,n_pairs,Value,median_r2,sd_r2,min_r2,max_r2,Seed,Model
0,21674736,0.02135679601963034,0.01018039416521787,0.02977258800447748,0,2.3297407627105713,1,control
3,21491767,0.02180407630139478,0.01017220877110958,0.064580769708078,0,75.415008544921875,1,control
6,21406528,0.02139465719357141,0.01022449880838394,0.02953258188852776,0,0.9410797953605652,1,control
9,21583795,0.02142021342147633,0.01019069086760282,0.03012945692667302,0,3.4592323303222656,1,control
12,21938487,0.02168802853330824,0.01018474344164133,0.04992079226729039,0,21.639324188232425,1,control
15,21644274,0.02124528994000339,0.01015228033065795,0.02925570149396124,0,0.7240395545959473,1,control
18,21493826,0.02148296624094962,0.01023987680673599,0.03005919564197349,0,2.610187530517578,1,control
21,21634812,0.02140633756048363,0.01017491333186626,0.03073861363928231,0,10.181366920471191,1,control
24,21431514,0.02128367974917912,0.01014976296573877,0.02975739929217784,0,2.1781091690063477,1,control
27,21668625,0.02143233763829101,0.01021197158843278,0.02996719451552031,0,2.149282693862915,1,control
30,21630840,0.02138137083903948,0.01016700640320777,0.03057979659422701,0,3.910407781600952,1,control
33,21440198,0.02131177584637551,0.01014187838882207,0.02982107487952725,0,3.0298049449920654,1,control
36,21510990,0.02143601342865822,0.01023594196885824,0.02962095896571329,0,1.135037541389465,1,control
39,21459550,0.02169655144947543,0.0101961325854063,0.04854726194206136,0,20.549108505249023,1,control
42,21486300,0.02131329882495537,0.01014972385019064,0.02961343444674643,0,2.214221715927124,1,control
45,21649625,0.0213999405763176,0.01021051127463579,0.03009591811779596,0,3.2845890522003174,1,control
48,21500005,0.02133824795593652,0.01019968371838331,0.02943916969541604,0,1.0204607248306274,1,control
0,33036140,0.02134326232326444,0.01019595190882682,0.02997634921063693,0,5.031352519989014,10,control
3,32700877,0.02135269930617694,0.01018039416521787,0.02976701274383429,0,1.6933817863464355,10,control
6,32455325,0.0213770865809254,0.01018474344164133,0.03004725495096057,0,2.9418866634368896,10,control
9,32866702,0.02153353063053145,0.01018039416521787,0.03741286471768575,0,9.144375801086426,10,control
12,32252430,0.0248096511335166,0.01020899228751659,0.42769805337637906,0,211.8747100830078,10,control
15,32649960,0.02131456387665928,0.01018553040921688,0.0294032499801019,0,1.0459468364715576,10,control
18,32389266,0.02140565644819433,0.01018881052732467,0.0306064780297517,0,4.84868049621582,10,control
21,32685646,0.02130340130109625,0.01015739887952804,0.02971447576933084,0,2.536252021789551,10,control
24,32580652,0.02154750223098505,0.01019109971821308,0.03992630290111951,0,13.144888877868652,10,control
27,32692122,0.02147024728901598,0.01021051127463579,0.03258975046603397,0,7.440476417541504,10,control
30,32633608,0.02131018598538129,0.01019003521651029,0.02939152912670993,0,1.1532288789749146,10,control
33,33128172,0.02148971826941593,0.01020774897187948,0.03205489641545279,0,8.974273681640625,10,control
36,32615063,0.0214465784852956,0.01019817870110273,0.03114617157889953,0,4.726476669311523,10,control
39,32899422,0.0214165327487843,0.01019003521651029,0.03185023158194092,0,7.916959762573242,10,control
42,32946511,0.02132946510351173,0.01018881052732467,0.02966376275347996,0,1.819088101387024,10,control
45,33011187,0.02133363930031745,0.01020075660198927,0.02959852853681234,0,1.6445083618164062,10,control
48,32868192,0.02155403982297229,0.01021051127463579,0.04091402095318973,0,17.76511001586914,10,control
0,6489054,0.02124730877087011,0.01015751436352729,0.02930371604023547,0,0.6841755509376526,100,control
3,6261576,0.02133573009612099,0.01018474344164133,0.02941644294082179,0,0.6767114400863647,100,control
6,6397500,0.0213053964883166,0.01015836931765079,0.02960470477073612,0,1.4683009386062622,100,control
9,6339099,0.02132742063162807,0.01018320582807064,0.0293580408344799,0,0.6780120730400085,100,control
12,6423418,0.02132163911616528,0.01017220877110958,0.02938602954321454,0,0.6841755509376526,100,control
15,6419931,0.02137847572852369,0.01025842409580946,0.02949219107070147,0,0.7607446312904358,100,control
18,6458520,0.02136656397712832,0.01022658869624137,0.02945078403102809,0,0.6062440872192383,100,control
21,6413136,0.02118896637051393,0.01010505203157663,0.02919185795513171,0,0.6841755509376526,100,control
24,6339363,0.02123313241417957,0.01018371433019638,0.02920920563372377,0,0.7454280257225037,100,control
27,6511863,0.0212757004982636,0.01014577597379684,0.02945691252188664,0,2.338449716567993,100,control
30,6336994,0.02135069797023995,0.01017777062952518,0.02946532211374315,0,0.8849691152572632,100,control
33,6491404,0.02116175687780136,0.0101230964064598,0.02916119544938071,0,0.646826446056366,100,control
36,6441395,0.02142024400030391,0.01027532387524843,0.0295062552437582,0,0.7106826901435852,100,control
39,6481387,0.0212530471169243,0.01015219558030366,0.02935894306996817,0,1.1606402397155762,100,control
42,6458572,0.02130990494951373,0.01019003521651029,0.02934414701152301,0,0.6129453182220459,100,control
45,6486248,0.02127583657522296,0.01017491333186626,0.0292914626161578,0,0.6841755509376526,100,control
48,6423184,0.02141302126581334,0.0102332467213273,0.02962036394653143,0,1.3017675876617432,100,control
0,26774670,0.02131558779002084,0.01019003521651029,0.02946456727192398,0,2.041558742523194,101,control
3,26627272,0.0213032760962613,0.01017883140593767,0.02943741146926971,0,1.1102696657180786,101,control
6,26400831,0.02148187204431985,0.01027149986475706,0.02968128297176616,0,1.07529878616333,101,control
9,26707291,0.02224090275839532,0.01018039416521787,0.11189395780682013,0,49.384185791015625,101,control
12,26962260,0.02142945562795063,0.01022696401923894,0.03151032824458935,0,7.822436332702637,101,control
15,26751888,0.02128593937411957,0.01016408950090408,0.02941397177907712,0,1.4912375211715698,101,control
18,26729892,0.02135120198571433,0.01018339022994041,0.02971587537053792,0,1.782257080078125,101,control
21,26414883,0.02130747520251558,0.01018039416521787,0.02946324483175276,0,1.2528655529022217,101,control
24,26206952,0.02134434990264529,0.01018881052732467,0.0298197922474537,0,2.3065574169158936,101,control
27,26629310,0.02139347481488093,0.01019003521651029,0.02975497372742063,0,1.6498650312423706,101,control
30,26645220,0.02129357135860421,0.01014709193259477,0.02952106418014493,0,1.7088074684143066,101,control
33,26373314,0.02138388621270065,0.01021586917340755,0.02966667336933649,0,2.04998517036438,101,control
36,26628820,0.02149827826003601,0.01022590510547161,0.03028240897226088,0,2.2262794971466064,101,control
39,26915410,0.02145717282140337,0.0102189676836133,0.03072070199900288,0,4.922246932983398,101,control
42,26701400,0.02144720702794605,0.01020399667322635,0.03117040406671087,0,4.730680465698242,101,control
45,26859300,0.02142568772246598,0.01018881052732467,0.03179938408418427,0,6.457553863525391,101,control
48,26492320,0.02137075534312988,0.01018492504954338,0.03067381201555946,0,4.007506847381592,101,control
0,42555122,0.02157708965724983,0.01018881052732467,0.03468643037514439,0,9.781856536865234,102,control
3,43097780,0.02166318073581687,0.01020811032503843,0.04233468489134697,0,19.467044830322266,102,control
6,42287160,0.02173196366824859,0.01030115596950054,0.03531487505515141,0,10.302570343017578,102,control
9,42662263,0.02182058708485952,0.01021051127463579,0.06336362904175938,0,35.34447479248047,102,control
12,43409145,0.02145290196623423,0.01018474344164133,0.03224292702169633,0,8.468690872192383,102,control
15,42507414,0.02149710317742459,0.01021475158631801,0.03066767109693224,0,5.979004383087158,102,control
18,42492872,0.02185645765224587,0.01028994470834732,0.03984491449027785,0,33.585514068603516,102,control
21,42519960,0.02161241052328064,0.01019968371838331,0.03382290941225419,0,10.17581558227539,102,control
24,42546546,0.02147450120329681,0.0101961325854063,0.03050739152439948,0,3.717336177825928,102,control
27,42884640,0.02148410250890513,0.0101961325854063,0.03080360989094968,0,8.002461433410645,102,control
30,42429387,0.02145959500308044,0.01021301560103893,0.03044007995259167,0,8.046961784362793,102,control
33,42665655,0.02163448438714896,0.01019817870110273,0.04824423528119187,0,24.99427795410156,102,control
36,42539584,0.02140669644174485,0.01018039416521787,0.03020941937908384,0,4.010401725769043,102,control
39,42627728,0.02148999970510684,0.01021586917340755,0.03018431786104026,0,3.0696723461151123,102,control
42,42861609,0.02139903212207434,0.0101838894188404,0.02991164084387044,0,2.8628017902374268,102,control
