Time,Seed,Model,Value
0,1,control,0.0014415
3,1,control,0.001406
6,1,control,0.001407
9,1,control,0.0014305
12,1,control,0.001415
15,1,control,0.0014275
18,1,control,0.0014175
21,1,control,0.0014075
24,1,control,0.001404
27,1,control,0.001435
30,1,control,0.001428
33,1,control,0.0014305
36,1,control,0.001415
39,1,control,0.001428
42,1,control,0.001436
45,1,control,0.0014325
48,1,control,0.0014095
0,10,control,0.001904
3,10,control,0.001897
6,10,control,0.001893
9,10,control,0.0018715
12,10,control,0.001887
15,10,control,0.001898
18,10,control,0.001896
21,10,control,0.001896
24,10,control,0.0019085
27,10,control,0.001923
30,10,control,0.0018915
33,10,control,0.001894
36,10,control,0.001904
39,10,control,0.0019095
42,10,control,0.0019
45,10,control,0.001906
48,10,control,0.0019245
0,100,control,0.0012465
3,100,control,0.001246
6,100,control,0.0012105
9,100,control,0.001213
12,100,control,0.0012435
15,100,control,0.001229
18,100,control,0.0012345
21,100,control,0.0012095
24,100,control,0.0012445
27,100,control,0.00122
30,100,control,0.001228
33,100,control,0.0012095
36,100,control,0.001238
39,100,control,0.0012165
42,100,control,0.0012245
45,100,control,0.0012485
48,100,control,0.001205
0,101,control,0.0069925
3,101,control,0.0069755
6,101,control,0.0070025
9,101,control,0.0070075
12,101,control,0.0070695
15,101,control,0.006984
18,101,control,0.0070065
21,101,control,0.0069995
24,101,control,0.007044
27,101,control,0.007072
30,101,control,0.006985
33,101,control,0.0070085
36,101,control,0.0070355
39,101,control,0.007033
42,101,control,0.0069945
45,101,control,0.0069695
48,101,control,0.0070545
0,102,control,0.0017705
3,102,control,0.001761
6,102,control,0.0017705
9,102,control,0.001781
12,102,control,0.0017585
15,102,control,0.0017365
18,102,control,0.0017495
21,102,control,0.0017625
24,102,control,0.001776
27,102,control,0.001751
30,102,control,0.001745
33,102,control,0.0017955
36,102,control,0.001781
39,102,control,0.001751
42,102,control,0.001744
45,102,control,0.001765
48,102,control,0.0017765
0,103,control,0.0024765
3,103,control,0.002475
6,103,control,0.00249
9,103,control,0.0024895
12,103,control,0.0025025
15,103,control,0.002487
18,103,control,0.0024945
21,103,control,0.0024975
24,103,control,0.002475
27,103,control,0.0024755
30,103,control,0.002446
33,103,control,0.0025
36,103,control,0.0025135
39,103,control,0.0024745
42,103,control,0.0024695
45,103,control,0.002461
48,103,control,0.0025045
0,104,control,0.001978
3,104,control,0.001938
6,104,control,0.0019595
9,104,control,0.001959
12,104,control,0.0019635
15,104,control,0.001954
18,104,control,0.00197
21,104,control,0.001984
24,104,control,0.0019565
27,104,control,0.001946
30,104,control,0.0019465
33,104,control,0.001953
36,104,control,0.0019905
