Seed,Model,Ne
1,control,14813
10,control,20452
100,control,12924
101,control,75061
102,control,19055
103,control,26464
104,control,20334
105,control,56941
106,control,18568
107,control,26016
108,control,27021
109,control,13357
11,control,41381
110,control,14340
111,control,16244
112,control,20282
113,control,18369
114,control,23098
115,control,20385
116,control,24880
117,control,28468
118,control,33089
119,control,28036
12,control,15649
120,control,37610
121,control,49693
122,control,13284
123,control,22784
124,control,13417
125,control,56420
126,control,40370
127,control,14065
128,control,25231
129,control,32890
13,control,54939
130,control,8891
131,control,56863
132,control,20290
133,control,30116
134,control,27141
135,control,28558
136,control,24023
137,control,20377
138,control,16130
139,control,30743
14,control,14889
140,control,14526
141,control,77727
142,control,18604
143,control,21722
144,control,23482
145,control,39245
146,control,17734
147,control,42299
148,control,61244
149,control,37753
15,control,23401
150,control,14473
151,control,58111
152,control,57262
153,control,22671
154,control,25524
155,control,24673
156,control,13959
157,control,11612
158,control,17272
159,control,37825
16,control,38980
160,control,46283
161,control,12812
162,control,46492
163,control,38603
164,control,13003
165,control,17453
166,control,30198
167,control,10912
168,control,19319
169,control,10345
17,control,37843
170,control,12355
171,control,39440
172,control,24465
173,control,33062
174,control,81483
175,control,28228
176,control,38771
177,control,36790
178,control,19838
179,control,44124
18,control,36693
180,control,25013
181,control,15640
182,control,24585
183,control,21571
184,control,17576
185,control,23872
186,control,23475
187,control,18621
188,control,12056
189,control,31553
19,control,24338
190,control,23720
191,control,17702
192,control,15693
193,control,19974
194,control,53715
195,control,55437
196,control,27167
197,control,12173
198,control,51400
199,control,22006
2,control,39837
20,control,17476
200,control,29799
21,control,15611
22,control,33072
23,control,30917
24,control,42450
25,control,11548
26,control,19598
27,control,22243
28,control,33418
29,control,20347
3,control,11428
30,control,20201
31,control,13136
32,control,41006
33,control,56279
34,control,18860
35,control,28186
36,control,36440
37,control,18416
38,control,40222
39,control,16196
4,control,11174
40,control,35695
41,control,88846
42,control,59277
43,control,32387
44,control,89686
45,control,28115
46,control,22422
47,control,43009
48,control,22121
49,control,60195
5,control,49081
50,control,24998
51,control,21852
52,control,17906
53,control,20326
54,control,16933
55,control,58968
56,control,28153
57,control,16902
58,control,21619
59,control,26084
6,control,19969
60,control,9335
61,control,21999
62,control,27126
63,control,44934
64,control,29466
65,control,21268
66,control,63834
67,control,42368
68,control,57249
69,control,17410
7,control,20810
70,control,18404
71,control,29499
72,control,55404
73,control,17155
74,control,20556
75,control,32319
76,control,33054
77,control,20411
78,control,52682
79,control,31446
8,control,17542
80,control,36093
81,control,33615
82,control,19287
83,control,28939
84,control,16196
85,control,12742
86,control,56344
87,control,24639
88,control,18692
89,control,24115
9,control,22725
90,control,37645
91,control,34995
92,control,36177
93,control,16878
94,control,11870
95,control,22052
96,control,27604
97,control,38190
98,control,20132
99,control,45345
1,intervention,27804
10,intervention,11880
100,intervention,22918
101,intervention,14574
102,intervention,20261
103,intervention,10853
104,intervention,50689
105,intervention,18716
106,intervention,42763
107,intervention,36036
108,intervention,19490
109,intervention,12750
11,intervention,23096
110,intervention,24768
111,intervention,11384
112,intervention,36027
113,intervention,54108
114,intervention,23008
115,intervention,17851
116,intervention,14939
117,intervention,54431
118,intervention,15039
119,intervention,17165
12,intervention,26713
120,intervention,43410
121,intervention,49759
122,intervention,43975
123,intervention,44414
124,intervention,34287
125,intervention,16646
126,intervention,10108
127,intervention,9275
128,intervention,13387
129,intervention,24902
13,intervention,38609
130,intervention,66492
131,intervention,25043
132,intervention,27292
133,intervention,18638
134,intervention,24709
135,intervention,34424
136,intervention,37919
137,intervention,6530
138,intervention,47342
139,intervention,16894
14,intervention,56098
140,intervention,46126
141,intervention,32929
142,intervention,13208
143,intervention,14368
144,intervention,34700
145,intervention,25878
146,intervention,32474
147,intervention,38672
148,intervention,47161
149,intervention,30813
15,intervention,28729
150,intervention,28228
151,intervention,35418
152,intervention,32161
