Seed,Model,Ne
58,intervention,54336
59,intervention,56287
6,intervention,27267
60,intervention,21296
61,intervention,49001
62,intervention,63480
63,intervention,16544
64,intervention,49566
65,intervention,43128
66,intervention,17631
67,intervention,14447
68,intervention,41632
69,intervention,62253
7,intervention,29070
70,intervention,32255
71,intervention,16590
72,intervention,33048
73,intervention,11378
74,intervention,16486
75,intervention,13517
76,intervention,41622
77,intervention,29910
78,intervention,47958
79,intervention,24533
8,intervention,36217
80,intervention,40634
81,intervention,13810
82,intervention,32661
83,intervention,11047
84,intervention,24926
85,intervention,36059
86,intervention,18008
87,intervention,5562
88,intervention,18437
89,intervention,31805
9,intervention,50758
90,intervention,18782
91,intervention,41539
92,intervention,20725
93,intervention,63442
94,intervention,34032
95,intervention,18842
96,intervention,33401
97,intervention,37072
98,intervention,14114
99,intervention,35201
