Seed,Model,Ne
1,control,23875
10,control,36295
100,control,20563
101,control,31558
102,control,34011
103,control,24098
104,control,23284
105,control,37329
106,control,11961
107,control,36229
108,control,14951
109,control,44099
11,control,37207
110,control,30271
111,control,5729
112,control,31241
113,control,8521
114,control,8314
115,control,37123
116,control,13267
117,control,39016
118,control,28498
119,control,19495
12,control,29509
120,control,37979
121,control,17883
122,control,48795
123,control,26044
124,control,19986
125,control,15949
126,control,39492
127,control,44910
128,control,11444
129,control,18375
13,control,17912
130,control,15571
131,control,94531
132,control,25971
133,control,33277
134,control,35296
135,control,39274
136,control,17180
137,control,27549
138,control,56209
139,control,29128
14,control,16567
140,control,33126
141,control,20508
142,control,22522
143,control,16204
144,control,34169
145,control,28925
146,control,23344
147,control,43055
148,control,15296
149,control,31497
15,control,21197
150,control,10518
151,control,36386
152,control,13246
153,control,20664
154,control,22220
155,control,5010
156,control,51400
157,control,13218
158,control,32683
159,control,41903
16,control,23309
160,control,26154
161,control,32681
162,control,63794
163,control,30413
164,control,56387
165,control,17206
166,control,20262
167,control,23645
168,control,31569
169,control,17492
17,control,24321
170,control,34166
171,control,50468
172,control,37751
173,control,20974
174,control,14288
175,control,55389
176,control,45041
177,control,23786
178,control,15603
179,control,35160
18,control,25869
180,control,24616
181,control,28109
182,control,18934
183,control,17124
184,control,31662
185,control,27005
186,control,20167
187,control,15981
188,control,11256
189,control,25626
19,control,140481
190,control,40723
191,control,38900
192,control,18301
193,control,29033
194,control,31539
195,control,23987
196,control,29361
197,control,15593
198,control,14339
199,control,49323
2,control,90136
20,control,53480
200,control,52972
21,control,10321
22,control,29094
23,control,70472
24,control,18266
25,control,33635
26,control,19612
27,control,38148
28,control,49600
29,control,28987
3,control,22299
30,control,18063
31,control,22055
32,control,37268
33,control,33961
34,control,80060
35,control,16149
36,control,58476
37,control,23245
38,control,24548
39,control,54026
4,control,70495
40,control,47788
41,control,29837
42,control,21853
43,control,17203
44,control,41428
45,control,20936
46,control,57344
47,control,17778
48,control,32420
49,control,19828
5,control,30565
50,control,23414
51,control,100511
52,control,25726
53,control,11961
54,control,15904
55,control,41719
56,control,26891
57,control,23598
58,control,30150
59,control,21346
6,control,22010
60,control,28742
61,control,22906
62,control,21143
63,control,52512
64,control,42334
65,control,37626
66,control,21659
67,control,82251
68,control,36835
69,control,62019
7,control,31118
70,control,32798
71,control,102123
72,control,38115
73,control,58477
74,control,44645
75,control,32956
76,control,13295
77,control,18733
78,control,36324
79,control,29261
8,control,18656
80,control,45731
81,control,23047
82,control,22032
83,control,22147
84,control,37669
85,control,13107
86,control,27498
87,control,50265
88,control,22987
89,control,12228
9,control,36254
90,control,23342
91,control,22037
92,control,27458
93,control,40148
94,control,27354
95,control,14526
96,control,27386
97,control,30852
98,control,47257
99,control,72950
1,intervention,8270
10,intervention,34892
100,intervention,48212
101,intervention,32626
102,intervention,25020
103,intervention,23754
104,intervention,52903
105,intervention,31366
106,intervention,13205
107,intervention,13549
108,intervention,14892
109,intervention,32898
11,intervention,22231
110,intervention,13027
111,intervention,14812
112,intervention,17440
113,intervention,34221
114,intervention,34312
115,intervention,14194
116,intervention,15063
117,intervention,10774
118,intervention,63165
119,intervention,102503
12,intervention,15636
120,intervention,27446
121,intervention,32158
122,intervention,58634
123,intervention,39642
124,intervention,15371
125,intervention,48698
126,intervention,21741
127,intervention,17315
128,intervention,68970
129,intervention,30781
13,intervention,39352
130,intervention,22480
131,intervention,27213
132,intervention,66380
133,intervention,26711
134,intervention,29272
135,intervention,39368
136,intervention,12683
137,intervention,43287
138,intervention,28490
139,intervention,33623
14,intervention,14126
140,intervention,18826
141,intervention,33121
142,intervention,34925
143,intervention,27687
144,intervention,19163
145,intervention,30609
146,intervention,36345
147,intervention,7400
148,intervention,25794
149,intervention,25223
15,intervention,11835
150,intervention,26953
151,intervention,64435
152,intervention,35864
153,intervention,31096
154,intervention,22429
155,intervention,17527
156,intervention,18283
157,intervention,36462
158,intervention,18214
159,intervention,27643
16,intervention,13364
160,intervention,6856
161,intervention,23398
162,intervention,18288
163,intervention,21527
164,intervention,49344
165,intervention,20070
166,intervention,15618
167,intervention,33620
168,intervention,82446
169,intervention,35039
17,intervention,41924
170,intervention,15473
171,intervention,20663
172,intervention,14152
173,intervention,11928
174,intervention,48819
175,intervention,20249
176,intervention,18691
177,intervention,23243
178,intervention,23781
179,intervention,27851
18,intervention,40914
180,intervention,17164
181,intervention,19781
182,intervention,28259
183,intervention,25406
184,intervention,21447
185,intervention,32352
186,intervention,25503
187,intervention,17016
188,intervention,70313
189,intervention,45655
19,intervention,14814
190,intervention,42484
191,intervention,31063
192,intervention,47625
193,intervention,23231
194,intervention,22474
195,intervention,25203
196,intervention,16245
197,intervention,27139
198,intervention,16318
199,intervention,19707
2,intervention,36053
20,intervention,20710
200,intervention,78464
21,intervention,55348
22,intervention,13262
23,intervention,26472
24,intervention,50408
25,intervention,33355
26,intervention,33526
27,intervention,39749
28,intervention,39417
29,intervention,36678
3,intervention,32621
30,intervention,30946
31,intervention,29497
32,intervention,37164
33,intervention,14702
34,intervention,33187
35,intervention,21097
36,intervention,31558
37,intervention,72937
38,intervention,16132
39,intervention,48716
4,intervention,19394
40,intervention,40514
41,intervention,19277
42,intervention,21999
43,intervention,57711
44,intervention,41972
45,intervention,26609
46,intervention,28991
47,intervention,18453
48,intervention,41856
49,intervention,59936
5,intervention,22938
50,intervention,29112
51,intervention,64055
52,intervention,22216
53,intervention,41637
54,intervention,18863
55,intervention,54587
56,intervention,35447
57,intervention,27535
58,intervention,44918
59,intervention,21596
6,intervention,44499
60,intervention,19699
61,intervention,23253
62,intervention,60897
63,intervention,14959
64,intervention,66399
65,intervention,101218
66,intervention,30877
67,intervention,29248
68,intervention,30612
69,intervention,40069
7,intervention,27404
70,intervention,15773
71,intervention,18187
72,intervention,45481
73,intervention,34479
74,intervention,63365
75,intervention,29308
76,intervention,24361
77,intervention,42456
78,intervention,19097
79,intervention,95249
8,intervention,34516
80,intervention,30593
81,intervention,21859
82,intervention,10778
83,intervention,14886
84,intervention,56470
85,intervention,43606
86,intervention,44486
87,intervention,18306
88,intervention,30921
89,intervention,73086
9,intervention,34458
90,intervention,35956
91,intervention,22185
92,intervention,42461
93,intervention,36052
94,intervention,19073
95,intervention,52522
96,intervention,30764
97,intervention,20723
98,intervention,19983
99,intervention,23220
