Time,n_pairs,Value,median_r2,sd_r2,min_r2,max_r2,Seed,Model
0,46157952,0.02203283983240067,0.01019817870110273,0.0919679013762589,0,64.349884033203125,1,control
3,46607568,0.02173006645670993,0.01018039416521787,0.04847200700380568,0,22.865978240966797,1,control
6,46710180,0.02148043461575313,0.01018881052732467,0.03203679811799577,0,6.095848083496094,1,control
9,46819650,0.02141606092478318,0.0101820770651102,0.03095720330397085,0,6.335323333740234,1,control
12,46778748,0.02142583054546403,0.01018881052732467,0.03104588269999791,0,7.737484455108643,1,control
15,46771665,0.02144146305431554,0.01019003521651029,0.03118812648109705,0,6.739025115966797,1,control
18,46703492,0.02181451528077449,0.01021142024546861,0.04931614191121889,0,29.566635131835938,1,control
21,46983960,0.02181225055802129,0.01037645898759365,0.03252559524728618,0,31.49729347229004,1,control
24,46376000,0.02173021820219897,0.0101826200261712,0.04308700092109358,0,18.27493476867676,1,control
27,46641938,0.02153487929062905,0.01019453629851341,0.03245745398719592,0,5.319590091705322,1,control
30,46586988,0.02253680393567749,0.0103092361241579,0.09927014630895847,0,79.133697509765625,1,control
33,46319955,0.02138762975995705,0.01019003521651029,0.02993594697166797,0,3.4487030506134033,1,control
36,46828662,0.02140761049033328,0.01021142024546861,0.02984172547426666,0,2.7931482791900635,1,control
39,46750806,0.02165568140014934,0.01021746080368757,0.03761438207316774,0,12.666921615600586,1,control
42,46942812,0.02138922474624583,0.01017883140593767,0.03020744285320278,0,3.796818733215332,1,control
45,46744569,0.0213472411666872,0.01016700640320777,0.02974222585081251,0,2.951101541519165,1,control
48,46369288,0.0213821619629537,0.01015223003923893,0.02996161315551972,0,2.3034257888793945,1,control
0,104528844,0.02186100232727303,0.01021586917340755,0.06727973358704506,0,67.4463882446289,10,control
3,103832256,0.02178636318992175,0.01022313255816698,0.04529992984316663,0,44.354225158691406,10,control
6,103793319,0.02161386069436937,0.01024425867944955,0.03414289238097325,0,14.82380485534668,10,control
9,104303592,0.02155100818190473,0.0102186519652605,0.03263493761673879,0,14.984396934509276,10,control
12,104701064,0.02153502647197472,0.01024587079882621,0.03116681026173505,0,6.452804088592529,10,control
15,104760768,0.02151625983454547,0.01020199060440063,0.03158955098724522,0,7.378772735595703,10,control
18,104024970,0.02157056691985565,0.01020652055740356,0.03399718247993247,0,18.03780937194824,10,control
21,104700750,0.02143178977818176,0.01020320504903793,0.03025759324445993,0,6.396144390106201,10,control
24,104004000,0.02151987036456512,0.01018918491899967,0.03479290513558517,0,53.3983268737793,10,control
27,103471924,0.02224231217142532,0.01021142024546861,0.1246425085351957,0,131.6403045654297,10,control
30,103365288,0.02150726276470188,0.01020469609647989,0.03137913123087269,0,6.942547798156738,10,control
33,104423736,0.02164005866938275,0.01029190607368946,0.03124458608384495,0,6.10561466217041,10,control
36,103510748,0.02148654741613283,0.01022313255816698,0.03105738416922819,0,5.811224937438965,10,control
39,104826096,0.02154763759349152,0.01021301560103893,0.03161121155123407,0,9.154157638549805,10,control
42,104778622,0.02161473889607459,0.01022313255816698,0.03328861692003303,0,6.684859275817871,10,control
45,104542525,0.02151449518449383,0.01023684535175561,0.03139802989167201,0,19.671863555908203,10,control
48,105064378,0.02150210382963864,0.01022313255816698,0.03140376472123826,0,10.402070045471191,10,control
0,32860150,0.02156042341021788,0.01017220877110958,0.04045009451590413,0,24.299970626831055,100,control
3,32992860,0.02143782554908637,0.01021586917340755,0.0299060850911323,0,2.9672751426696777,100,control
6,33183304,0.02143558159715041,0.01020075660198927,0.03253115828483099,0,8.246459007263184,100,control
9,32740708,0.02162510342659203,0.01018039416521787,0.04860220207008423,0,24.926498413085938,100,control
12,33154395,0.02137825028718374,0.01018666569143533,0.02962507647907277,0,1.5692667961120603,100,control
15,33039500,0.02134963148738126,0.0101961325854063,0.02972796537964924,0,2.0655362606048584,100,control
18,32918400,0.02149875934422131,0.01019817870110273,0.03177088421374855,0,6.138788223266602,100,control
21,33454575,0.02146393990645374,0.0102657014504075,0.02987579896969584,0,1.7744953632354736,100,control
24,32878027,0.02171498330802497,0.01022313255816698,0.04637446410887725,0,18.93150520324707,100,control
27,32976300,0.02135207404397289,0.01014976296573877,0.02978375432498505,0,1.7596834897994995,100,control
30,32878752,0.02138056955180646,0.01019817870110273,0.02970024351917771,0,1.680925726890564,100,control
33,33361920,0.02142995310426161,0.01021051127463579,0.03013550788943057,0,3.9236416816711426,100,control
36,33136912,0.02129426891695245,0.01015836931765079,0.02938807671690766,0,0.8732755780220032,100,control
39,33044746,0.02134298910825259,0.01017892453819513,0.02975880237041427,0,2.3610763549804688,100,control
42,33102256,0.02132770781912954,0.01018708478659391,0.02946962001448339,0,1.9384403228759768,100,control
45,32717104,0.02134585801431052,0.01015836931765079,0.02992348948875438,0,3.2031099796295166,100,control
48,33171498,0.02139006565383158,0.01019003521651029,0.02963593971641277,0,2.405705451965332,100,control
0,79391460,0.02146091441989987,0.01019616983830928,0.0307317049795132,0,7.87432336807251,101,control
3,80455275,0.02146773815790204,0.01022313255816698,0.0310786744538781,0,7.03729772567749,101,control
6,80113512,0.02162259930644528,0.01020899228751659,0.0351845107275426,0,59.60025405883789,101,control
9,79345370,0.02142332886989535,0.01022590510547161,0.02985197842516037,0,2.8860044479370117,101,control
12,79621880,0.02146964680557168,0.01021171920001506,0.0304375409730876,0,6.8423871994018555,101,control
15,79804692,0.02186677960249168,0.01019388809800148,0.07310024802050902,0,51.00579452514648,101,control
18,80489040,0.02152108239830994,0.01021142024546861,0.03349269230193212,0,9.98870849609375,101,control
21,79653024,0.0215213394089256,0.01020899228751659,0.03202985198737024,0,17.39177131652832,101,control
24,79457547,0.02147928018888595,0.0101961325854063,0.03173314814279789,0,25.65390396118164,101,control
27,80405136,0.02153569928395778,0.01020899228751659,0.03600456596122,0,14.585936546325684,101,control
30,79936616,0.02144863100257153,0.01019817870110273,0.03046407437895093,0,6.78035831451416,101,control
33,80242400,0.02160153216386473,0.0102491844445467,0.03243128796803249,0,15.984569549560549,101,control
36,80346735,0.02170184069750623,0.010303795337677,0.03220164487374882,0,9.67081069946289,101,control
39,80362389,0.02153372833994834,0.01019817870110273,0.03376492251901105,0,10.204081535339355,101,control
42,80018430,0.02180008434962435,0.01020075660198927,0.05943685501412473,0,33.887603759765625,101,control
45,79795866,0.02151700073834906,0.0101961325854063,0.0313409498805819,0,6.47426700592041,101,control
48,79500550,0.0214514113706777,0.01019003521651029,0.03189213748915039,0,16.38458251953125,101,control
0,95785305,0.02145679897262291,0.01018474344164133,0.03107941666157485,0,7.574112415313721,102,control
3,95019148,0.02156303076988638,0.01021142024546861,0.03232159787636017,0,12.755102157592772,102,control
6,95023423,0.02162840865397495,0.0101961325854063,0.03609221753604875,0,15.70573616027832,102,control
9,95540848,0.0217109069564592,0.01019439473748207,0.05777712879436304,0,56.695125579833984,102,control
12,96078675,0.02172241601999867,0.01018943451344966,0.04417814870175612,0,21.67894172668457,102,control
15,94778628,0.02313888125789404,0.01024587079882621,0.2193373304427545,0,168.298095703125,102,control
18,95724892,0.02152453430902267,0.01021116785705089,0.03152011299770897,0,6.963716506958008,102,control
21,94784935,0.0217381105657232,0.01025962736457586,0.03522275411186088,0,24.37725830078125,102,control
24,95980425,0.02141988570039079,0.01019003521651029,0.03026729748155689,0,3.5474233627319336,102,control
27,96225100,0.02148984627427726,0.0101961325854063,0.03154721671213301,0,10.052931785583496,102,control
30,94380325,0.02225279753839801,0.0101961325854063,0.12298490457016012,0,302.1705017089844,102,control
33,95442890,0.02159830140543607,0.01021586917340755,0.03225544616918722,0,13.15103244781494,102,control
36,95643911,0.02165486959909172,0.01022696401923894,0.03474019387925854,0,11.758224487304688,102,control
39,95565687,0.02160163811802145,0.01022313255816698,0.03458743067655012,0,45.436397552490234,102,control
42,95159296,0.02172278513697089,0.01018039416521787,0.04378115206331991,0,51.08758544921875,102,control
45,95306404,0.02177670134633515,0.01021230220794677,0.0465265601973784,0,158.38308715820312,102,control
48,95961591,0.02154592109568757,0.01021746080368757,0.03202855081650154,0,26.1240234375,102,control
0,47119198,0.02182206551821491,0.01021051127463579,0.0646081262596809,0,40.20367431640625,103,control
3,46926158,0.0218788861910313,0.01018881052732467,0.06797325807965689,0,59.893524169921875,103,control
6,46785239,0.02143536463238878,0.01021301560103893,0.03045690072500368,0,4.701817035675049,103,control
9,46941330,0.02162302798327098,0.0101961325854063,0.03903765985278613,0,14.796590805053713,103,control
12,47119720,0.02136943154763593,0.01016408950090408,0.03109708821810499,0,8.809381484985352,103,control
15,46750986,0.02145762443895569,0.01019158028066158,0.03137560498260917,0,6.825981140136719,103,control
18,47131308,0.02154294587861444,0.0101961325854063,0.03500501945873142,0,11.05685043334961,103,control
21,46655730,0.02140923314764075,0.01019453629851341,0.03129676413879314,0,6.200948715209961,103,control
24,46754523,0.02139616434585328,0.01019329857081174,0.03025487878192265,0,3.840245723724365,103,control
27,46906952,0.02145198016298646,0.01022556331008672,0.03047074138449931,0,7.005559921264648,103,control
30,46907280,0.02138016678399937,0.01018039416521787,0.0308129740594793,0,5.401686191558838,103,control
33,46990800,0.02162888653488941,0.01019003521651029,0.0524620391021888,0,24.609792709350582,103,control
36,46822424,0.02148685172480849,0.01018881052732467,0.033660032970232213,0,10.044032096862791,103,control
39,46942710,0.02136376074243436,0.01018039416521787,0.02996075181473012,0,8.833653450012207,103,control
42,47327410,0.02146648271129679,0.01021746080368757,0.03115211551917104,0,4.9347405433654785,103,control
45,46960245,0.0216268152219962,0.01025845110416412,0.0318265803454843,0,9.421148300170898,103,control
48,46518800,0.02289082271792912,0.01023045368492603,0.18452617721054423,0,158.38308715820312,103,control
0,43487320,0.02149416453285534,0.0102026080712676,0.03176341175593998,0,6.894630432128906,104,control
3,43451760,0.02185244713208392,0.01024587079882621,0.06733945771628856,0,40.40336990356445,104,control
6,43287168,0.02138393791236364,0.0101820770651102,0.03016247989522973,0,3.958479881286621,104,control
9,43354518,0.02142159174172444,0.01021142024546861,0.03060308835265076,0,4.9265360832214355,104,control
12,43196350,0.02133131352274828,0.01016545295715332,0.02975506167044697,0,2.2190306186676025,104,control
15,43125005,0.02137311750615147,0.01020268071442842,0.02970103653337827,0,2.4043080806732178,104,control
18,43151760,0.02191394774364578,0.01018565986305475,0.0790252875336377,0,42.89580154418945,104,control
21,43215955,0.0214021260758837,0.01018666569143533,0.03067022438853471,0,5.180749416351318,104,control
24,43327666,0.02220132490566052,0.01019003521651029,0.1122770118590114,0,231.44625854492188,104,control
27,43061576,0.02193222292677666,0.01022149994969368,0.07134213623712495,0,45.2523078918457,104,control
30,43184502,0.0213456194534063,0.01019453629851341,0.02959515578464081,0,1.7558647394180298,104,control
33,43131900,0.02142258642686051,0.0101961325854063,0.03192988445194487,0,8.78554916381836,104,control
36,43426500,0.02143347593063333,0.01020652055740356,0.03082046718576434,0,5.670494556427002,104,control
39,43133724,0.02179431945296517,0.01022313255816698,0.06070772682425574,0,32.7087287902832,104,control
42,43876700,0.02147664421912127,0.01022590510547161,0.03167534261834782,0,7.27067756652832,104,control
45,43345807,0.02138546446471119,0.01020378991961479,0.03032795781825753,0,4.433810234069824,104,control
48,43210252,0.02144323932774838,0.01022313255816698,0.03028424575668827,0,2.950965881347656,104,control
0,110453539,0.02163226822921053,0.01021237671375274,0.03944296102605457,0,19.720317840576172,105,control
3,110291808,0.02180989726423734,0.0102302823215723,0.03691088152545165,0,45.403507232666016,105,control
6,109811730,0.02236470915155367,0.01022624969482421,0.11338921571513924,0,200.1249542236328,105,control
9,110037984,0.0215384154157541,0.01022830791771411,0.03155393676107206,0,5.6072001457214355,105,control
12,111257804,0.02253235280633491,0.01022313255816698,0.130724654924684,0,189.76467895507812,105,control
15,110516769,0.02161657924568667,0.01022590510547161,0.03281617645379776,0,18.689706802368164,105,control
18,110990118,0.02187042183027663,0.01022696401923894,0.05944914005288554,0,46.46226119995117,105,control
21,110424412,0.02152446672495545,0.01022417563945055,0.03092700526624127,0,6.650779724121094,105,control
24,111949280,0.0216536828952721,0.01021783147007227,0.03498438407893835,0,21.692119598388672,105,control
27,110477826,0.02166863238933197,0.01021142024546861,0.04133812600615969,0,30.87969970703125,105,control
30,110676760,0.02162940249881358,0.01025699637830257,0.03206710932042371,0,7.01980447769165,105,control
33,110393449,0.02159178026664415,0.0102389482781291,0.03212747866674936,0,6.859613418579102,105,control
36,110022300,0.02381685993335871,0.01021475158631801,0.30888737962153595,0,288.3152770996094,105,control
39,110645880,0.02276902475414027,0.01023045368492603,0.20468201155985127,0,417.55078125,105,control
42,109792800,0.02150514967616581,0.01021051127463579,0.03128253558584699,0,5.6552863121032715,105,control
45,110597289,0.02152621743071378,0.01022313255816698,0.03115065061929171,0,5.504086494445801,105,control
48,110520865,0.02158265317712251,0.0102389482781291,0.03290633209253967,0,10.135056495666504,105,control
0,11313225,0.02144812621666551,0.01027532387524843,0.02972299969887781,0,1.518808364868164,106,control
3,11264974,0.02131674366274859,0.0101961325854063,0.02933672696879147,0,0.646826446056366,106,control
6,11267106,0.02140603761873154,0.01024753227829933,0.02945808759288939,0,0.7933202385902405,106,control
9,11292126,0.0215237092255803,0.01029190607368946,0.02973255449447593,0,1.7295092344284058,106,control
12,11203775,0.02129302984942801,0.01016408950090408,0.02933048888727446,0,0.782835841178894,106,control
15,11375246,0.0212919454363996,0.01019317470490932,0.02928942115167991,0,0.7047480344772339,106,control
18,11224845,0.02120139364089919,0.01009745616465807,0.02920146975095497,0,0.7534236311912537,106,control
21,11162004,0.02134007316399346,0.01016230974346399,0.02964561268484925,0,2.0913608074188232,106,control
