Time,Seed,Model,Value
33,107,control,5.4469666666666e-4
36,107,control,5.4247888888888e-4
39,107,control,5.4465606060605e-4
42,107,control,5.4537202020201e-4
45,107,control,5.4522808080807e-4
48,107,control,5.4510515151514e-4
0,108,control,5.2991565656564e-4
3,108,control,5.3327585858585e-4
6,108,control,5.2865626262625e-4
9,108,control,5.309612121212e-4
12,108,control,5.3350898989898e-4
15,108,control,5.2691282828282e-4
18,108,control,5.3044010101009e-4
21,108,control,5.2991020202019e-4
24,108,control,5.3203474747473e-4
27,108,control,5.3248212121211e-4
30,108,control,5.3403070707069e-4
33,108,control,5.3445757575757e-4
36,108,control,5.3043888888888e-4
39,108,control,5.3194828282827e-4
42,108,control,5.3143989898989e-4
45,108,control,5.3008858585857e-4
48,108,control,5.3138373737373e-4
0,109,control,5.3115939393938e-4
3,109,control,5.2967919191918e-4
6,109,control,5.3092282828282e-4
9,109,control,5.3150414141413e-4
12,109,control,5.311406060606e-4
15,109,control,5.3129737373736e-4
18,109,control,5.3196212121211e-4
21,109,control,5.3243717171716e-4
24,109,control,5.3365828282827e-4
27,109,control,5.3542060606059e-4
30,109,control,5.311812121212e-4
33,109,control,5.3117191919191e-4
36,109,control,5.3271181818181e-4
39,109,control,5.3112292929292e-4
42,109,control,5.3104575757575e-4
45,109,control,5.3030858585857e-4
48,109,control,5.3193959595958e-4
0,11,control,5.4731454545453e-4
3,11,control,5.4712767676766e-4
6,11,control,5.4846232323231e-4
9,11,control,5.4588848484847e-4
12,11,control,5.4877727272726e-4
15,11,control,5.5115393939393e-4
18,11,control,5.4868545454544e-4
21,11,control,5.499918181818e-4
24,11,control,5.4979202020201e-4
27,11,control,5.4519575757574e-4
30,11,control,5.4822505050504e-4
33,11,control,5.4504525252524e-4
36,11,control,5.4766838383837e-4
39,11,control,5.494508080808e-4
42,11,control,5.4909515151514e-4
45,11,control,5.4961474747474e-4
48,11,control,5.475614141414e-4
0,110,control,5.2950040404039e-4
3,110,control,5.2591848484847e-4
6,110,control,5.2782353535352e-4
9,110,control,5.2743939393938e-4
12,110,control,5.3017747474746e-4
15,110,control,5.3117222222221e-4
18,110,control,5.2921505050504e-4
21,110,control,5.2693939393938e-4
24,110,control,5.2792434343433e-4
27,110,control,5.2946767676767e-4
30,110,control,5.2686202020201e-4
33,110,control,5.2876939393938e-4
36,110,control,5.2675272727272e-4
39,110,control,5.2956252525251e-4
42,110,control,5.2963626262625e-4
45,110,control,5.2807343434342e-4
48,110,control,5.2926545454544e-4
0,111,control,5.5295757575756e-4
3,111,control,5.5331797979797e-4
6,111,control,5.5275676767676e-4
9,111,control,5.5246808080807e-4
12,111,control,5.4885979797979e-4
15,111,control,5.5189909090908e-4
18,111,control,5.5154040404039e-4
21,111,control,5.5014696969696e-4
24,111,control,5.5159797979797e-4
27,111,control,5.4876181818181e-4
30,111,control,5.5297494949494e-4
33,111,control,5.4929676767675e-4
36,111,control,5.472709090909e-4
39,111,control,5.4846686868686e-4
42,111,control,5.5160959595959e-4
45,111,control,5.4896181818181e-4
48,111,control,5.5142444444443e-4
0,112,control,5.6165505050504e-4
3,112,control,5.6143383838383e-4
6,112,control,5.6191505050504e-4
9,112,control,5.6213929292928e-4
12,112,control,5.5979414141413e-4
15,112,control,5.6346535353534e-4
18,112,control,5.6350898989898e-4
21,112,control,5.6134666666666e-4
24,112,control,5.6452616161615e-4
27,112,control,5.6458515151514e-4
30,112,control,5.5886616161615e-4
33,112,control,5.6120040404039e-4
36,112,control,5.6228454545453e-4
39,112,control,5.6220464646463e-4
42,112,control,5.5874868686867e-4
45,112,control,5.6220939393938e-4
48,112,control,5.6337828282827e-4
0,113,control,5.4001353535352e-4
3,113,control,5.3864818181817e-4
6,113,control,5.3983494949494e-4
9,113,control,5.3911696969696e-4
12,113,control,5.3764535353534e-4
15,113,control,5.3708070707069e-4
18,113,control,5.3625818181817e-4
21,113,control,5.3931494949494e-4
24,113,control,5.3676060606059e-4
27,113,control,5.4060313131312e-4
30,113,control,5.3887959595958e-4
33,113,control,5.3855484848484e-4
36,113,control,5.3934050505049e-4
39,113,control,5.3480484848484e-4
42,113,control,5.3758797979797e-4
45,113,control,5.3622969696969e-4
48,113,control,5.3829515151514e-4
0,114,control,5.3284181818181e-4
3,114,control,5.3146484848484e-4
6,114,control,5.3337444444443e-4
9,114,control,5.3571202020201e-4
12,114,control,5.3547888888888e-4
15,114,control,0.00053533838383837005
18,114,control,5.334912121212e-4
21,114,control,5.354516161616e-4
24,114,control,5.3453222222221e-4
27,114,control,5.3497676767676e-4
30,114,control,5.386012121212e-4
33,114,control,5.3752818181817e-4
36,114,control,5.3738616161615e-4
39,114,control,5.3575515151514e-4
42,114,control,5.3582202020201e-4
45,114,control,5.3468262626262e-4
48,114,control,5.3772616161615e-4
0,115,control,5.4127939393938e-4
3,115,control,5.4385212121211e-4
6,115,control,5.4436303030302e-4
9,115,control,5.4648878787878e-4
12,115,control,5.4417515151514e-4
15,115,control,5.4346999999999e-4
18,115,control,5.4152212121211e-4
21,115,control,5.4005424242423e-4
24,115,control,5.4392383838383e-4
27,115,control,5.4262333333332e-4
30,115,control,5.4291919191918e-4
33,115,control,5.4110333333332e-4
36,115,control,5.4428050505049e-4
39,115,control,5.4131767676766e-4
42,115,control,5.424508080808e-4
45,115,control,5.431711111111e-4
48,115,control,5.4322191919191e-4
0,116,control,5.4695262626261e-4
3,116,control,5.4715414141413e-4
6,116,control,5.4563303030302e-4
9,116,control,5.4465363636363e-4
12,116,control,5.477908080808e-4
15,116,control,5.4765939393938e-4
18,116,control,5.5018787878787e-4
21,116,control,5.4605282828282e-4
24,116,control,5.4729505050504e-4
27,116,control,5.4736404040403e-4
30,116,control,5.4493838383837e-4
33,116,control,5.4443404040403e-4
36,116,control,5.4413070707069e-4
39,116,control,5.4745696969696e-4
42,116,control,5.4643777777776e-4
45,116,control,5.50221010101e-4
48,116,control,5.4693272727272e-4
0,117,control,5.4691727272726e-4
3,117,control,5.4547696969696e-4
6,117,control,5.455807070707e-4
9,117,control,5.4549373737373e-4
12,117,control,5.4665292929292e-4
15,117,control,5.4808636363635e-4
18,117,control,5.4491787878787e-4
21,117,control,5.4825808080807e-4
24,117,control,5.4515252525252e-4
27,117,control,5.4635595959595e-4
30,117,control,5.440211111111e-4
33,117,control,5.4537343434342e-4
36,117,control,5.4750686868686e-4
39,117,control,5.4559363636363e-4
42,117,control,5.4510737373736e-4
45,117,control,5.4551282828282e-4
48,117,control,5.4919636363635e-4
0,118,control,5.6572848484847e-4
3,118,control,5.6298979797979e-4
6,118,control,5.6380656565655e-4
9,118,control,5.630209090909e-4
12,118,control,5.6477313131312e-4
15,118,control,5.6431464646464e-4
18,118,control,5.6201030303029e-4
21,118,control,5.6188010101009e-4
24,118,control,5.6515565656564e-4
27,118,control,5.604414141414e-4
30,118,control,5.6577030303029e-4
33,118,control,5.6076545454544e-4
36,118,control,5.6369383838383e-4
39,118,control,5.6497727272726e-4
42,118,control,5.6325696969696e-4
45,118,control,5.6426383838383e-4
48,118,control,5.6242070707069e-4
0,119,control,5.5537464646464e-4
3,119,control,5.5316949494948e-4
6,119,control,5.5422666666666e-4
9,119,control,5.5436545454544e-4
12,119,control,5.5580313131312e-4
15,119,control,5.5585484848484e-4
18,119,control,5.5595222222221e-4
21,119,control,5.5460747474746e-4
24,119,control,5.5548333333332e-4
27,119,control,0.00055300161616160005
30,119,control,5.558211111111e-4
33,119,control,5.5235242424241e-4
36,119,control,5.514015151515e-4
39,119,control,5.5442595959595e-4
42,119,control,5.5540575757575e-4
45,119,control,5.5604282828282e-4
48,119,control,5.5202212121211e-4
0,12,control,5.5420292929292e-4
3,12,control,5.5685484848484e-4
6,12,control,5.5266171717171e-4
9,12,control,5.578514141414e-4
12,12,control,5.5529878787878e-4
15,12,control,5.5577262626261e-4
18,12,control,5.5682808080807e-4
21,12,control,5.5583333333332e-4
24,12,control,5.5822646464645e-4
27,12,control,5.5846838383837e-4
30,12,control,5.5846242424241e-4
33,12,control,5.5840888888888e-4
36,12,control,5.5472666666666e-4
39,12,control,5.5713555555555e-4
42,12,control,5.5663808080807e-4
45,12,control,5.5725838383837e-4
48,12,control,5.5988838383837e-4
0,120,control,5.4703020202019e-4
3,120,control,5.4716474747474e-4
6,120,control,5.4413929292928e-4
9,120,control,5.4420828282827e-4
12,120,control,5.4640585858585e-4
15,120,control,5.4551303030302e-4
18,120,control,5.4676333333332e-4
21,120,control,5.4617292929292e-4
24,120,control,5.4641464646464e-4
27,120,control,5.4567161616161e-4
30,120,control,5.4381676767676e-4
33,120,control,5.4639333333332e-4
36,120,control,5.4584262626262e-4
39,120,control,5.4551010101009e-4
42,120,control,5.4535232323231e-4
45,120,control,5.4490333333332e-4
48,120,control,5.4325313131312e-4
0,121,control,5.4805474747474e-4
3,121,control,5.4942626262625e-4
6,121,control,5.4767797979797e-4
9,121,control,5.5070575757575e-4
12,121,control,5.5055363636363e-4
15,121,control,5.5069696969696e-4
18,121,control,5.5163575757575e-4
21,121,control,5.4995383838383e-4
24,121,control,5.4713848484847e-4
27,121,control,5.482906060606e-4
30,121,control,5.4770464646463e-4
33,121,control,5.4966878787878e-4
36,121,control,5.4752727272726e-4
39,121,control,5.5235272727271e-4
42,121,control,5.4823272727272e-4
45,121,control,5.4503313131312e-4
48,121,control,5.5005848484847e-4
0,122,control,5.4806393939393e-4
3,122,control,5.4795828282827e-4
6,122,control,5.5083818181817e-4
9,122,control,5.4687323232322e-4
12,122,control,5.4685272727272e-4
15,122,control,5.471917171717e-4
18,122,control,5.4768353535352e-4
21,122,control,5.4372565656565e-4
24,122,control,5.4356939393938e-4
27,122,control,5.4525959595959e-4
30,122,control,5.4763727272726e-4
33,122,control,5.4598909090908e-4
36,122,control,0.00054319555555554005
39,122,control,5.4603181818181e-4
42,122,control,5.423408080808e-4
45,122,control,5.4447737373736e-4
48,122,control,5.4601888888888e-4
0,123,control,5.63621010101e-4
3,123,control,5.6243323232322e-4
6,123,control,5.6571989898989e-4
9,123,control,5.6109888888888e-4
12,123,control,5.6308060606059e-4
15,123,control,5.5808505050504e-4
18,123,control,5.6256525252524e-4
21,123,control,5.58691010101e-4
24,123,control,5.603113131313e-4
27,123,control,5.5767717171716e-4
30,123,control,5.5977828282827e-4
33,123,control,5.6110838383837e-4
36,123,control,5.6184434343433e-4
39,123,control,5.6248161616161e-4
42,123,control,5.615312121212e-4
45,123,control,5.5942616161615e-4
48,123,control,5.6086575757575e-4
0,124,control,5.4383202020201e-4
3,124,control,5.4149616161615e-4
6,124,control,5.4207717171716e-4
9,124,control,5.4350040404039e-4
12,124,control,5.4655929292928e-4
15,124,control,5.4284010101009e-4
18,124,control,5.4013282828282e-4
21,124,control,5.4317959595959e-4
24,124,control,5.4519272727272e-4
27,124,control,5.4481777777777e-4
30,124,control,5.4058818181817e-4
33,124,control,5.4165353535352e-4
36,124,control,5.4541515151514e-4
39,124,control,5.4111545454544e-4
42,124,control,5.4086636363635e-4
45,124,control,5.4466535353534e-4
48,124,control,5.4541979797979e-4
0,125,control,5.423109090909e-4
3,125,control,5.4350414141413e-4
6,125,control,5.4360363636362e-4
9,125,control,5.4391898989898e-4
12,125,control,5.4019212121211e-4
15,125,control,5.4253727272726e-4
18,125,control,0.00054279969696968005
21,125,control,5.4147505050504e-4
24,125,control,5.4246959595958e-4
27,125,control,5.4248282828282e-4
30,125,control,5.4456464646464e-4
33,125,control,5.4580818181817e-4
36,125,control,5.4565575757575e-4
39,125,control,5.4422303030302e-4
42,125,control,5.4604878787878e-4
45,125,control,5.4489363636362e-4
48,125,control,5.438108080808e-4
0,126,control,5.3876060606059e-4
3,126,control,5.4142646464645e-4
6,126,control,5.4040979797979e-4
9,126,control,5.4130030303029e-4
12,126,control,5.4051737373736e-4
15,126,control,5.3771939393938e-4
18,126,control,5.3821767676767e-4
21,126,control,5.3889444444444e-4
24,126,control,5.4239414141413e-4
27,126,control,5.4262323232322e-4
30,126,control,5.4166767676767e-4
33,126,control,5.3897606060605e-4
36,126,control,5.4263848484847e-4
39,126,control,5.3909404040403e-4
42,126,control,5.4195959595958e-4
45,126,control,5.4179060606059e-4
48,126,control,5.4063797979797e-4
0,127,control,5.3774070707069e-4
3,127,control,5.387111111111e-4
6,127,control,5.3477797979797e-4
9,127,control,5.3840707070706e-4
12,127,control,5.3525272727272e-4
15,127,control,5.3508202020201e-4
18,127,control,5.3602494949494e-4
21,127,control,5.3953828282827e-4
24,127,control,5.3840515151514e-4
27,127,control,5.3414919191918e-4
30,127,control,5.3885050505049e-4
33,127,control,5.3646292929292e-4
36,127,control,5.3623333333332e-4
39,127,control,5.3837878787878e-4
42,127,control,5.3907242424241e-4
45,127,control,5.3704909090908e-4
48,127,control,5.3868878787878e-4
0,128,control,5.5349717171716e-4
3,128,control,5.516208080808e-4
6,128,control,5.5479373737372e-4
9,128,control,5.5450414141413e-4
12,128,control,5.5265969696969e-4
15,128,control,5.5463585858584e-4
18,128,control,5.5296323232322e-4
21,128,control,5.5357363636362e-4
24,128,control,5.5697696969695e-4
27,128,control,5.5611585858585e-4
30,128,control,5.5493555555554e-4
33,128,control,5.5398424242423e-4
36,128,control,5.5177626262625e-4
39,128,control,5.5641505050504e-4
42,128,control,5.5201757575756e-4
45,128,control,5.5269717171716e-4
48,128,control,5.5259808080807e-4
0,129,control,5.5756454545453e-4
3,129,control,5.5970666666665e-4
6,129,control,5.6165575757575e-4
9,129,control,5.58581010101e-4
12,129,control,5.5583727272726e-4
15,129,control,5.58191010101e-4
18,129,control,5.6242979797978e-4
21,129,control,5.5645060606059e-4
24,129,control,5.5974878787878e-4
27,129,control,0.00055793686868686005
30,129,control,5.546414141414e-4
33,129,control,5.5854303030302e-4
36,129,control,5.6016777777776e-4
39,129,control,5.5934959595958e-4
42,129,control,5.6185464646464e-4
