Time,n_pairs,Value,median_r2,sd_r2,min_r2,max_r2,Seed,Model
39,2287600,0.02139222541756857,0.01025195606052875,0.02978202687414543,0,1.2909162044525146,101,control
42,2245482,0.02193389195272797,0.01050705835223198,0.03017099520036683,0,0.4789689779281616,101,control
45,2298256,0.021557558835718,0.01034712325781583,0.02962588136974276,0,0.6841755509376526,101,control
48,2270725,0.02117810994182284,0.01013091392815113,0.02916472542323626,0,0.6287680268287659,101,control
0,2450484,0.02127711245297839,0.01015943381935358,0.02930562918540085,0,0.7551798224449158,102,control
3,2468280,0.0235225229083138,0.01022313255816698,0.14340238862336552,0,31.75940704345703,102,control
6,2425596,0.02122189896122495,0.01019003521651029,0.02917966770821486,0,0.5533496737480164,102,control
9,2467465,0.02129037394767451,0.01019067037850618,0.02933681267881868,0,0.8874524831771851,102,control
12,2440944,0.02131010140674594,0.01015910878777504,0.02931959416168859,0,0.566896915435791,102,control
15,2428545,0.02125563505049104,0.01013728976249694,0.02940025160080933,0,1.2215999364852903,102,control
18,2492841,0.02117307392508534,0.01009680330753326,0.02927845364268572,0,0.7755815982818604,102,control
21,2429752,0.02138901738346904,0.0101820770651102,0.02956800830736294,0,0.7643848061561584,102,control
24,2415870,0.02118469736979755,0.01010428741574287,0.02918540529707814,0,1.2325023412704468,102,control
27,2455005,0.02140210123026469,0.01019109971821308,0.02950266920090522,0,0.7841063737869263,102,control
30,2442680,0.0216986291766888,0.01041232794523239,0.02989702773584804,0,0.8582393527030945,102,control
33,2464059,0.02143678586046473,0.01025634631514549,0.02948484342901769,0,0.575614869594574,102,control
36,2463456,0.02143930887083825,0.01021051127463579,0.0306058443754387,0,2.369683027267456,102,control
39,2474712,0.02114468881596103,0.01009745616465807,0.0291606781894066,0,0.5679451823234558,102,control
42,2427981,0.02141324781465817,0.0102657014504075,0.02951606724362274,0,0.6614894866943359,102,control
45,2468130,0.0216130121299325,0.01029190607368946,0.03050434828687135,0,2.0009994506835938,102,control
48,2481010,0.02129866739545576,0.01022313255816698,0.02936986947731857,0,0.6287680268287659,102,control
0,2530368,0.0213351157527975,0.0101961325854063,0.02952812819537084,0,0.9676392078399658,103,control
3,2548105,0.02125725581821073,0.0101961325854063,0.02944992014575114,0,1.354344606399536,103,control
6,2494377,0.02142340512610454,0.01021558325737714,0.02985536247829968,0,1.5236417055130005,103,control
9,2443500,0.02147868028690304,0.01024425867944955,0.03024473204629986,0,1.9224644899368288,103,control
12,2469145,0.02152271037115695,0.01021586917340755,0.03214422376608846,0,2.8104560375213623,103,control
15,2512032,0.02136948665414253,0.01020899228751659,0.02970780724592435,0,1.1994829177856443,103,control
18,2489123,0.02178077353698328,0.01040614768862724,0.03002596787130692,0,0.6841755509376526,103,control
21,2468334,0.02167444930599721,0.01041577104479074,0.02980098016262155,0,0.6354228854179382,103,control
24,2514432,0.02132078752822919,0.01021746080368757,0.02949053688055813,0,1.3672654628753662,103,control
27,2460800,0.02114316664616445,0.01013091392815113,0.02909709889315085,0,0.5062153339385986,103,control
30,2458952,0.02119025240750531,0.01010818034410476,0.02928052481346168,0,0.9477506279945374,103,control
33,2476888,0.02161418520546962,0.01028499472886324,0.03423269139022988,0,4.271453380584717,103,control
36,2514820,0.02123069918132586,0.01011834759265184,0.02942846457339323,0,0.9747564196586608,103,control
39,2501550,0.02141012322911963,0.01021586917340755,0.0296733830874997,0,1.2802449464797974,103,control
42,2512822,0.02131403487845729,0.01016408950090408,0.02947190227951684,0,1.048764944076538,103,control
45,2487312,0.02151153292835144,0.01032564416527748,0.02968187844576646,0,0.6841755509376526,103,control
48,2441205,0.02134355801441663,0.01022069063037633,0.02940691230297751,0,0.6841755509376526,103,control
0,2382336,0.02125300709187322,0.01017491333186626,0.02923946462087226,0,0.566896915435791,104,control
3,2374632,0.0214748698023654,0.01029623392969369,0.02964575164818332,0,0.6444736123085022,104,control
6,2356104,0.02177706323502109,0.01049067731946706,0.03008634501169963,0,0.5679451823234558,104,control
9,2392309,0.02122094831240001,0.01019003521651029,0.02923948566803423,0,0.5890098214149475,104,control
12,2422560,0.0214068120065474,0.01030335947871208,0.02945851110650847,0,0.6849932670593262,104,control
15,2366562,0.02148658395544342,0.0103092361241579,0.02965828775256013,0,0.6377180218696594,104,control
18,2331245,0.02146575650762168,0.01029433496296405,0.02956283210731433,0,0.5983755588531494,104,control
21,2357254,0.0212349285823952,0.01010818034410476,0.02928418631405074,0,0.6013466715812683,104,control
24,2364960,0.02126000239090521,0.01015582308173179,0.02930442569884827,0,0.613661527633667,104,control
27,2313405,0.02120651776951449,0.01017220877110958,0.02912156798046141,0,0.5983755588531494,104,control
30,2389332,0.0213295430524281,0.01023541949689388,0.02943104221180782,0,0.6325857043266296,104,control
33,2347296,0.0212961420278809,0.01015836931765079,0.02932646542142757,0,0.6841755509376526,104,control
36,2353107,0.02113873515499701,0.01010587159544229,0.02910505336960587,0,0.7951123714447021,104,control
39,2353878,0.0213365526172869,0.01024587079882621,0.0294237573454393,0,0.646826446056366,104,control
42,2377728,0.02135260378878474,0.01025912165641784,0.02936949260231032,0,0.6841755509376526,104,control
45,2447648,0.02116828591444923,0.01011830847710371,0.02921561539364934,0,0.7106826901435852,104,control
48,2329930,0.02133104399468917,0.01021142024546861,0.02931459417478339,0,0.6841755509376526,104,control
0,2510584,0.02134157579919232,0.01017220877110958,0.02943017498858466,0,0.6666961312294006,105,control
3,2510610,0.02119613693038717,0.01013426389545202,0.02915617694827615,0,0.6767114400863647,105,control
6,2435148,0.02125392556049189,0.01011413894593715,0.02950339540648871,0,1.391594171524048,105,control
9,2518568,0.03076522582262789,0.01021051127463579,0.6285338776948727,0,139.75697326660156,105,control
12,2528051,0.02119927135996162,0.01014187838882207,0.02919415505283207,0,0.7888127565383911,105,control
15,2508800,0.02114464616682805,0.01009745616465807,0.02917686625026185,0,0.566896915435791,105,control
18,2461617,0.02115493062796096,0.01012286450713872,0.02907893987965457,0,0.6032311320304871,105,control
21,2474104,0.02118520443079076,0.01009745616465807,0.02924194304032114,0,0.6841755509376526,105,control
24,2489828,0.02134729667067617,0.01020378991961479,0.02968454704423066,0,1.1746407747268677,105,control
27,2444512,0.02124114321599008,0.01009680330753326,0.02929657969318499,0,0.6612692475318909,105,control
30,2488164,0.02132582567751849,0.01019003521651029,0.02936413920667601,0,0.6700268387794495,105,control
33,2527571,0.02240089753592705,0.01016408950090408,0.08256273766950945,0,19.833005905151367,105,control
36,2457724,0.02135218063369661,0.01014187838882207,0.02950121824439261,0,1.1670303344726562,105,control
39,2494268,0.02139132865248694,0.01019003521651029,0.0294263833485661,0,0.6129453182220459,105,control
42,2464611,0.02139510277719053,0.01021116785705089,0.02950308067149849,0,0.695308268070221,105,control
45,2460162,0.02145570179254638,0.01025223731994628,0.02951122850942542,0,0.5434810519218445,105,control
48,2496076,0.02134950187981523,0.01021051127463579,0.02939036167289245,0,0.8722015023231506,105,control
0,2508431,0.02127412845178797,0.01019003521651029,0.02928835552259597,0,0.5744583010673523,106,control
3,2509648,0.02137247459255542,0.01022556331008672,0.02940851145345699,0,0.6679142713546753,106,control
6,2460082,0.02144630839325828,0.01022043451666832,0.02952246818667915,0,0.6546949148178101,106,control
9,2466450,0.02151866345166134,0.01032442972064018,0.02963525522902896,0,0.5996981263160706,106,control
12,2476900,0.02125876762956648,0.01013176795095205,0.02927275834808738,0,0.6638518571853638,106,control
15,2472736,0.02111390104558212,0.01007644645869731,0.02914717555549312,0,0.5744583010673523,106,control
