Seed,Model,Ne
1,control,28618
10,control,27329
100,control,25320
101,control,25332
102,control,29918
103,control,30430
104,control,33331
105,control,30650
106,control,25474
107,control,32744
108,control,33769
109,control,29630
11,control,30122
110,control,31140
111,control,31805
112,control,30016
113,control,33676
114,control,24666
115,control,34649
116,control,33639
117,control,24976
118,control,27083
119,control,28627
12,control,25074
120,control,26344
121,control,29245
122,control,29694
123,control,26184
124,control,30780
125,control,33299
126,control,31360
127,control,27817
128,control,34307
129,control,31604
13,control,27530
130,control,26447
131,control,31741
132,control,29026
133,control,25501
134,control,26144
135,control,32957
136,control,36386
137,control,24937
138,control,27863
139,control,27098
14,control,31288
140,control,30057
141,control,30907
142,control,35313
143,control,28311
144,control,31234
145,control,31309
146,control,30903
147,control,31496
148,control,28869
149,control,34311
15,control,29558
150,control,27449
151,control,29528
152,control,31301
153,control,28601
154,control,37892
155,control,37261
156,control,34678
157,control,28383
158,control,28430
159,control,33947
16,control,30095
160,control,28867
161,control,33961
162,control,31636
163,control,27972
164,control,31412
165,control,31335
166,control,32795
167,control,28187
168,control,29978
169,control,26200
17,control,28396
170,control,29797
171,control,32620
172,control,31251
173,control,27507
174,control,36963
175,control,28983
176,control,27927
177,control,34882
178,control,29270
179,control,38506
18,control,26605
180,control,30838
181,control,32483
182,control,31822
183,control,34550
184,control,36662
185,control,32005
186,control,25166
187,control,29446
188,control,34410
189,control,34167
19,control,31987
190,control,24440
191,control,31564
192,control,29748
193,control,32348
194,control,30524
195,control,27052
196,control,33739
197,control,37612
198,control,31457
199,control,31338
2,control,25401
20,control,28092
200,control,31749
21,control,37502
22,control,32093
23,control,36547
24,control,24957
25,control,26734
26,control,31173
27,control,28005
28,control,30727
29,control,29335
3,control,25306
30,control,30591
31,control,25315
32,control,33212
33,control,32445
34,control,30608
35,control,32547
36,control,30989
37,control,29926
38,control,28530
39,control,29200
4,control,26512
40,control,31597
41,control,29051
42,control,31046
43,control,27304
44,control,31736
45,control,34447
46,control,28794
47,control,26650
48,control,26376
49,control,29730
5,control,28384
50,control,28097
51,control,26866
52,control,30043
53,control,32703
54,control,29178
55,control,33046
56,control,32224
57,control,30799
58,control,25740
59,control,27720
6,control,27411
60,control,27867
61,control,34515
62,control,31424
63,control,28878
64,control,27083
65,control,26326
66,control,32921
67,control,32870
68,control,24782
69,control,31402
7,control,32894
70,control,33232
71,control,27855
72,control,33739
73,control,32629
74,control,29992
75,control,31805
76,control,30489
77,control,27102
78,control,31870
79,control,28231
8,control,30748
80,control,29574
81,control,29505
82,control,29036
83,control,28756
